Country	Institution	ID
Afghanistan	-3.7	Q889
Albania	-6.3	Q222
Algeria	0	Q262
Angola	0	Q916
Argentina	0	Q414
Armenia	-34.9	Q399
Azerbaijan	0	Q227
Bangladesh	0	Q902
Belarus	0	Q184
Belize	0	Q242
Benin	0	Q962
Bhutan	0	Q917
Bolivia	0	Q750
Bosnia and Herzegovina	0	Q225
Botswana	0	Q963
Brazil	0	Q155
Bulgaria	0	Q219
Burkina Faso	0	Q965
Burundi	-17.6	Q967
Cabo Verde	0	Q1011
Cambodia	0	Q424
Cameroon	0	Q1009
Central African Republic	0	Q929
Chad	148.9	Q657
China	0	Q148
Colombia	0	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0	Q974
Congo, Rep.	0	Q971
Costa Rica	0	Q800
Cote d'Ivoire	0	Q1008
Djibouti	0	Q977
Dominica	-1.5	Q784
Dominican Republic	0	Q786
Ecuador	0	Q736
Egypt, Arab Rep.	0	Q79
El Salvador	0	Q792
Eritrea	0	Q986
Ethiopia	0	Q115
Fiji	0	Q712
Gabon	0	Q1000
Gambia, The	0	Q1005
Georgia	0	Q230
Ghana	0	Q117
Grenada	0	Q769
Guatemala	0	Q774
Guinea	0	Q1006
Guinea-Bissau	2.2	Q1007
Guyana	0	Q734
Haiti	0	Q790
Honduras	0	Q783
India	0	Q668
Indonesia	0	Q252
Iran, Islamic Rep.	0	Q794
Jamaica	0	Q766
Jordan	0	Q810
Kazakhstan	0	Q232
Kenya	-146.2	Q114
Kosovo	0	Q1246
Kyrgyz Republic	0	Q813
Lao PDR	0	Q819
Lebanon	0	Q822
Lesotho	0	Q1013
Liberia	-3	Q1014
North Macedonia	0	Q221
Madagascar	36.2	Q1019
Malawi	2.7	Q1020
Maldives	0	Q826
Mali	0	Q912
Mauritania	26.3	Q1025
Mauritius	0	Q1027
Mexico	0	Q96
Moldova	0	Q217
Mongolia	0	Q711
Montenegro	0	Q236
Morocco	0	Q1028
Mozambique	-32.2	Q1029
Myanmar	0	Q836
Nepal	0	Q837
Nicaragua	0	Q811
Niger	31.7	Q1032
Nigeria	0	Q1033
Pakistan	0	Q843
Papua New Guinea	0	Q691
Paraguay	0	Q733
Peru	0	Q419
Philippines	0	Q928
Romania	0	Q218
Russian Federation	0	Q159
Rwanda	24.4	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Senegal	-34.4	Q1041
Serbia	0	Q403
Sierra Leone	3.6	Q1044
Solomon Islands	-3.5	Q685
Somalia	0	Q1045
South Africa	0	Q258
Sri Lanka	0	Q854
St. Lucia	0	Q760
St. Vincent and the Grenadines	0	Q757
Sudan	0	Q1049
Eswatini	0	Q1050
Syrian Arab Republic	0	Q858
Tajikistan	0	Q863
Tanzania	0	Q924
Thailand	0	Q869
Timor-Leste	0	Q574
Togo	0	Q945
Tonga	0	Q678
Tunisia	0	Q948
Turkey	0	Q43
Turkmenistan	0	Q874
Uganda	0	Q1036
Ukraine	0	Q212
Uzbekistan	0	Q265
Vanuatu	0	Q686
Venezuela, RB	0	Q717
Vietnam	0	Q881
Yemen, Rep.	0	Q805
Zambia	0	Q953
Zimbabwe	0	Q954
