Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	16	37	Q889
Albania	2018	42	56	Q222
Algeria	2013	57	60	Q262
Angola	2016	1	33	Q916
Armenia	2016	59	60	Q399
Bangladesh	2014	63	63	Q902
Barbados	2012	53	66	Q244
Belarus	2012	55	68	Q184
Belize	2016	38	54	Q242
Benin	2018	11	23	Q962
Bhutan	2010	69	62	Q917
Bolivia	2008	46	71	Q750
Burkina Faso	2018	7	37	Q965
Burundi	2017	26	36	Q967
Cambodia	2014	53	62	Q424
Cameroon	2014	12	46	Q1009
Central African Republic	2010	9	30	Q929
Chad	2015	5	12	Q657
Colombia	2015	78	83	Q739
Comoros	2012	13	23	Q970
Congo, Dem. Rep.	2014	13	36	Q974
Congo, Rep.	2016	30	28	Q971
Costa Rica	2011	69	78	Q800
Cote d'Ivoire	2016	10	22	Q1008
Dominican Republic	2014	66	72	Q786
Egypt, Arab Rep.	2014	56	61	Q79
El Salvador	2014	66	74	Q792
Eswatini	2014	61	72	Q1050
Ethiopia	2016	20	49	Q115
Gabon	2012	21	36	Q1000
Gambia, The	2018	15	21	Q1005
Ghana	2016	22	28	Q117
Guatemala	2015	46	73	Q774
Guinea	2018	5	18	Q1006
Guinea-Bissau	2014	9	30	Q1007
Guyana	2014	31	35	Q734
Haiti	2017	30	33	Q790
Honduras	2012	67	76	Q783
India	2016	42	59	Q668
Indonesia	2017	61	62	Q252
Iraq	2018	48	59	Q796
Jordan	2018	48	50	Q810
Kazakhstan	2015	55	56	Q232
Kenya	2015	32	64	Q114
Kosovo	2014	66	66	Q1246
Kyrgyz Republic	2018	36	47	Q813
Lao PDR	2017	43	55	Q819
Lesotho	2018	66	65	Q1013
Liberia	2016	14	23	Q1014
Madagascar	2016	20	57	Q1019
Malawi	2017	54	62	Q1020
Maldives	2017	18	20	Q826
Mali	2018	12	24	Q912
Mauritania	2015	8	28	Q1025
Mexico	2015	60	75	Q96
Moldova	2012	56	61	Q217
Mongolia	2018	57	46	Q711
Montenegro	2013	9	32	Q236
Mozambique	2018	19	45	Q1029
Myanmar	2016	47	59	Q836
Namibia	2013	44	63	Q1030
Nepal	2016	49	60	Q837
Niger	2012	10	26	Q1032
Nigeria	2018	4	33	Q1033
North Macedonia	2011	96	100	Q221
Pakistan	2018	20	45	Q843
Papua New Guinea	2018	23	46	Q691
Paraguay	2016	71	65	Q733
Peru	2012	73	75	Q419
Philippines	2017	55	48	Q928
Rwanda	2017	48	57	Q1037
Sao Tome and Principe	2014	37	40	Q1039
Senegal	2017	17	39	Q1041
Serbia	2014	57	56	Q403
Sierra Leone	2017	15	30	Q1044
South Africa	2016	54	56	Q258
South Sudan	2010	4	7	Q958
Sudan	2014	4	26	Q1049
Suriname	2018	30	45	Q730
Tajikistan	2017	26	33	Q863
Tanzania	2017	23	49	Q924
Thailand	2016	82	74	Q869
Timor-Leste	2016	24	30	Q574
Togo	2017	17	25	Q945
Tunisia	2018	49	52	Q948
Turkey	2013	64	77	Q43
Turkmenistan	2016	45	52	Q874
Uganda	2016	25	49	Q1036
Vietnam	2014	73	78	Q881
West Bank and Gaza	2014	49	66	Q407199
Yemen, Rep.	2013	15	50	Q805
Zambia	2014	39	62	Q953
Zimbabwe	2015	63	73	Q954
