Country	%	ID
Afghanistan	11.8	Q889
Angola	18.1	Q916
Armenia	9.3	Q399
Bangladesh	5	Q902
Benin	17.5	Q962
Burkina Faso	51.1	Q965
Burundi	47	Q967
Cambodia	0.3	Q424
Cameroon	38.2	Q1009
Chad	26.9	Q657
Congo, Dem. Rep.	29.2	Q974
Dominican Republic	14.9	Q786
Ethiopia	7.7	Q115
Gambia, The	6.7	Q1005
Ghana	50.1	Q117
Guatemala	0.4	Q774
Guinea	24.8	Q1006
Guinea-Bissau	28	Q1007
Guyana	7.4	Q734
Haiti	1.1	Q790
India	20.1	Q668
Indonesia	0.2	Q252
Kenya	27.1	Q114
Liberia	65.5	Q1014
Madagascar	10.1	Q1019
Malawi	29.4	Q1020
Mali	18.7	Q912
Mozambique	32.7	Q1029
Myanmar	0.8	Q836
Namibia	8.4	Q1030
Nepal	2	Q837
Nigeria	43.5	Q1033
Pakistan	9.2	Q843
Papua New Guinea	21.3	Q691
Philippines	0.3	Q928
Rwanda	19.6	Q1037
Sao Tome and Principe	1.4	Q1039
Senegal	4.7	Q1041
Sierra Leone	57	Q1044
South Africa	0.5	Q258
South Sudan	31.9	Q958
Tanzania	36.2	Q924
Timor-Leste	10	Q574
Togo	31.1	Q945
Uganda	71.5	Q1036
Vanuatu	5.1	Q686
Yemen, Rep.	1.2	Q805
Zambia	34.9	Q953
Zimbabwe	1	Q954
