Country	Hectares (2000)	Hectares (2016)	ID
Afghanistan	0.37	0.22	Q889
Albania	0.19	0.22	Q222
Algeria	0.25	0.18	Q262
American Samoa	0.04	0.05	Q16641
Andorra	0.02	0.01	Q228
Angola	0.18	0.17	Q916
Antigua and Barbuda	0.05	0.04	Q781
Argentina	0.75	0.9	Q414
Armenia	0.15	0.15	Q399
Aruba	0.02	0.02	Q21203
Australia	2.47	1.9	Q408
Austria	0.17	0.15	Q40
Azerbaijan	0.23	0.2	Q227
Bahamas, The	0.02	0.02	Q778
Bahrain	0	0	Q398
Bangladesh	0.07	0.05	Q902
Barbados	0.06	0.02	Q244
Belarus	0.61	0.6	Q184
Belgium	0.08	0.07	Q31
Belize	0.26	0.21	Q242
Benin	0.35	0.25	Q962
Bermuda	0.01	0	Q23635
Bhutan	0.18	0.14	Q917
Bolivia	0.37	0.4	Q750
Bosnia and Herzegovina	0.27	0.3	Q225
Botswana	0.21	0.12	Q963
Brazil	0.33	0.39	Q155
Brunei Darussalam	0.01	0.01	Q921
Bulgaria	0.43	0.49	Q219
Burkina Faso	0.32	0.32	Q965
Burundi	0.15	0.11	Q967
Cabo Verde	0.1	0.09	Q1011
Cambodia	0.3	0.24	Q424
Cameroon	0.38	0.26	Q1009
Canada	1.49	1.21	Q16
Cayman Islands	0	0	Q5785
Central African Republic	0.53	0.4	Q929
Chad	0.43	0.34	Q657
Channel Islands	0.03	0.02	Q42314
Chile	0.11	0.07	Q298
China	0.09	0.09	Q148
Hong Kong SAR, China	0	0	Q8646
Colombia	0.07	0.04	Q739
Comoros	0.12	0.08	Q970
Congo, Dem. Rep.	0.14	0.09	Q974
Congo, Rep.	0.16	0.11	Q971
Costa Rica	0.05	0.05	Q800
Cote d'Ivoire	0.17	0.12	Q1008
Croatia	0.19	0.21	Q224
Cuba	0.31	0.26	Q241
Cyprus	0.1	0.07	Q229
Czech Republic	0.32	0.24	Q213
Denmark	0.43	0.41	Q35
Djibouti	0	0	Q977
Dominica	0.07	0.08	Q784
Dominican Republic	0.11	0.08	Q786
Ecuador	0.13	0.06	Q736
Egypt, Arab Rep.	0.04	0.03	Q79
El Salvador	0.11	0.12	Q792
Equatorial Guinea	0.21	0.1	Q983
Estonia	0.6	0.53	Q191
Eswatini	0.18	0.16	Q1050
Ethiopia	0.15	0.15	Q115
Faroe Islands	0.06	0.06	Q4628
Fiji	0.21	0.19	Q712
Finland	0.42	0.41	Q33
France	0.3	0.28	Q142
French Polynesia	0.01	0.01	Q30971
Gabon	0.26	0.16	Q1000
Gambia, The	0.21	0.2	Q1005
Georgia	0.19	0.09	Q230
