Country	Savings %	ID
Afghanistan	0.1	Q889
Albania	0.1	Q222
Algeria	0.2	Q262
Angola	0.3	Q916
Argentina	0	Q414
Armenia	0.2	Q399
Aruba	0	Q21203
Australia	0	Q408
Austria	0	Q40
Azerbaijan	0	Q227
Bahamas, The	0	Q778
Bahrain	0	Q398
Bangladesh	0.1	Q902
Barbados	0	Q244
Belarus	0.4	Q184
Belgium	0	Q31
Belize	0	Q242
Benin	0.7	Q962
Bhutan	1.3	Q917
Bolivia	0.3	Q750
Bosnia and Herzegovina	0.2	Q225
Botswana	0	Q963
Brazil	0.1	Q155
Brunei Darussalam	0	Q921
Bulgaria	0	Q219
Burkina Faso	3.7	Q965
Burundi	10	Q967
Cabo Verde	0.2	Q1011
Cambodia	0.5	Q424
Cameroon	0	Q1009
Canada	0	Q16
Central African Republic	0	Q929
Chad	2.4	Q657
Chile	0	Q298
China	0	Q148
Colombia	0	Q739
Comoros	1	Q970
Congo, Dem. Rep.	6.5	Q974
Congo, Rep.	0	Q971
Costa Rica	0.2	Q800
Cote d'Ivoire	0	Q1008
Croatia	0	Q224
Cuba	0	Q241
Cyprus	0	Q229
Czech Republic	0.1	Q213
Denmark	0	Q35
Djibouti	0.3	Q977
Dominica	0	Q784
Dominican Republic	0	Q786
Ecuador	0.2	Q736
Egypt, Arab Rep.	0.2	Q79
El Salvador	0.6	Q792
Equatorial Guinea	0	Q983
Estonia	0.1	Q191
Eswatini	1.7	Q1050
Ethiopia	5.2	Q115
Fiji	0	Q712
Finland	0	Q33
France	0	Q142
Gabon	0	Q1000
Gambia, The	2.4	Q1005
Georgia	0	Q230
Germany	0	Q183
Ghana	3.2	Q117
Greece	0	Q41
Guatemala	0.7	Q774
Guinea	5.2	Q1006
Guinea-Bissau	6.5	Q1007
Guyana	0	Q734
Haiti	0.6	Q790
Honduras	0.7	Q783
Hungary	0	Q28
Iceland	0	Q189
India	0.1	Q668
Indonesia	0	Q252
Iran, Islamic Rep.	0	Q794
Iraq	0	Q796
Ireland	0	Q27
Israel	0	Q801
Italy	0	Q38
Jamaica	0.1	Q766
Japan	0	Q17
Jordan	0	Q810
Kazakhstan	0	Q232
Kenya	1.3	Q114
Kiribati	0	Q710
Korea, Rep.	0	Q884
Kuwait	0	Q817
Kyrgyz Republic	0	Q813
Lao PDR	1	Q819
Latvia	0	Q211
Lebanon	0	Q822
Lesotho	2.7	Q1013
Liberia	12.8	Q1014
Libya	0.1	Q1016
Liechtenstein	0	Q347
Lithuania	0	Q37
Luxembourg	0	Q32
Madagascar	0	Q1019
Malawi	5.1	Q1020
Malaysia	0	Q833
Maldives	0	Q826
Mali	2	Q912
Mauritania	1.6	Q1025
Mauritius	0	Q1027
Mexico	0.1	Q96
Micronesia, Fed. Sts.	0	Q702
Moldova	0.2	Q217
Mongolia	0	Q711
Montenegro	0	Q236
Morocco	0.1	Q1028
Mozambique	0.8	Q1029
Myanmar	0.4	Q836
Namibia	0	Q1030
Nepal	0.3	Q837
Netherlands	0	Q55
New Zealand	0	Q664
Nicaragua	1.1	Q811
Niger	5.8	Q1032
Nigeria	0.9	Q1033
North Macedonia	0	Q221
Norway	0	Q20
Oman	0	Q842
Pakistan	0.1	Q843
Panama	0	Q804
Papua New Guinea	0	Q691
Paraguay	1.2	Q733
Peru	0	Q419
Philippines	0.1	Q928
Poland	0.1	Q36
Portugal	0	Q45
Qatar	0	Q846
Romania	0	Q218
Russian Federation	0	Q159
Rwanda	3.6	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Saudi Arabia	0	Q851
Senegal	0	Q1041
Serbia	0.1	Q403
Seychelles	0	Q1042
Sierra Leone	7	Q1044
Singapore	0	Q334
Slovak Republic	0	Q214
Slovenia	0	Q215
Solomon Islands	18.8	Q685
Somalia	8.3	Q1045
South Africa	0.1	Q258
Spain	0	Q29
Sri Lanka	0	Q854
St. Lucia	0	Q760
St. Vincent and the Grenadines	0	Q757
Sudan	0.9	Q1049
Suriname	0	Q730
Sweden	0	Q34
Switzerland	0	Q39
Tajikistan	0.9	Q863
Tanzania	0	Q924
Thailand	0.3	Q869
Timor-Leste	0	Q574
Togo	3.9	Q945
Tonga	0	Q678
Trinidad and Tobago	0	Q754
Tunisia	0.2	Q948
Turkey	0	Q43
Turks and Caicos Islands	0	Q18221
Uganda	8.9	Q1036
Ukraine	0	Q212
United Arab Emirates	0	Q878
United Kingdom	0	Q145
United States	0	Q30
Uruguay	1.2	Q77
Uzbekistan	0	Q265
Vanuatu	0	Q686
Vietnam	0.8	Q881
Zambia	1	Q953
Zimbabwe	0	Q954
