Country	Value of shares traded (2010)	Value of shares traded (2019)	ID
Argentina	0.6	0.7	Q414
Australia	98.7	59.9	Q408
Austria	12.5	7.5	Q40
Bahrain	1.1	2	Q398
Bangladesh	4.2	4.3	Q902
Barbados	0.7	0.3	Q244
Brazil	41.1	40.8	Q155
Bulgaria	0.7	0.3	Q219
Canada	87.1	82.5	Q16
Chile	26.5	13	Q298
China	135.7	132.8	Q148
Hong Kong SAR, China	650.6	497.8	Q8646
Colombia	7.9	4.3	Q739
Costa Rica	0.1	0.1	Q800
Croatia	1.8	0.5	Q224
Cyprus	2.9	0.2	Q229
Egypt, Arab Rep.	17	3.7	Q79
Germany	44	35.1	Q183
Greece	13.6	7.4	Q41
Hungary	20.2	5.4	Q28
India	64.5	43.7	Q668
Indonesia	13.8	10.5	Q252
Iran, Islamic Rep.	3.5	2.6	Q794
Ireland	4	8.4	Q27
Israel	46.3	17.3	Q801
Jamaica	1.8	4.8	Q766
Japan	74.9	100.3	Q17
Jordan	32.1	5.6	Q810
Kazakhstan	0.4	0.2	Q232
Kenya	2	0.5	Q114
Korea, Rep.	142.5	117.4	Q884
Lebanon	4.9	0.4	Q822
Luxembourg	0.3	0.1	Q32
Malaysia	45	29.8	Q833
Malta	0.6	0.7	Q233
Mauritius	3.6	2.4	Q1027
Mexico	10.5	6.7	Q96
Morocco	6.5	2.7	Q1028
Namibia	0.2	0.8	Q1030
New Zealand	1.3	6	Q664
Nigeria	1.4	0.6	Q1033
Norway	49.5	25.2	Q20
Oman	5.8	2.2	Q842
Panama	0.2	0.6	Q804
Peru	2.7	0.7	Q419
Philippines	10.7	8	Q928
Poland	14.5	8.5	Q36
Qatar	14.7	7.3	Q846
Romania	1	0.8	Q218
Russian Federation	33.2	10.6	Q159
Saudi Arabia	38.1	27.8	Q851
Singapore	127.5	30.7	Q334
Slovenia	1	0.3	Q215
South Africa	73.9	81	Q258
Spain	96.7	43.9	Q29
Sri Lanka	8.8	1.1	Q854
Switzerland	149.9	137.4	Q39
Thailand	65.2	67.5	Q869
Turkey	52.2	46.1	Q43
Ukraine	2.1	0	Q212
United Arab Emirates	9.6	6.2	Q878
United States	240.3	108.2	Q30
Vietnam	26.6	12	Q881
West Bank and Gaza	4.2	2.4	Q407199
