Country	Most recent year	Tariff	ID
Albania	2017	1.3	Q222
Angola	2016	17.6	Q916
Antigua and Barbuda	2017	13.4	Q781
Argentina	2017	1.6	Q414
Armenia	2017	1.7	Q399
Australia	2017	0.6	Q408
Austria	2017	1.7	Q40
Bahrain	2017	21.7	Q398
Bangladesh	2016	7.9	Q902
Barbados	2013	16.2	Q244
Belgium	2017	1.7	Q31
Belize	2017	8	Q242
Benin	2017	19.9	Q962
Bolivia	2017	6	Q750
Botswana	2017	0.8	Q963
Brazil	2017	2.9	Q155
Brunei Darussalam	2017	0	Q921
Bulgaria	2017	1.7	Q219
Burkina Faso	2017	15.2	Q965
Burundi	2016	6.7	Q967
Cabo Verde	2015	11.5	Q1011
Cambodia	2016	11	Q424
Cameroon	2014	11.1	Q1009
Canada	2017	4.3	Q16
Central African Republic	2017	17.2	Q929
Chad	2016	17.5	Q657
Chile	2017	0.6	Q298
China	2017	2.7	Q148
Hong Kong SAR, China	2017	0	Q8646
Macao SAR, China	2017	0	Q14773
Colombia	2017	4.1	Q739
Congo, Dem. Rep.	2014	11	Q974
Congo, Rep.	2015	17	Q971
Costa Rica	2016	2.6	Q800
Cote d'Ivoire	2017	13.5	Q1008
Croatia	2017	1.7	Q224
Cuba	2017	4.8	Q241
Czech Republic	2017	1.7	Q213
Denmark	2017	1.7	Q35
Djibouti	2014	14.1	Q977
Dominica	2017	7.3	Q784
Dominican Republic	2017	3.5	Q786
Ecuador	2017	2.5	Q736
Egypt, Arab Rep.	2017	8.5	Q79
El Salvador	2017	1.7	Q792
Estonia	2017	1.7	Q191
Fiji	2017	25.7	Q712
Finland	2017	1.7	Q33
France	2017	1.7	Q142
Gabon	2016	17.3	Q1000
Gambia, The	2013	12.2	Q1005
Georgia	2016	1.1	Q230
Germany	2017	1.7	Q183
Ghana	2017	13.4	Q117
Greece	2017	1.7	Q41
Grenada	2016	14.7	Q769
Guatemala	2015	1.2	Q774
Guinea	2017	15.9	Q1006
Guinea-Bissau	2017	17.8	Q1007
Guyana	2017	5.6	Q734
Haiti	2016	7	Q790
Honduras	2015	2.7	Q783
Hungary	2017	1.7	Q28
Iceland	2017	6.3	Q189
India	2017	4.6	Q668
Indonesia	2017	2.3	Q252
Ireland	2017	1.7	Q27
Israel	2017	5.2	Q801
Italy	2017	1.7	Q38
Jamaica	2016	11.4	Q766
Japan	2017	4.5	Q17
Jordan	2017	6.1	Q810
Kazakhstan	2017	1.8	Q232
Kenya	2016	13.7	Q114
Korea, Rep.	2017	10	Q884
Kuwait	2017	9.5	Q817
Kyrgyz Republic	2017	0.6	Q813
Lao PDR	2017	2.8	Q819
Latvia	2017	1.7	Q211
Lesotho	2017	0.3	Q1013
Lithuania	2017	1.7	Q37
Luxembourg	2017	1.7	Q32
North Macedonia	2017	3.2	Q221
Madagascar	2017	5	Q1019
Malawi	2016	4.1	Q1020
Malaysia	2016	3.5	Q833
Maldives	2017	4.8	Q826
Mali	2017	14.1	Q912
Malta	2017	1.7	Q233
Mauritania	2015	8.9	Q1025
Mauritius	2017	0.8	Q1027
Mexico	2017	0.7	Q96
Moldova	2016	3.3	Q217
Mongolia	2017	7.9	Q711
Montenegro	2017	2.8	Q236
Morocco	2017	8.7	Q1028
Mozambique	2016	3.7	Q1029
Myanmar	2015	1.2	Q836
Namibia	2017	1	Q1030
Nepal	2016	12.3	Q837
Netherlands	2017	1.7	Q55
New Zealand	2017	0.6	Q664
Nicaragua	2017	3.3	Q811
Niger	2017	16.1	Q1032
Nigeria	2016	8.3	Q1033
Norway	2017	15.2	Q20
Oman	2017	1.9	Q842
Pakistan	2016	7.7	Q843
Panama	2015	13.5	Q804
Papua New Guinea	2013	4.2	Q691
Paraguay	2017	2.5	Q733
Peru	2017	0.1	Q419
Philippines	2017	2.3	Q928
Poland	2017	1.7	Q36
Portugal	2017	1.7	Q45
Qatar	2017	8	Q846
Romania	2017	1.7	Q218
Russian Federation	2017	4.3	Q159
Rwanda	2016	7.3	Q1037
Samoa	2017	11.8	Q683
Saudi Arabia	2017	9.5	Q851
Senegal	2017	13	Q1041
Seychelles	2017	11.3	Q1042
Sierra Leone	2012	12.6	Q1044
Singapore	2017	0.3	Q334
Slovak Republic	2017	1.7	Q214
Slovenia	2017	1.7	Q215
Solomon Islands	2017	33.6	Q685
South Africa	2017	2.7	Q258
Spain	2017	1.7	Q29
Sri Lanka	2017	15.2	Q854
St. Kitts and Nevis	2017	38	Q763
St. Lucia	2016	8.1	Q760
St. Vincent and the Grenadines	2017	7.8	Q757
Suriname	2013	5.7	Q730
Eswatini	2017	0.2	Q1050
Sweden	2017	1.7	Q34
Switzerland	2017	18.3	Q39
Tajikistan	2017	1	Q863
Tanzania	2016	11.1	Q924
Thailand	2015	5.7	Q869
Togo	2017	14.4	Q945
Tonga	2017	2.6	Q678
Trinidad and Tobago	2013	8	Q754
Tunisia	2016	9.1	Q948
Turkey	2017	12	Q43
Uganda	2016	9.9	Q1036
Ukraine	2017	1.1	Q212
United Arab Emirates	2017	16.6	Q878
United Kingdom	2017	1.7	Q145
United States	2017	2.3	Q30
Uruguay	2017	2.8	Q77
Vanuatu	2017	13.8	Q686
Venezuela, RB	2017	12.2	Q717
Vietnam	2017	3.6	Q881
Yemen, Rep.	2017	4.3	Q805
Zambia	2016	4	Q953
Zimbabwe	2016	5.5	Q954
