Country	imports (2010)	imports (2019)	ID
Afghanistan	0.3	0.2	Q889
Albania	3.6	0.4	Q222
Algeria	1.5	1.5	Q262
Andorra	0.6	0.4	Q228
Angola	0.7	0.6	Q916
Antigua and Barbuda	0.7	1.2	Q781
Argentina	2.9	2.5	Q414
Armenia	3.4	2.3	Q399
Aruba	0.8	0.9	Q21203
Australia	1.7	1.5	Q408
Austria	5.4	4.2	Q40
Azerbaijan	1.7	0.8	Q227
Bahrain	12.3	5.7	Q398
Barbados	1.2	0.9	Q244
Belarus	3.4	3.1	Q184
Belgium	4.3	3.9	Q31
Belize	0.4	0.6	Q242
Benin	0.5	0.5	Q962
Bermuda	0.3	0.3	Q23635
Bolivia	0.8	0.7	Q750
Bosnia and Herzegovina	2.4	3.7	Q225
Botswana	2	0.7	Q963
Brazil	3.5	3.5	Q155
Brunei Darussalam	1.7	1.1	Q921
Bulgaria	9	9.6	Q219
Burkina Faso	0.9	0.5	Q965
Burundi	0.7	0.9	Q967
Cabo Verde	1.1	0.6	Q1011
Cambodia	1.5	1.4	Q424
Cameroon	0.8	1.1	Q1009
Canada	2.8	2.5	Q16
Central African Republic	1.4	0.5	Q929
Chile	2	1.3	Q298
China	14.3	10.7	Q148
Hong Kong SAR, China	1.8	1.5	Q8646
Macao SAR, China	0.2	0.3	Q14773
Colombia	2	1.7	Q739
Comoros	0.5	0.3	Q970
Congo, Rep.	0.2	1.1	Q971
Costa Rica	1.9	1.9	Q800
Cote d'Ivoire	1.2	1.1	Q1008
Croatia	2.4	2.7	Q224
Cyprus	0.8	0.7	Q229
Czech Republic	3.6	2.8	Q213
Denmark	1.7	1.5	Q35
Dominican Republic	0.9	1	Q786
Ecuador	1.2	1.4	Q736
Egypt, Arab Rep.	4.1	5	Q79
El Salvador	1.3	0.9	Q792
Estonia	1.4	1.5	Q191
Eswatini	0.6	0.7	Q1050
Ethiopia	1.2	1.1	Q115
Fiji	1.1	1.2	Q712
Finland	8.2	5.3	Q33
France	2.8	2.3	Q142
Gambia, The	1	1.4	Q1005
Georgia	2	7.7	Q230
Germany	4.9	3.9	Q183
Ghana	1.2	1.6	Q117
Greece	3.3	3.6	Q41
Greenland	0.7	0.4	Q223
Guatemala	1.2	1.2	Q774
Guyana	0.7	0.9	Q734
Honduras	0.7	0.5	Q783
Hungary	2.8	2.4	Q28
Iceland	2.8	2.2	Q189
India	5.3	5.3	Q668
Indonesia	3.4	3.5	Q252
Iran, Islamic Rep.	1.7	1.5	Q794
Ireland	1.6	1.1	Q27
Israel	1.8	1.3	Q801
Italy	4.8	4.7	Q38
Jamaica	0.5	0.3	Q766
Japan	8.2	6.3	Q17
Jordan	2.3	1.8	Q810
Kazakhstan	1.2	2.6	Q232
Kenya	1.5	1.2	Q114
Korea, Rep.	8.2	6.7	Q884
Kuwait	2.3	3.4	Q817
Kyrgyz Republic	0.9	0.8	Q813
Lao PDR	1.6	0.8	Q819
Latvia	2.2	1.2	Q211
Lebanon	2.1	1.7	Q822
Lesotho	0.8	0.2	Q1013
Lithuania	1.6	2	Q37
Luxembourg	8.1	6.4	Q32
Madagascar	0.4	1.8	Q1019
Malawi	1	0.9	Q1020
Malaysia	5.2	5.3	Q833
Maldives	2.2	4.8	Q826
Mali	0.6	0.5	Q912
Malta	0.7	0.6	Q233
Mauritania	0.2	0.3	Q1025
Mauritius	1.1	1.1	Q1027
Mexico	2.7	1.9	Q96
Moldova	0.9	2.2	Q217
Montenegro	1.2	0.9	Q236
Morocco	3.3	4	Q1028
Mozambique	0.5	7.8	Q1029
Myanmar	0.8	0.8	Q836
Namibia	2.5	18.6	Q1030
Nepal	3.6	4	Q837
Netherlands	2.8	2.7	Q55
New Zealand	2	1.2	Q664
Nicaragua	0.3	0.7	Q811
Nigeria	1.1	1.2	Q1033
North Macedonia	7.1	17.3	Q221
Norway	6.9	5.2	Q20
Oman	3.6	6.4	Q842
Pakistan	3	4.3	Q843
Palau	0.5	0.4	Q695
Paraguay	0.6	0.6	Q733
Peru	1.3	1.2	Q419
Philippines	3.8	2.3	Q928
Poland	3.3	3.4	Q36
Portugal	2.9	2.2	Q45
Qatar	4.2	5.1	Q846
Romania	2.8	2.3	Q218
Russian Federation	0.9	1.8	Q159
Samoa	0.7	0.9	Q683
Sao Tome and Principe	1.1	1.2	Q1039
Saudi Arabia	5	3.4	Q851
Senegal	1.7	1.8	Q1041
Seychelles	0.6	0.5	Q1042
Singapore	1.6	1.1	Q334
Slovak Republic	3.6	2.6	Q214
Slovenia	6	5.4	Q215
Solomon Islands	0.5	0.3	Q685
South Africa	1.7	2	Q258
Spain	3.9	3.5	Q29
Sri Lanka	1.8	1.5	Q854
St. Kitts and Nevis	1.1	0.8	Q763
St. Lucia	0.7	0.6	Q760
St. Vincent and the Grenadines	0.7	0.6	Q757
Suriname	1.7	0.3	Q730
Sweden	3.7	2.5	Q34
Switzerland	4.1	2.8	Q39
Tanzania	1	1	Q924
Thailand	4.9	4.4	Q869
Togo	3.4	0.9	Q945
Tunisia	3.6	3.7	Q948
Turkey	8.1	7.6	Q43
Uganda	1.3	1.5	Q1036
Ukraine	3.6	2.5	Q212
United Arab Emirates	3.1	2.9	Q878
United Kingdom	4.1	3.3	Q145
United States	2.3	2.1	Q30
Uruguay	1.1	1	Q77
Vietnam	4.9	4.4	Q881
Zambia	21.1	5	Q953
Zimbabwe	2.2	0.8	Q954
