Country	Reference Year	Bottom 40%	Total population	ID
Albania	2017	2.5	0.8	Q222
Argentina	2018	-1.6	-1.6	Q414
Armenia	2018	1.3	2.4	Q399
Austria	2017	1.4	1.2	Q40
Bangladesh	2016	1.4	1.5	Q902
Belarus	2018	0.7	0	Q184
Belgium	2017	0.4	0.4	Q31
Benin	2015	-5.2	0.1	Q962
Bhutan	2017	1.6	1.7	Q917
Bolivia	2018	1.8	-1.7	Q750
Botswana	2015	0.4	-3.3	Q963
Brazil	2018	-0.4	0.7	Q155
Chile	2017	4.9	3.8	Q298
China	2016	8.4	7.1	Q148
Colombia	2018	2.3	0.4	Q739
Costa Rica	2018	1.4	0.6	Q800
Croatia	2017	5.5	4.3	Q224
Cyprus	2017	0.3	-0.8	Q229
Czech Republic	2017	3.5	2.8	Q213
Denmark	2017	1.3	1.7	Q35
Dominican Republic	2016	5.2	4.3	Q786
Ecuador	2018	1.3	0.5	Q736
Egypt, Arab Rep.	2017	-2.5	-1.1	Q79
El Salvador	2018	4	1.8	Q792
Estonia	2017	8	7.2	Q191
Ethiopia	2015	0.4	1.6	Q115
Finland	2017	0.6	0.7	Q33
France	2017	0.6	0.2	Q142
Georgia	2018	2.7	1.4	Q230
Germany	2016	-0.2	0.8	Q183
Ghana	2016	-0.2	1.3	Q117
Greece	2017	1.8	0.1	Q41
Honduras	2018	1.3	1.7	Q783
Hungary	2017	4.8	4.6	Q28
Iceland	2015	3.2	3.3	Q189
Indonesia	2018	5.1	4.9	Q252
Iran, Islamic Rep.	2017	-0.1	1.9	Q794
Ireland	2016	3.4	3.1	Q27
Israel	2016	4.2	2.6	Q801
Italy	2017	0.5	1	Q38
Kazakhstan	2017	0	-0.6	Q232
Kosovo	2017	2.4	1.9	Q1246
Kyrgyz Republic	2018	3.2	2.4	Q813
Latvia	2017	7.9	8.2	Q211
Lithuania	2017	6.3	7.4	Q37
Luxembourg	2017	3	3.7	Q32
North Macedonia	2017	7.1	4.3	Q221
Malawi	2016	3.1	1.6	Q1020
Malaysia	2016	8.3	6	Q833
Malta	2017	3.8	3.7	Q233
Mauritius	2017	2.7	2	Q1027
Moldova	2018	1.9	0.3	Q217
Mongolia	2018	1	0.7	Q711
Montenegro	2015	4.7	1.4	Q236
Namibia	2015	5.7	6.6	Q1030
Netherlands	2017	1.5	1.9	Q55
Norway	2017	0.4	1	Q20
Pakistan	2015	2.7	4.3	Q843
Panama	2018	5.3	3.9	Q804
Paraguay	2018	1.6	0.3	Q733
Peru	2018	2.5	1.5	Q419
Philippines	2015	5.1	2.6	Q928
Poland	2017	6	4	Q36
Portugal	2017	3.3	2	Q45
Romania	2017	10	10	Q218
Russian Federation	2018	-0.4	-2.3	Q159
Rwanda	2016	0.3	-0.2	Q1037
Serbia	2017	3.9	1.5	Q403
Sierra Leone	2018	2.7	2.9	Q1044
Slovak Republic	2016	-0.6	-1.1	Q214
Slovenia	2017	2.2	1.5	Q215
Spain	2017	1.8	1.1	Q29
Sri Lanka	2016	4.2	4.7	Q854
Eswatini	2016	4.7	6.1	Q1050
Sweden	2017	1.4	2	Q34
Switzerland	2017	-0.3	0.3	Q39
Tanzania	2018	-0.2	0.9	Q924
Thailand	2018	1.5	1.2	Q869
Togo	2015	2.6	0.6	Q945
Tunisia	2015	5.4	3.4	Q948
Turkey	2018	2.1	2.7	Q43
Uganda	2016	-2.2	-1	Q1036
Ukraine	2018	-0.6	0.1	Q212
United Kingdom	2016	1.8	2.4	Q145
United States	2016	1.3	1.7	Q30
Uruguay	2018	2	1.4	Q77
Vietnam	2018	4.9	5	Q881
West Bank and Gaza	2016	-0.9	-0.6	Q407199
Zambia	2015	-0.6	2.9	Q953
Zimbabwe	2017	-3.8	-3.5	Q954
