Country	Rents %	ID
Afghanistan	0.4	Q889
Albania	0.2	Q222
Algeria	0.2	Q262
American Samoa	0	Q16641
Andorra	0	Q228
Angola	0.5	Q916
Antigua and Barbuda	0	Q781
Argentina	0.1	Q414
Armenia	0.2	Q399
Aruba	0	Q21203
Australia	0.1	Q408
Austria	0.1	Q40
Azerbaijan	0	Q227
Bahamas, The	0	Q778
Bahrain	0	Q398
Bangladesh	0.2	Q902
Barbados	0	Q244
Belarus	0.9	Q184
Belgium	0	Q31
Belize	0.4	Q242
Benin	5.9	Q962
Bermuda	0	Q23635
Bhutan	4.3	Q917
Bolivia	0.5	Q750
Bosnia and Herzegovina	0.6	Q225
Botswana	0.4	Q963
Brazil	0.7	Q155
Brunei Darussalam	0.1	Q921
Bulgaria	0.2	Q219
Burkina Faso	10.4	Q965
Burundi	16.5	Q967
Cambodia	1.9	Q424
Cameroon	3.9	Q1009
Canada	0.1	Q16
Cabo Verde	0.8	Q1011
Central African Republic	14	Q929
Chad	6.4	Q657
Chile	0.6	Q298
China	0.1	Q148
Hong Kong SAR, China	0	Q8646
Macao SAR, China	0	Q14773
Colombia	0.2	Q739
Comoros	2.4	Q970
Congo, Dem. Rep.	17.4	Q974
Congo, Rep.	4.6	Q971
Costa Rica	1.2	Q800
Cote d'Ivoire	2.8	Q1008
Croatia	0.3	Q224
Cuba	0.1	Q241
Cyprus	0	Q229
Czech Republic	0.2	Q213
Denmark	0	Q35
Djibouti	0.7	Q977
Dominica	0.1	Q784
Dominican Republic	0.1	Q786
Ecuador	0.4	Q736
Egypt, Arab Rep.	0.2	Q79
El Salvador	1	Q792
Equatorial Guinea	1.6	Q983
Estonia	0.9	Q191
Eswatini	2.8	Q1050
Ethiopia	10.9	Q115
Faroe Islands	0	Q4628
Fiji	0.7	Q712
Finland	0.3	Q33
France	0	Q142
Gabon	2.9	Q1000
Gambia, The	5.9	Q1005
Georgia	0.1	Q230
Germany	0	Q183
Ghana	6.4	Q117
Greece	0	Q41
Greenland	0	Q223
Grenada	0	Q769
Guam	0	Q16635
Guatemala	1.3	Q774
Guinea	10.8	Q1006
Guinea-Bissau	18.2	Q1007
Guyana	7.4	Q734
Haiti	1.3	Q790
Honduras	1.7	Q783
Hungary	0.1	Q28
Iceland	0	Q189
India	0.3	Q668
Indonesia	0.5	Q252
Iran, Islamic Rep.	0	Q794
Iraq	0	Q796
Ireland	0	Q27
Isle of Man	0	Q9676
Israel	0	Q801
Italy	0	Q38
Jamaica	0.2	Q766
Japan	0	Q17
Jordan	0	Q810
Kazakhstan	0	Q232
Kenya	2.7	Q114
Kiribati	0.1	Q710
Korea, Rep.	0	Q884
Kosovo	0	Q1246
Kuwait	0	Q817
Kyrgyz Republic	0	Q813
Lao PDR	2.9	Q819
Latvia	1	Q211
Lebanon	0	Q822
Lesotho	6.3	Q1013
Liberia	19.7	Q1014
Libya	0.2	Q1016
Liechtenstein	0	Q347
Lithuania	0.4	Q37
Luxembourg	0	Q32
North Macedonia	0.1	Q221
Madagascar	9.9	Q1019
Malawi	11	Q1020
Malaysia	1.9	Q833
Maldives	0	Q826
Mali	3.5	Q912
Malta	0	Q233
Marshall Islands	0	Q709
Mauritania	3.1	Q1025
Mauritius	0	Q1027
Mexico	0.2	Q96
Micronesia, Fed. Sts.	0	Q702
Moldova	0.3	Q217
Monaco	0	Q235
Mongolia	0.3	Q711
Montenegro	0.4	Q236
Morocco	0.2	Q1028
Mozambique	13.2	Q1029
Myanmar	3.6	Q836
Namibia	0.8	Q1030
Nepal	1.3	Q837
Netherlands	0	Q55
New Zealand	0.4	Q664
Nicaragua	2.1	Q811
Niger	11.7	Q1032
Nigeria	1.5	Q1033
Northern Mariana Islands	0	Q16644
Norway	0	Q20
Oman	0	Q842
Pakistan	0.2	Q843
Palau	0	Q695
Panama	0.1	Q804
Papua New Guinea	3.1	Q691
Paraguay	1.7	Q733
Peru	0.2	Q419
Philippines	0.3	Q928
Poland	0.2	Q36
Portugal	0.1	Q45
Puerto Rico	0	Q1183
Qatar	0	Q846
Romania	0.2	Q218
Russian Federation	0.4	Q159
Rwanda	6	Q1037
Samoa	0.5	Q683
San Marino	0	Q238
Sao Tome and Principe	3.2	Q1039
Saudi Arabia	0	Q851
Senegal	2.7	Q1041
Serbia	0.4	Q403
Seychelles	0.1	Q1042
Sierra Leone	11.8	Q1044
Singapore	0	Q334
Slovak Republic	0.3	Q214
Slovenia	0.2	Q215
Solomon Islands	18.4	Q685
Somalia	15.4	Q1045
South Africa	0.7	Q258
South Sudan	11.1	Q958
Spain	0	Q29
Sri Lanka	0.1	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	0	Q760
St. Vincent and the Grenadines	0	Q757
Sudan	1.3	Q1049
Suriname	1.6	Q730
Sweden	0.2	Q34
Switzerland	0	Q39
Tajikistan	0	Q863
Tanzania	3.9	Q924
Thailand	0.5	Q869
Timor-Leste	0.2	Q574
Togo	7.2	Q945
Tonga	0	Q678
Trinidad and Tobago	0.1	Q754
Tunisia	0.3	Q948
Turkey	0.1	Q43
Turkmenistan	0	Q874
Tuvalu	0	Q672
Uganda	14.6	Q1036
Ukraine	0.4	Q212
United Arab Emirates	0	Q878
United Kingdom	0	Q145
United States	0	Q30
Uruguay	1.7	Q77
Uzbekistan	0	Q265
Vanuatu	0.8	Q686
Venezuela, RB	0.1	Q717
Vietnam	0.7	Q881
Virgin Islands (U.S.)	0	Q11703
West Bank and Gaza	0	Q407199
Yemen, Rep.	0	Q805
Zambia	4.2	Q953
Zimbabwe	3.2	Q954
