Country	Most recent year	Tariff	ID
Albania	2017	3	Q222
Angola	2016	22.3	Q916
Antigua and Barbuda	2017	13.6	Q781
Argentina	2017	7.7	Q414
Armenia	2017	5.3	Q399
Australia	2017	1.3	Q408
Austria	2017	4.7	Q40
Bahrain	2017	5	Q398
Bangladesh	2016	13.6	Q902
Barbados	2013	26	Q244
Belgium	2017	4.7	Q31
Belize	2017	17	Q242
Benin	2017	18.4	Q962
Bolivia	2017	8.9	Q750
Botswana	2017	3.7	Q963
Brazil	2017	8.5	Q155
Brunei Darussalam	2017	0	Q921
Bulgaria	2017	4.7	Q219
Burkina Faso	2017	16.4	Q965
Burundi	2016	12.5	Q967
Cabo Verde	2015	16.5	Q1011
Cambodia	2016	15.1	Q424
Cameroon	2014	22.9	Q1009
Canada	2017	3.7	Q16
Central African Republic	2017	17.1	Q929
Chad	2016	20.7	Q657
Chile	2017	1.3	Q298
China	2017	9.1	Q148
Hong Kong SAR, China	2017	0	Q8646
Macao SAR, China	2017	0	Q14773
Colombia	2017	4.6	Q739
Congo, Dem. Rep.	2014	12.1	Q974
Congo, Rep.	2015	16.1	Q971
Costa Rica	2016	5.1	Q800
Cote d'Ivoire	2017	17.6	Q1008
Croatia	2017	4.7	Q224
Cuba	2017	11	Q241
Czech Republic	2017	4.7	Q213
Denmark	2017	4.7	Q35
Djibouti	2014	14.4	Q977
Dominica	2017	18.3	Q784
Dominican Republic	2017	9.2	Q786
Ecuador	2017	6.4	Q736
Egypt, Arab Rep.	2017	39.8	Q79
El Salvador	2017	4.9	Q792
Estonia	2017	4.7	Q191
Fiji	2017	27.3	Q712
Finland	2017	4.7	Q33
France	2017	4.7	Q142
Gabon	2016	20.6	Q1000
Gambia, The	2013	15.8	Q1005
Georgia	2016	4.2	Q230
Germany	2017	4.7	Q183
Ghana	2017	15.9	Q117
Greece	2017	4.7	Q41
Grenada	2016	15.1	Q769
Guatemala	2015	4.1	Q774
Guinea	2017	18.8	Q1006
Guinea-Bissau	2017	19.2	Q1007
Guyana	2017	17.4	Q734
Haiti	2016	9.8	Q790
Honduras	2015	6	Q783
Hungary	2017	4.7	Q28
Iceland	2017	9.9	Q189
India	2017	16.7	Q668
Indonesia	2017	6.8	Q252
Ireland	2017	4.7	Q27
Israel	2017	5.6	Q801
Italy	2017	4.7	Q38
Jamaica	2016	18.9	Q766
Japan	2017	12	Q17
Jordan	2017	10.6	Q810
Kazakhstan	2017	4.7	Q232
Kenya	2016	16.7	Q114
Korea, Rep.	2017	21.2	Q884
Kuwait	2017	3.4	Q817
Kyrgyz Republic	2017	3.6	Q813
Lao PDR	2017	2.4	Q819
Latvia	2017	4.7	Q211
Lesotho	2017	1.6	Q1013
Lithuania	2017	4.7	Q37
Luxembourg	2017	4.7	Q32
North Macedonia	2017	7.3	Q221
Madagascar	2017	8.2	Q1019
Malawi	2016	10.2	Q1020
Malaysia	2016	8.1	Q833
Maldives	2017	7.1	Q826
Mali	2017	17.3	Q912
Malta	2017	4.7	Q233
Mauritania	2015	11.9	Q1025
Mauritius	2017	1.3	Q1027
Mexico	2017	4.5	Q96
Moldova	2016	8.1	Q217
Mongolia	2017	6.3	Q711
Montenegro	2017	4	Q236
Morocco	2017	8.8	Q1028
Mozambique	2016	9.7	Q1029
Myanmar	2015	3.4	Q836
Namibia	2017	4.5	Q1030
Nepal	2016	18.4	Q837
Netherlands	2017	4.7	Q55
New Zealand	2017	1.4	Q664
Nicaragua	2017	5.2	Q811
Niger	2017	18.4	Q1032
Nigeria	2016	12.6	Q1033
Norway	2017	24.3	Q20
Oman	2017	5.3	Q842
Pakistan	2016	11.6	Q843
Panama	2015	11.2	Q804
Papua New Guinea	2013	15.1	Q691
Paraguay	2017	5.7	Q733
Peru	2017	0.5	Q419
Philippines	2017	4.6	Q928
Poland	2017	4.7	Q36
Portugal	2017	4.7	Q45
Qatar	2017	4.6	Q846
Romania	2017	4.7	Q218
Russian Federation	2017	5.1	Q159
Rwanda	2016	14.6	Q1037
Samoa	2017	16.6	Q683
Saudi Arabia	2017	6.9	Q851
Senegal	2017	16.8	Q1041
Seychelles	2017	6.1	Q1042
Sierra Leone	2012	16.2	Q1044
Singapore	2017	1.2	Q334
Slovak Republic	2017	4.7	Q214
Slovenia	2017	4.7	Q215
Solomon Islands	2017	20.2	Q685
South Africa	2017	4.4	Q258
Spain	2017	4.7	Q29
Sri Lanka	2017	25.6	Q854
St. Kitts and Nevis	2017	22.9	Q763
St. Lucia	2016	13.9	Q760
St. Vincent and the Grenadines	2017	15.6	Q757
Suriname	2013	15.4	Q730
Eswatini	2017	1.9	Q1050
Sweden	2017	4.7	Q34
Switzerland	2017	25.8	Q39
Tajikistan	2017	4.7	Q863
Tanzania	2016	17	Q924
Thailand	2015	12.2	Q869
Togo	2017	17.8	Q945
Tonga	2017	9.6	Q678
Trinidad and Tobago	2013	17.4	Q754
Tunisia	2016	19.5	Q948
Turkey	2017	14.4	Q43
Uganda	2016	15.7	Q1036
Ukraine	2017	4	Q212
United Arab Emirates	2017	6.9	Q878
United Kingdom	2017	4.7	Q145
United States	2017	6.6	Q30
Uruguay	2017	6.9	Q77
Vanuatu	2017	16.2	Q686
Venezuela, RB	2017	10.8	Q717
Vietnam	2017	8.2	Q881
Yemen, Rep.	2017	6.3	Q805
Zambia	2016	13.3	Q953
Zimbabwe	2016	7.2	Q954
