Country	Goveernment % (2010)	Goveernment % (2018)	ID
Afghanistan	11.1	12.2	Q889
Albania	23.9	25.5	Q222
Angola	35	16.4	Q916
Argentina	21.2	17.9	Q414
Armenia	22.6	22.5	Q399
Australia	23.4	25.7	Q408
Austria	43.5	43.7	Q40
Azerbaijan	46.8	39.4	Q227
Bahamas, The	12.8	16.4	Q778
Bangladesh	9.7	10.2	Q902
Barbados	26.6	29.6	Q244
Belarus	30.3	30.8	Q184
Belgium	40.4	39.2	Q31
Belize	27.7	29.4	Q242
Bhutan	22	22.2	Q917
Bosnia and Herzegovina	38.4	38.9	Q225
Botswana	36.3	26.7	Q963
Brazil	29	29.1	Q155
Bulgaria	30.6	34.4	Q219
Burkina Faso	13.6	16.5	Q965
Cabo Verde	26.4	28.8	Q1011
Cambodia	11.5	19.9	Q424
Cameroon	16.4	15.7	Q1009
Canada	16.9	18.3	Q16
Central African Republic	9.2	8.8	Q929
Chile	21.4	22	Q298
China	11.2	15.9	Q148
Macao SAR, China	36.7	31.7	Q14773
Colombia	21.6	21.5	Q739
Congo, Rep.	37.8	29.8	Q971
Costa Rica	23.1	25.1	Q800
Cote d'Ivoire	15.8	12.1	Q1008
Croatia	35.7	39.9	Q224
Cyprus	36.2	37.9	Q229
Czech Republic	30.4	32.5	Q213
Denmark	39.9	38.1	Q35
Dominican Republic	13.8	15.2	Q786
Egypt, Arab Rep.	24.8	21	Q79
El Salvador	22	24.9	Q792
Equatorial Guinea	26.6	19.5	Q983
Estonia	35.6	34.7	Q191
Ethiopia	10.8	9	Q115
Fiji	24	26.4	Q712
Finland	35.3	36.7	Q33
France	42.9	44.2	Q142
Gabon	29.8	16.8	Q1000
Georgia	22.7	23	Q230
Germany	28	29.1	Q183
Ghana	16.7	15.5	Q117
Greece	39.7	46	Q41
Guatemala	11.1	11.3	Q774
Honduras	20.6	23.4	Q783
Hungary	38.4	39	Q28
Iceland	27.7	31.2	Q189
India	13.2	12.9	Q668
Indonesia	14.5	13	Q252
Ireland	30.9	24.2	Q27
Israel	32	31.8	Q801
Italy	38.7	39.4	Q38
Jamaica	27.4	31.1	Q766
Japan	9.9	13.1	Q17
Jordan	22.4	24.1	Q810
Kazakhstan	21.4	16	Q232
Kiribati	54.7	99.6	Q710
Korea, Rep.	20.1	27.5	Q884
Kuwait	64.3	38.6	Q817
Latvia	38.2	41.7	Q211
Lebanon	20.1	19.2	Q822
Lesotho	40.7	36.7	Q1013
Lithuania	30.3	31.9	Q37
Luxembourg	41	41.6	Q32
Madagascar	9.8	11.4	Q1019
Malawi	17	18.5	Q1020
Malaysia	19.4	16.1	Q833
Mali	15.2	12.4	Q912
Malta	38.2	38.2	Q233
Marshall Islands	20.3	32.2	Q709
Mauritius	22.1	22.6	Q1027
Mexico	18	18.9	Q96
Micronesia, Fed. Sts.	12.2	44.7	Q702
Moldova	26.3	27.7	Q217
Mongolia	29	28.7	Q711
Morocco	26.6	25.8	Q1028
Mozambique	16.4	23.5	Q1029
Myanmar	19.7	13.1	Q836
Namibia	28.3	34.1	Q1030
Nepal	14.9	22.9	Q837
Netherlands	37.7	39.1	Q55
New Zealand	32.4	32.6	Q664
Nicaragua	14.7	16.9	Q811
North Macedonia	28.9	26.9	Q221
Norway	47.1	47.4	Q20
Palau	20.4	27.3	Q695
Paraguay	14.7	17.3	Q733
Peru	20.3	19	Q419
Philippines	12.8	15.5	Q928
Poland	31.9	34.5	Q36
Portugal	34.4	38.1	Q45
Romania	30.7	30.1	Q218
Russian Federation	26.1	27.3	Q159
Samoa	27.3	33.1	Q683
San Marino	37.4	41.6	Q238
Saudi Arabia	37.4	30.7	Q851
Seychelles	32.8	37.7	Q1042
Singapore	16.8	18.4	Q334
Slovak Republic	33.1	38.4	Q214
Slovenia	38.8	39.2	Q215
Solomon Islands	31.3	33.8	Q685
South Africa	28.1	31.6	Q258
Spain	14.8	16.3	Q29
Sri Lanka	12.7	13.4	Q854
St. Kitts and Nevis	24.7	27.9	Q763
St. Lucia	19.3	19.4	Q760
St. Vincent and the Grenadines	26.3	27.2	Q757
Sudan	12.2	9.5	Q1049
Sweden	33.5	33.6	Q34
Switzerland	17.3	18	Q39
Tanzania	10.4	13.7	Q924
Thailand	19	19.5	Q869
Timor-Leste	274.5	68.1	Q574
Togo	17.5	20.3	Q945
Tonga	19.9	25.6	Q678
Trinidad and Tobago	32.9	30.5	Q754
Turkey	31.7	30.8	Q43
Ukraine	34.4	32.1	Q212
United Arab Emirates	3.4	3.4	Q878
United Kingdom	34.4	35.3	Q145
United States	16.5	17.2	Q30
Uruguay	29.9	34.4	Q77
Uzbekistan	24.4	22.3	Q265
Vanuatu	17.9	30.6	Q686
West Bank and Gaza	6.5	6.9	Q407199
Zambia	14.4	18.9	Q953
Zimbabwe	19.4	23.2	Q954
