Country	Disclosure index	ID
Afghanistan	8	Q889
Albania	9	Q222
Algeria	4	Q262
Angola	4	Q916
Antigua and Barbuda	4	Q781
Argentina	7	Q414
Armenia	7	Q399
Australia	8	Q408
Austria	5	Q40
Azerbaijan	10	Q227
Bahamas, The	3	Q778
Bahrain	8	Q398
Bangladesh	6	Q902
Barbados	2	Q244
Belarus	6	Q184
Belgium	8	Q31
Belize	3	Q242
Benin	7	Q962
Bhutan	4	Q917
Bolivia	1	Q750
Bosnia and Herzegovina	3	Q225
Botswana	7	Q963
Brazil	5	Q155
Brunei Darussalam	4	Q921
Bulgaria	10	Q219
Burkina Faso	7	Q965
Burundi	8	Q967
Cabo Verde	1	Q1011
Cambodia	6	Q424
Cameroon	7	Q1009
Canada	8	Q16
Central African Republic	7	Q929
Chad	7	Q657
Chile	8	Q298
China	10	Q148
Hong Kong SAR, China	10	Q8646
Colombia	9	Q739
Comoros	7	Q970
Congo, Dem. Rep.	7	Q974
Congo, Rep.	7	Q971
Costa Rica	5	Q800
Cote d'Ivoire	7	Q1008
Croatia	5	Q224
Cyprus	9	Q229
Czech Republic	2	Q213
Denmark	7	Q35
Djibouti	8	Q977
Dominica	4	Q784
Dominican Republic	5	Q786
Ecuador	2	Q736
Egypt, Arab Rep.	8	Q79
El Salvador	3	Q792
Equatorial Guinea	7	Q983
Eritrea	3	Q986
Estonia	8	Q191
Ethiopia	3	Q115
Fiji	2	Q712
Finland	6	Q33
France	8	Q142
Gabon	7	Q1000
Gambia, The	2	Q1005
Georgia	9	Q230
Germany	5	Q183
Ghana	7	Q117
Greece	9	Q41
Grenada	4	Q769
Guatemala	3	Q774
Guinea	7	Q1006
Guinea-Bissau	7	Q1007
Guyana	5	Q734
Haiti	2	Q790
Honduras	3	Q783
Hungary	2	Q28
Iceland	7	Q189
India	8	Q668
Indonesia	10	Q252
Iran, Islamic Rep.	7	Q794
Iraq	4	Q796
Ireland	9	Q27
Israel	7	Q801
Italy	7	Q38
Jamaica	4	Q766
Japan	7	Q17
Jordan	4	Q810
Kazakhstan	9	Q232
Kenya	10	Q114
Kiribati	6	Q710
Korea, Rep.	8	Q884
Kosovo	9	Q1246
Kuwait	5	Q817
Kyrgyz Republic	7	Q813
Lao PDR	6	Q819
Latvia	5	Q211
Lebanon	9	Q822
Lesotho	3	Q1013
Liberia	4	Q1014
Libya	4	Q1016
Liechtenstein	2	Q347
Lithuania	7	Q37
Luxembourg	6	Q32
North Macedonia	10	Q221
Madagascar	7	Q1019
Malawi	4	Q1020
Malaysia	10	Q833
Maldives	0	Q826
Mali	7	Q912
Malta	3	Q233
Marshall Islands	2	Q709
Mauritania	6	Q1025
Mauritius	7	Q1027
Mexico	8	Q96
Micronesia, Fed. Sts.	0	Q702
Moldova	7	Q217
Mongolia	6	Q711
Montenegro	5	Q236
Morocco	9	Q1028
Mozambique	5	Q1029
Myanmar	4	Q836
Namibia	5	Q1030
Nepal	6	Q837
Netherlands	4	Q55
New Zealand	10	Q664
Nicaragua	1	Q811
Niger	7	Q1032
Nigeria	7	Q1033
Norway	7	Q20
Oman	8	Q842
Pakistan	6	Q843
Palau	0	Q695
Panama	4	Q804
Papua New Guinea	5	Q691
Paraguay	6	Q733
Peru	9	Q419
Philippines	9	Q928
Poland	7	Q36
Portugal	6	Q45
Puerto Rico	7	Q1183
Qatar	2	Q846
Romania	9	Q218
Russian Federation	6	Q159
Rwanda	8	Q1037
Samoa	5	Q683
San Marino	3	Q238
Sao Tome and Principe	3	Q1039
Saudi Arabia	9	Q851
Senegal	7	Q1041
Serbia	6	Q403
Seychelles	4	Q1042
Sierra Leone	6	Q1044
Singapore	10	Q334
Slovak Republic	3	Q214
Slovenia	5	Q215
Solomon Islands	3	Q685
Somalia	0	Q1045
South Africa	8	Q258
South Sudan	2	Q958
Spain	7	Q29
Sri Lanka	8	Q854
St. Kitts and Nevis	4	Q763
St. Lucia	4	Q760
St. Vincent and the Grenadines	4	Q757
Sudan	3	Q1049
Suriname	1	Q730
Eswatini	2	Q1050
Sweden	8	Q34
Switzerland	0	Q39
Syrian Arab Republic	7	Q858
Tajikistan	8	Q863
Tanzania	2	Q924
Thailand	10	Q869
Timor-Leste	5	Q574
Togo	7	Q945
Tonga	3	Q678
Trinidad and Tobago	4	Q754
Tunisia	6	Q948
Turkey	9	Q43
Uganda	3	Q1036
Ukraine	9	Q212
United Arab Emirates	10	Q878
United Kingdom	10	Q145
United States	7	Q30
Uruguay	3	Q77
Uzbekistan	8	Q265
Vanuatu	5	Q686
Venezuela, RB	3	Q717
Vietnam	7	Q881
West Bank and Gaza	6	Q407199
Yemen, Rep.	6	Q805
Zambia	4	Q953
Zimbabwe	8	Q954
