Country	Risk of death from non-communicable disease (%)	ID
South Korea	8.3	Q884
Switzerland	8.7	Q39
Japan	8.8	Q17
Australia	8.9	Q408
Sweden	9.1	Q34
Italy	9.4	Q38
Israel	9.5	Q801
Norway	9.6	Q20
Luxembourg	9.7	Q32
Canada	9.8	Q16
Spain	10.0	Q29
Singapore	10.1	Q334
Finland	10.1	Q33
Ireland	10.3	Q27
New Zealand	10.4	Q664
Malta	10.5	Q233
France	10.9	Q142
Netherlands	11.0	Q55
United Kingdom	11.0	Q145
Costa Rica	11.1	Q800
Austria	11.2	Q40
Portugal	11.3	Q45
Chile	11.5	Q298
Cyprus	11.5	Q229
Denmark	11.6	Q35
Belgium	11.6	Q31
Germany	12.0	Q183
Greece	12.3	Q41
Maldives	12.4	Q826
Brunei	12.6	Q921
Peru	12.7	Q419
Ecuador	13.1	Q736
Slovenia	13.2	Q215
United States	13.6	Q30
Panama	13.7	Q804
Honduras	13.9	Q783
Qatar	14.2	Q846
El Salvador	14.2	Q792
Colombia	14.6	Q739
Albania	14.7	Q222
