Country	% Avg (2000-2018)	%vg (2017-2018)	ID
Angola	13.2	-14	Q916
Argentina	3.9	-5.3	Q414
Armenia	5.1	2.3	Q399
Australia	3.4	0.7	Q408
Austria	1.1	2.9	Q40
Bahamas, The	-1	-4.5	Q778
Bahrain	6.4	1.2	Q398
Bangladesh	6	8	Q902
Belarus	7	6.8	Q184
Belgium	1.1	0	Q31
Belize	2.3	-3.2	Q242
Benin	4.1	6.4	Q962
Bhutan	6.7	2.7	Q917
Bolivia	4.3	3.5	Q750
Bosnia and Herzegovina	0.8	5.2	Q225
Botswana	5.2	1	Q963
Brazil	3.1	-0.3	Q155
Brunei Darussalam	4	-2.5	Q921
Bulgaria	4	3.9	Q219
Burkina Faso	5.1	12.5	Q965
Burundi	5.9	8.3	Q967
Cabo Verde	1.9	7	Q1011
Cambodia	7.6	6.3	Q424
Cameroon	4.3	3.7	Q1009
Canada	2.1	1.6	Q16
Chad	3.9	1.7	Q657
Chile	5	1.3	Q298
China	9.8	9	Q148
Colombia	4.7	-2	Q739
Comoros	3.2	5.4	Q970
Congo, Dem. Rep.	5.3	1.2	Q974
Congo, Rep.	9.5	-32.8	Q971
Costa Rica	4.2	1.8	Q800
Croatia	1.8	3.3	Q224
Cyprus	2	12.7	Q229
Czech Republic	2.2	4	Q213
Denmark	1.6	0.7	Q35
Dominican Republic	5	5.5	Q786
Ecuador	4.3	-1.9	Q736
Egypt, Arab Rep.	4.2	3.8	Q79
El Salvador	0.8	0	Q792
Equatorial Guinea	3.7	-6.3	Q983
Estonia	3.7	5.2	Q191
Eswatini	2.8	9.2	Q1050
Finland	0.7	3	Q33
France	1	1	Q142
Gabon	6	-1.2	Q1000
Gambia, The	3.3	11.9	Q1005
Germany	1.4	1.2	Q183
Ghana	4.9	5.6	Q117
Greece	-1.1	2.2	Q41
Guatemala	3.2	4.3	Q774
Guinea	5	-4.7	Q1006
Guinea-Bissau	3.9	4.3	Q1007
Haiti	0.9	0.6	Q790
Honduras	3.2	-1	Q783
Hungary	1.7	4.4	Q28
India	7.2	5.9	Q668
Indonesia	10.5	3.8	Q252
Ireland	2.1	9.3	Q27
Israel	4.1	3.7	Q801
Italy	-0.4	1.4	Q38
Jamaica	0.3	0.3	Q766
Japan	0.6	0.4	Q17
Jordan	4.8	3.5	Q810
Kazakhstan	9.5	-1.5	Q232
Kenya	5.7	7	Q114
Kiribati	8.8	-0.1	Q710
Korea, Rep.	3.2	0.6	Q884
Kyrgyz Republic	3.2	6.7	Q813
Latvia	3.4	5.6	Q211
Lebanon	4.8	-0.1	Q822
Lesotho	2.1	2.2	Q1013
Liberia	6	3.5	Q1014
Lithuania	3.7	4.3	Q37
Luxembourg	0.7	2.4	Q32
Madagascar	3.7	-2	Q1019
Malawi	6.4	8.7	Q1020
Malaysia	5.7	1	Q833
Mali	4.6	5.7	Q912
Mauritania	3.9	10.1	Q1025
Mauritius	2.9	4.8	Q1027
Mexico	1.7	1.1	Q96
Moldova	5.3	2	Q217
Montenegro	2.6	5.8	Q236
Morocco	4.2	3	Q1028
Mozambique	10	3.4	Q1029
Namibia	5.1	2.9	Q1030
Nepal	4.5	5.7	Q837
Netherlands	1	2.8	Q55
New Zealand	3.2	0.8	Q664
Nicaragua	3.8	-5.8	Q811
Niger	4.1	11.3	Q1032
Nigeria	5.7	1.9	Q1033
Norway	2.5	3	Q20
Oman	7.1	6.3	Q842
Pakistan	5.2	5.1	Q843
Paraguay	4.1	3.3	Q733
Peru	6	2.7	Q419
Philippines	5.3	4.1	Q928
Poland	4	4.4	Q36
Portugal	0.2	2.5	Q45
Romania	5.1	3.4	Q218
Russian Federation	4.1	2.5	Q159
Rwanda	7.3	10.2	Q1037
Saudi Arabia	5.8	6.7	Q851
Senegal	4.5	8.1	Q1041
Serbia	0.8	6.4	Q403
Sierra Leone	5.6	5.5	Q1044
Singapore	5.1	3.5	Q334
Slovak Republic	3.4	2	Q214
Slovenia	1.4	4.9	Q215
South Africa	3.2	-0.1	Q258
Spain	1	2.2	Q29
Sri Lanka	6.1	2.9	Q854
Sweden	2	1.3	Q34
Switzerland	1.4	1.2	Q39
Thailand	3.6	4.1	Q869
Togo	2	12.3	Q945
Turkey	5.2	1	Q43
Uganda	4.3	12.5	Q1036
Ukraine	3	4.1	Q212
United Arab Emirates	3.9	-1.3	Q878
United Kingdom	1.3	0.6	Q145
United States	1.9	2.4	Q30
Uruguay	3.4	4.5	Q77
Vietnam	6.8	8.8	Q881
Zimbabwe	10	36.1	Q954
