Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	57	59	Q889
Albania	2018	54	79	Q222
Algeria	2013	54	61	Q262
Angola	2016	36	72	Q916
Argentina	2012	86	91	Q414
Armenia	2016	88	92	Q399
Bangladesh	2014	90	90	Q902
Benin	2018	32	49	Q962
Bolivia	2008	58	75	Q750
Burkina Faso	2010	34	57	Q965
Burundi	2017	48	59	Q967
Cambodia	2014	56	61	Q424
Cameroon	2014	35	65	Q1009
Chad	2015	32	48	Q657
Colombia	2010	67	82	Q739
Comoros	2012	60	76	Q970
Congo, Dem. Rep.	2014	52	59	Q974
Congo, Rep.	2016	44	62	Q971
Cote d'Ivoire	2016	52	69	Q1008
Dominican Republic	2014	59	72	Q786
Egypt, Arab Rep.	2014	39	43	Q79
Eswatini	2014	97	87	Q1050
Ethiopia	2016	44	58	Q115
Gabon	2012	64	60	Q1000
Gambia, The	2018	77	66	Q1005
Ghana	2014	56	70	Q117
Guatemala	2015	61	69	Q774
Guinea	2018	50	69	Q1006
Guinea-Bissau	2014	60	72	Q1007
Guyana	2014	69	42	Q734
Haiti	2017	55	73	Q790
Honduras	2012	72	68	Q783
India	2016	53	71	Q668
Indonesia	2017	61	68	Q252
Iraq	2018	34	76	Q796
Jordan	2018	58	86	Q810
Kenya	2014	69	74	Q114
Kyrgyz Republic	2018	68	68	Q813
Lao PDR	2017	54	76	Q819
Lesotho	2018	71	77	Q1013
Liberia	2013	74	64	Q1014
Madagascar	2009	52	67	Q1019
Malawi	2016	78	75	Q1020
Maldives	2017	90	100	Q826
Mali	2018	41	44	Q912
Mauritania	2015	44	57	Q1025
Mexico	2015	84	92	Q96
Mongolia	2018	75	88	Q711
Mozambique	2015	45	67	Q1029
Myanmar	2016	69	73	Q836
Namibia	2013	73	79	Q1030
Nepal	2016	66	79	Q837
Niger	2012	46	62	Q1032
Nigeria	2018	45	70	Q1033
Pakistan	2018	43	48	Q843
Papua New Guinea	2018	52	76	Q691
Paraguay	2016	82	59	Q733
Peru	2012	60	75	Q419
Philippines	2017	62	56	Q928
Rwanda	2015	38	49	Q1037
Sao Tome and Principe	2014	75	81	Q1039
Senegal	2017	58	56	Q1041
Sierra Leone	2017	82	74	Q1044
South Africa	2016	84	79	Q258
Sudan	2014	88	95	Q1049
Suriname	2018	63	70	Q730
Tajikistan	2017	67	79	Q863
Tanzania	2016	45	62	Q924
Thailand	2016	83	84	Q869
Timor-Leste	2016	75	78	Q574
Togo	2014	52	40	Q945
Tunisia	2018	44	87	Q948
Uganda	2016	54	60	Q1036
Vietnam	2014	63	72	Q881
West Bank and Gaza	2014	64	68	Q407199
Yemen, Rep.	2013	59	56	Q805
Zambia	2014	70	76	Q953
Zimbabwe	2015	76	79	Q954
