Country	% 1990	% 2014	ID
Albania	5.5	8.5	Q222
Algeria	12.9	15.2	Q262
Angola	16.1	2020.7	Q916
Argentina	17.5	14.5	Q414
Armenia	32.1	31	Q399
Australia	3.3	3.7	Q408
Austria	21.1	11.9	Q40
Azerbaijan	9.2	18.2	Q227
Bahrain	1.2	0.8	Q398
Bangladesh	19.4	11.5	Q902
Belarus	13.9	8.9	Q184
Belgium	23.1	23	Q31
Benin	11.5	24.2	Q962
Bolivia	11.1	8.3	Q750
Bosnia and Herzegovina	1.2	2.7	Q225
Botswana	3.6	2.6	Q963
Brazil	8.9	4.3	Q155
Brunei Darussalam	1.5	1.3	Q921
Bulgaria	4.1	2.3	Q219
Cameroon	26.1	6.6	Q1009
Canada	17.4	14.5	Q16
Chile	10	6.5	Q298
China	17.9	5.4	Q148
Colombia	8	7.9	Q739
Congo, Dem. Rep.	11	0.2	Q974
Congo, Rep.	10.9	3.4	Q971
Costa Rica	5	3.9	Q800
Cote d'Ivoire	14.8	8.6	Q1008
Croatia	11.2	12.4	Q224
Cuba	6.7	2.2	Q241
Curacao	7.9	2.7	Q25279
Cyprus	4.6	6.4	Q229
Czech Republic	15.5	8.9	Q213
Denmark	12.5	7.6	Q35
Dominican Republic	12.7	7.6	Q786
Ecuador	9.5	9.2	Q736
Egypt, Arab Rep.	12.5	8.4	Q79
El Salvador	8.1	11.9	Q792
Eritrea	6.8	10.7	Q986
Estonia	4.1	2.5	Q191
Ethiopia	5.5	11	Q115
Finland	12.1	4.5	Q33
France	24.8	23.4	Q142
Gabon	13.2	8.9	Q1000
Georgia	14.2	21.8	Q230
Germany	21	17.7	Q183
Ghana	17.3	5.9	Q117
Gibraltar	0	0	Q1410
Greece	7.4	6.7	Q41
Guatemala	14.6	4.8	Q774
Haiti	8.6	4	Q790
Honduras	15.1	4.9	Q783
Hong Kong SAR, China	3.8	3.4	Q8646
Hungary	25.8	22.6	Q28
Iceland	2.6	0.5	Q189
India	10.8	5.5	Q668
Indonesia	14.6	5.1	Q252
Iran, Islamic Rep.	23.7	21.9	Q794
Iraq	11.8	6.5	Q796
Ireland	32.2	22	Q27
Israel	4.3	1.1	Q801
Italy	17.2	18.1	Q38
Jamaica	4	3.6	Q766
Japan	11.7	10	Q17
Jordan	11.3	6.6	Q810
Kazakhstan	0.2	10.6	Q232
Kenya	10.9	8.3	Q114
Korea, Dem. Peopleâ€™s Rep.	0.5	0.3	Q423
Korea, Rep.	27.5	8.1	Q884
Kuwait	0.6	0.6	Q817
Kyrgyz Republic	0	17.5	Q813
Latvia	13.5	12.6	Q211
Lebanon	9.6	13.5	Q822
Libya	5.1	3.4	Q1016
Lithuania	16.8	9.3	Q37
Luxembourg	12	14.9	Q32
North Macedonia	5.1	2.8	Q221
Malaysia	4.1	1.9	Q833
Malta	3.9	6.4	Q233
Mauritius	10.3	4.5	Q1027
Mexico	8.1	5.3	Q96
Moldova	2.9	15.2	Q217
Mongolia	6.4	6.7	Q711
Morocco	8.9	12.5	Q1028
Mozambique	7.4	6.7	Q1029
Myanmar	0.3	0	Q836
Namibia	0.9	0.6	Q1030
Nepal	28.1	13.7	Q837
Netherlands	20	15.1	Q55
New Zealand	6.6	4.5	Q664
Nicaragua	7.1	11	Q811
Nigeria	15	2.6	Q1033
Norway	9	2.5	Q20
Oman	1	0.8	Q842
Pakistan	15.3	13.3	Q843
Panama	9	7.7	Q804
Paraguay	6.7	4	Q733
Peru	17.1	6.9	Q419
Philippines	6.5	6.9	Q928
Poland	13	15	Q36
Portugal	5.7	6.6	Q45
Qatar	0.7	0.4	Q846
Romania	5.2	11.7	Q218
Russian Federation	13.3	9.2	Q159
Saudi Arabia	1.7	0.8	Q851
Senegal	6.1	4.9	Q1041
Serbia	3.4	4.8	Q403
Singapore	4.3	1.3	Q334
Slovak Republic	28.1	15.1	Q214
Slovenia	14.4	7.5	Q215
South Africa	4.6	5.5	Q258
Spain	8	9.7	Q29
Sri Lanka	2.7	3.3	Q854
Sudan	2.6	6.5	Q1049
Sweden	17.7	4	Q34
Switzerland	40.9	31	Q39
Syrian Arab Republic	10.7	10.7	Q858
Tajikistan	0	0	Q863
Tanzania	20.4	2.9	Q924
Thailand	3	2.8	Q869
Togo	10.3	12.2	Q945
Trinidad and Tobago	1.8	1.7	Q754
Tunisia	13.4	10.2	Q948
Turkey	17	15.2	Q43
Turkmenistan	19.4	25.8	Q874
Ukraine	8	13.3	Q212
United Arab Emirates	0.6	0.5	Q878
United Kingdom	17.5	19.1	Q145
United States	11.4	11	Q30
Uruguay	16.1	8.5	Q77
Uzbekistan	0	33.5	Q265
Venezuela, RB	5.4	4.5	Q717
Vietnam	11.3	7.9	Q881
Yemen, Rep.	11	15	Q805
Zambia	8.6	3.4	Q953
Zimbabwe	6	1.7	Q954
