Country	Survey year	Poorest quintile	Richest quintile	ID
Albania	2018	99	100	Q222
Armenia	2016	100	100	Q399
Benin	2018	72	93	Q962
Bolivia	2008	90	100	Q750
Burkina Faso	2018	96	100	Q965
Burundi	2017	99	100	Q967
Cambodia	2014	99	100	Q424
Cameroon	2014	81	100	Q1009
Colombia	2015	100	100	Q739
Comoros	2012	97	100	Q970
Congo, Dem. Rep.	2014	88	100	Q974
Cote d'Ivoire	2016	90	99	Q1008
Dominican Republic	2014	100	100	Q786
Egypt, Arab Rep.	2014	100	100	Q79
Ethiopia	2016	95	100	Q115
Gabon	2012	96	100	Q1000
Ghana	2016	93	100	Q117
Guinea	2018	87	98	Q1006
Guyana	2014	95	100	Q734
Haiti	2017	100	100	Q790
Honduras	2012	100	100	Q783
Indonesia	2017	96	100	Q252
Jordan	2018	100	100	Q810
Kenya	2015	86	99	Q114
Kyrgyz Republic	2018	100	100	Q813
Liberia	2016	97	99	Q1014
Madagascar	2016	87	100	Q1019
Malawi	2017	99	100	Q1020
Maldives	2017	99	100	Q826
Mali	2018	76	97	Q912
Mozambique	2018	96	100	Q1029
Nepal	2016	100	100	Q837
Niger	2012	83	97	Q1032
Nigeria	2018	67	99	Q1033
Pakistan	2018	97	100	Q843
Peru	2012	99	100	Q419
Philippines	2017	99	100	Q928
Rwanda	2017	100	100	Q1037
Sao Tome and Principe	2014	99	100	Q1039
Senegal	2017	85	99	Q1041
Sierra Leone	2017	93	99	Q1044
Tajikistan	2017	95	97	Q863
Tanzania	2017	97	100	Q924
Timor-Leste	2016	66	93	Q574
Uganda	2016	95	100	Q1036
Zimbabwe	2015	99	100	Q954
