Country	Strength of legal rights index	Depth of credit information index	ID
Afghanistan	10	0	Q889
Albania	8	6	Q222
Algeria	2	0	Q262
Angola	1	0	Q916
Antigua and Barbuda	5	0	Q781
Argentina	2	8	Q414
Armenia	6	8	Q399
Australia	11	8	Q408
Austria	4	7	Q40
Azerbaijan	12	8	Q227
Bahamas, The	6	0	Q778
Bahrain	3	8	Q398
Bangladesh	5	4	Q902
Barbados	6	0	Q244
Belarus	3	7	Q184
Belgium	8	5	Q31
Belize	4	0	Q242
Benin	6	0	Q962
Bhutan	4	7	Q917
Bolivia	0	7	Q750
Bosnia and Herzegovina	7	6	Q225
Botswana	5	7	Q963
Brazil	2	8	Q155
Brunei Darussalam	12	8	Q921
Bulgaria	8	5	Q219
Burkina Faso	6	0	Q965
Burundi	2	1	Q967
Cambodia	10	6	Q424
Cameroon	6	6	Q1009
Canada	9	8	Q16
Cabo Verde	1	6	Q1011
Central African Republic	6	1	Q929
Chad	6	0	Q657
Chile	4	7	Q298
China	4	8	Q148
Hong Kong SAR, China	8	7	Q8646
Colombia	11	7	Q739
Comoros	6	2	Q970
Congo, Dem. Rep.	6	0	Q974
Congo, Rep.	6	2	Q971
Costa Rica	10	7	Q800
Cote d'Ivoire	6	8	Q1008
Croatia	5	5	Q224
Cyprus	7	5	Q229
Czech Republic	7	7	Q213
Denmark	8	6	Q35
Djibouti	8	0	Q977
Dominica	6	0	Q784
Dominican Republic	1	8	Q786
Ecuador	1	8	Q736
Egypt, Arab Rep.	5	8	Q79
El Salvador	9	7	Q792
Equatorial Guinea	6	2	Q983
Eritrea	0	0	Q986
Estonia	7	7	Q191
Ethiopia	3	0	Q115
Fiji	5	0	Q712
Finland	6	6	Q33
France	4	6	Q142
Gabon	6	2	Q1000
Gambia, The	6	0	Q1005
Georgia	9	8	Q230
Germany	6	8	Q183
Ghana	6	6	Q117
Greece	2	7	Q41
Grenada	6	0	Q769
Guatemala	9	8	Q774
Guinea	6	0	Q1006
Guinea-Bissau	6	0	Q1007
Guyana	3	8	Q734
Haiti	2	5	Q790
Honduras	8	8	Q783
Hungary	9	6	Q28
Iceland	4	7	Q189
India	9	7	Q668
Indonesia	6	8	Q252
Iran, Islamic Rep.	2	8	Q794
Iraq	0	0	Q796
Ireland	7	7	Q27
Israel	6	8	Q801
Italy	2	7	Q38
Jamaica	9	8	Q766
Japan	5	6	Q17
Jordan	11	8	Q810
Kazakhstan	8	8	Q232
Kenya	11	8	Q114
Kiribati	4	0	Q710
Korea, Rep.	5	8	Q884
Kosovo	11	6	Q1246
Kuwait	1	8	Q817
Kyrgyz Republic	9	8	Q813
Lao PDR	6	6	Q819
Latvia	9	8	Q211
Lebanon	2	6	Q822
Lesotho	5	6	Q1013
Liberia	10	0	Q1014
Libya	0	0	Q1016
Liechtenstein	3	0	Q347
Lithuania	6	8	Q37
Luxembourg	3	0	Q32
North Macedonia	9	7	Q221
Madagascar	2	6	Q1019
Malawi	11	7	Q1020
Malaysia	7	8	Q833
Maldives	2	5	Q826
Mali	6	0	Q912
Malta	2	5	Q233
Marshall Islands	10	0	Q709
Mauritania	2	6	Q1025
Mauritius	6	7	Q1027
Mexico	10	8	Q96
Micronesia, Fed. Sts.	10	0	Q702
Moldova	8	6	Q217
Mongolia	9	7	Q711
Montenegro	12	5	Q236
Morocco	2	7	Q1028
Mozambique	1	4	Q1029
Myanmar	2	0	Q836
Namibia	5	7	Q1030
Nepal	10	5	Q837
Netherlands	2	7	Q55
New Zealand	12	8	Q664
Nicaragua	2	8	Q811
Niger	6	8	Q1032
Nigeria	9	8	Q1033
Norway	5	6	Q20
Oman	1	6	Q842
Pakistan	2	7	Q843
Palau	10	0	Q695
Panama	8	8	Q804
Papua New Guinea	9	5	Q691
Paraguay	1	7	Q733
Peru	7	8	Q419
Philippines	1	7	Q928
Poland	7	8	Q36
Portugal	2	7	Q45
Puerto Rico	12	7	Q1183
Qatar	1	8	Q846
Romania	9	7	Q218
Russian Federation	9	7	Q159
Rwanda	11	8	Q1037
Samoa	9	0	Q683
San Marino	1	5	Q238
Sao Tome and Principe	0	5	Q1039
Saudi Arabia	4	8	Q851
Senegal	6	7	Q1041
Serbia	6	7	Q403
Seychelles	2	5	Q1042
Sierra Leone	5	0	Q1044
Singapore	8	7	Q334
Slovak Republic	7	7	Q214
Slovenia	3	6	Q215
Solomon Islands	10	0	Q685
Somalia	0	0	Q1045
South Africa	5	7	Q258
South Sudan	2	0	Q958
Spain	5	7	Q29
Sri Lanka	2	6	Q854
St. Kitts and Nevis	5	0	Q763
St. Lucia	5	0	Q760
St. Vincent and the Grenadines	5	0	Q757
Sudan	3	0	Q1049
Suriname	2	0	Q730
Eswatini	4	7	Q1050
Sweden	7	5	Q34
Switzerland	6	7	Q39
Syrian Arab Republic	1	2	Q858
Tajikistan	11	7	Q863
Tanzania	5	8	Q924
Thailand	7	7	Q869
Timor-Leste	0	4	Q574
Togo	6	8	Q945
Tonga	10	4	Q678
Trinidad and Tobago	7	6	Q754
Tunisia	3	7	Q948
Turkey	7	8	Q43
Uganda	5	7	Q1036
Ukraine	8	7	Q212
United Arab Emirates	6	8	Q878
United Kingdom	7	8	Q145
United States	11	8	Q30
Uruguay	4	8	Q77
Uzbekistan	6	7	Q265
Vanuatu	11	4	Q686
Venezuela, RB	1	7	Q717
Vietnam	8	8	Q881
West Bank and Gaza	8	8	Q407199
Yemen, Rep.	0	0	Q805
Zambia	11	8	Q953
Zimbabwe	6	7	Q954
