Country	Exports (2007)	Exports (2017)	ID
American Samoa	22.2	18.2	Q16641
Cambodia	3.6	14.5	Q424
China	5.5	10.8	Q148
Fiji	16	24.6	Q712
Indonesia	18.9	29.6	Q252
Kiribati	8.3	79.1	Q710
Korea, Dem. Peopleâ€™s Rep.	22.5	86.5	Q423
Lao PDR	70.9	81.5	Q819
Malaysia	19.7	28.1	Q833
Marshall Islands	0	16	Q709
Micronesia, Fed. Sts.	0.9	74.9	Q702
Mongolia	72.5	85.1	Q711
Myanmar	44.4	61.6	Q836
Papua New Guinea	12.8	20.7	Q691
Philippines	21.1	20.5	Q928
Samoa	5.1	35.4	Q683
Solomon Islands	70.3	74.2	Q685
Thailand	24.9	34.3	Q869
Timor-Leste	1.9	36.9	Q574
Tonga	9.1	13	Q678
Tuvalu	7.7	3.4	Q672
Vanuatu	17.2	35.3	Q686
Vietnam	19.6	25.5	Q881
Albania	7.3	18.8	Q222
Armenia	35	46.1	Q399
Azerbaijan	37.3	21.4	Q227
Belarus	47.3	61.7	Q184
Bosnia and Herzegovina	20.5	23.9	Q225
Bulgaria	29.7	24.9	Q219
Georgia	56.9	60.8	Q230
Kazakhstan	20.5	21.5	Q232
Kosovo	55.6	48.5	Q1246
Kyrgyz Republic	69	49.3	Q813
North Macedonia	34.8	23.6	Q221
Moldova	62.1	52.7	Q217
Montenegro	28.4	49	Q236
Romania	17.6	13.1	Q218
Russian Federation	22.6	20.2	Q159
Serbia	41.7	33.7	Q403
Tajikistan	47.1	46.6	Q863
Turkey	15.8	11.7	Q43
Turkmenistan	84.3	12.8	Q874
Ukraine	48.6	26.5	Q212
Uzbekistan	35.9	37.3	Q265
Argentina	30.5	25.3	Q414
Belize	20.6	10.3	Q242
Bolivia	60.1	44.4	Q750
Brazil	21.6	16	Q155
Colombia	33.5	21.4	Q739
Costa Rica	20.9	24.4	Q800
Cuba	51.2	30.6	Q241
Dominica	26.5	19.5	Q784
Dominican Republic	10.7	13.4	Q786
Ecuador	25.4	15.3	Q736
El Salvador	38.2	44.1	Q792
Grenada	17.9	25.5	Q769
Guatemala	39.9	38.9	Q774
Guyana	10.1	12.9	Q734
Haiti	11	6.6	Q790
Honduras	30.8	24.9	Q783
Jamaica	1.7	5.7	Q766
Mexico	5.3	4.5	Q96
Nicaragua	42.6	29.8	Q811
Paraguay	68.6	53.2	Q733
Peru	12.9	10.7	Q419
St. Lucia	15.5	16.4	Q760
St. Vincent and the Grenadines	29.5	19.4	Q757
Suriname	4	10.3	Q730
Venezuela, RB	10.4	8.4	Q717
Algeria	1.7	5.3	Q262
Djibouti	8.5	5	Q977
Egypt, Arab Rep.	10.1	7.8	Q79
Iran, Islamic Rep.	1.7	0.4	Q794
Iraq	2.6	1.4	Q796
Jordan	24.7	17.7	Q810
Lebanon	24.9	20.9	Q822
Libya	3	9.1	Q1016
Morocco	2.7	2.5	Q1028
Syrian Arab Republic	23.5	54.2	Q858
Tunisia	9	8.2	Q948
West Bank and Gaza	5.8	7.6	Q407199
Yemen, Rep.	1.8	32.9	Q805
Afghanistan	43.3	83.1	Q889
Bangladesh	2.3	2.2	Q902
Bhutan	83.3	96	Q917
India	5.8	6.9	Q668
Maldives	16.5	5.5	Q826
Nepal	72.5	55.9	Q837
Pakistan	9.1	12.3	Q843
Sri Lanka	7.8	8.9	Q854
Angola	1.6	5.1	Q916
Benin	36.2	20.9	Q962
Botswana	18	14.3	Q963
Burkina Faso	30.2	13.1	Q965
Burundi	11.9	29.7	Q967
Cabo Verde	0.7	0.9	Q1011
Cameroon	18.1	11.6	Q1009
Central African Republic	2.7	15.4	Q929
Chad	0.2	0.6	Q657
Comoros	8.8	6.4	Q970
Congo, Dem. Rep.	27.4	27.4	Q974
Congo, Rep.	10.5	25.6	Q971
Cote d'Ivoire	30	22.1	Q1008
Eritrea	17.5	0.3	Q986
Ethiopia	9.8	30.7	Q115
Gabon	3.4	6.3	Q1000
Gambia, The	35.9	37.4	Q1005
Ghana	47.4	14	Q117
Guinea	3.1	19.4	Q1006
Guinea-Bissau	68.9	9.4	Q1007
Kenya	37.9	34.2	Q114
Lesotho	75.3	34.3	Q1013
Liberia	2.7	2.7	Q1014
Madagascar	3.3	6.9	Q1019
Malawi	36.8	27.5	Q1020
Mali	76.3	59.3	Q912
Mauritania	23.3	6.7	Q1025
Mauritius	10.6	20	Q1027
Mozambique	22.6	22.1	Q1029
Namibia	35.9	42.8	Q1030
Niger	17.3	19	Q1032
Nigeria	9.3	11.2	Q1033
Rwanda	35.3	29.8	Q1037
Sao Tome and Principe	26.9	4.4	Q1039
Senegal	51.1	43.2	Q1041
Sierra Leone	22.5	32.9	Q1044
Somalia	12.5	5.1	Q1045
South Africa	14.1	25.8	Q258
Sudan	0.3	4.2	Q1049
Eswatini	32.3	81.7	Q1050
Tanzania	30.3	37	Q924
Togo	53.8	68.7	Q945
Uganda	44.1	49.7	Q1036
Zambia	24.1	19.2	Q953
Zimbabwe	68.9	90	Q954
