Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	94	77	Q889
Albania	2018	66	12	Q222
Angola	2016	86	58	Q916
Armenia	2016	72	58	Q399
Benin	2018	70	47	Q962
Bolivia	2008	95	78	Q750
Burkina Faso	2018	90	61	Q965
Burundi	2017	83	49	Q967
Cambodia	2014	88	54	Q424
Cameroon	2014	46	35	Q1009
Chad	2015	29	25	Q657
Comoros	2012	78	75	Q970
Congo, Dem. Rep.	2014	87	59	Q974
Congo, Rep.	2016	85	62	Q971
Cote d'Ivoire	2016	88	65	Q1008
Dominican Republic	2014	65	37	Q786
Egypt, Arab Rep.	2014	63	38	Q79
Ethiopia	2016	85	48	Q115
Gabon	2012	88	71	Q1000
Gambia, The	2018	59	24	Q1005
Ghana	2016	68	33	Q117
Guatemala	2015	85	58	Q774
Guinea	2018	82	48	Q1006
Guyana	2014	59	27	Q734
Haiti	2017	92	63	Q790
Honduras	2012	85	57	Q783
India	2016	79	37	Q668
Indonesia	2017	47	29	Q252
Jordan	2018	64	31	Q810
Kenya	2015	68	24	Q114
Kyrgyz Republic	2018	54	24	Q813
Lesotho	2018	61	25	Q1013
Liberia	2016	84	43	Q1014
Madagascar	2016	39	27	Q1019
Malawi	2017	84	57	Q1020
Maldives	2017	62	58	Q826
Mali	2018	62	32	Q912
Mozambique	2018	89	26	Q1029
Myanmar	2016	71	31	Q836
Namibia	2013	74	20	Q1030
Nepal	2016	94	67	Q837
Niger	2012	79	59	Q1032
Nigeria	2018	70	33	Q1033
Pakistan	2018	80	48	Q843
Papua New Guinea	2018	90	52	Q691
Peru	2012	95	72	Q419
Philippines	2017	72	36	Q928
Rwanda	2017	82	32	Q1037
Sao Tome and Principe	2014	89	91	Q1039
Senegal	2017	78	25	Q1041
Sierra Leone	2017	80	56	Q1044
South Africa	2016	27	10	Q258
Tajikistan	2017	66	25	Q863
Tanzania	2017	80	48	Q924
Timor-Leste	2016	82	55	Q574
Togo	2017	78	48	Q945
Uganda	2016	78	37	Q1036
Yemen, Rep.	2013	99	81	Q805
Zambia	2014	75	25	Q953
Zimbabwe	2015	81	34	Q954
