Country	imports (2010)	imports (2019)	ID
Afghanistan	13.7	32.3	Q889
Albania	17.9	13.5	Q222
Algeria	16.3	20.2	Q262
Andorra	22	22.2	Q228
Angola	15.2	20.4	Q916
Antigua and Barbuda	21.3	27.5	Q781
Argentina	2.6	6.5	Q414
Armenia	18	16.8	Q399
Aruba	31.8	27.7	Q21203
Australia	5.5	6.6	Q408
Austria	7.3	7.5	Q40
Azerbaijan	18.5	16.3	Q227
Bahrain	7.6	9.4	Q398
Barbados	24.9	22.6	Q244
Belarus	7.9	10.2	Q184
Belgium	8.3	9	Q31
Belize	16.5	20.2	Q242
Benin	38.6	47.8	Q962
Bermuda	13.1	20.8	Q23635
Bolivia	7.7	7.6	Q750
Bosnia and Herzegovina	18.1	16.2	Q225
Botswana	12.4	12.7	Q963
Brazil	4.6	5.8	Q155
Brunei Darussalam	17	12.1	Q921
Bulgaria	9.6	9.7	Q219
Burkina Faso	15.1	12.4	Q965
Burundi	13.8	16.7	Q967
Cabo Verde	27.7	30.2	Q1011
Cambodia	7.3	7.6	Q424
Cameroon	17.7	22.8	Q1009
Canada	7.3	8.3	Q16
Central African Republic	28.1	21.1	Q929
Chile	7.1	10.1	Q298
China	4.6	6.3	Q148
Hong Kong SAR, China	4.2	4.9	Q8646
Macao SAR, China	17.1	16.3	Q14773
Colombia	9.7	12.5	Q739
Comoros	38	42.9	Q970
Congo, Rep.	7	24.9	Q971
Costa Rica	9	12.9	Q800
Cote d'Ivoire	19.2	21.4	Q1008
Croatia	10.4	12.4	Q224
Cyprus	14.8	15.2	Q229
Czech Republic	5.4	5.7	Q213
Denmark	13.4	14	Q35
Dominican Republic	13.6	15.1	Q786
Ecuador	8.3	10.1	Q736
Egypt, Arab Rep.	19.1	19	Q79
El Salvador	16.1	17.8	Q792
Estonia	11.4	10.2	Q191
Eswatini	18.7	18.2	Q1050
Ethiopia	10.9	15	Q115
Fiji	18.4	16.3	Q712
Finland	7.1	7.5	Q33
France	8.5	9.4	Q142
Gambia, The	36.1	25.8	Q1005
Georgia	13	13.3	Q230
Germany	7.6	7.8	Q183
Ghana	15.3	20.1	Q117
Greece	12.3	12.5	Q41
Greenland	19	19.8	Q223
Guatemala	13.3	15.6	Q774
Guyana	14.8	6.9	Q734
Honduras	16.4	18	Q783
Hungary	4.9	5.6	Q28
Iceland	11	11.3	Q189
India	4	4.2	Q668
Indonesia	8.5	10.3	Q252
Iran, Islamic Rep.	15.4	20.2	Q794
Ireland	11.4	9.9	Q27
Israel	7.3	8.7	Q801
Italy	9.2	10.3	Q38
Jamaica	17.7	18	Q766
Japan	9.2	9.8	Q17
Jordan	16.2	19.1	Q810
Kazakhstan	9.5	10	Q232
Kenya	12	14	Q114
Korea, Rep.	4.5	6.2	Q884
Kuwait	15.4	15	Q817
Kyrgyz Republic	16.9	11.1	Q813
Lao PDR	11.8	12.5	Q819
Latvia	14.7	16.2	Q211
Lebanon	16.3	17.8	Q822
Lesotho	20.6	18.3	Q1013
Lithuania	12.4	11.7	Q37
Luxembourg	11.2	12.4	Q32
Madagascar	13.6	14.6	Q1019
Malawi	13.6	11.9	Q1020
Malaysia	7.9	7.6	Q833
Maldives	22.4	17.2	Q826
Mali	11.6	16.9	Q912
Malta	10.8	10.1	Q233
Mauritania	19.4	13.8	Q1025
Mauritius	21.1	20.8	Q1027
Mexico	6.5	4.7	Q96
Moldova	14.9	12.7	Q217
Montenegro	24.2	21	Q236
Morocco	11.4	10.9	Q1028
Mozambique	11.6	14.3	Q1029
Myanmar	7.2	13.1	Q836
Namibia	14.9	11.3	Q1030
Nepal	14.2	18.1	Q837
Netherlands	10	12.7	Q55
New Zealand	10.6	11.5	Q664
Nicaragua	16.3	14.4	Q811
Nigeria	10.2	10.9	Q1033
North Macedonia	12.4	9.6	Q221
Norway	7.9	9.2	Q20
Oman	12.1	15	Q842
Pakistan	13.1	10.7	Q843
Palau	24.7	22.8	Q695
Paraguay	7.5	8.5	Q733
Peru	10.3	11.4	Q419
Philippines	11.1	11.2	Q928
Poland	7.6	8.9	Q36
Portugal	13.6	13.6	Q45
Qatar	8.2	11	Q846
Romania	7.7	9.3	Q218
Russian Federation	14.1	11.9	Q159
Samoa	24.5	28.4	Q683
Sao Tome and Principe	29.8	29.2	Q1039
Saudi Arabia	16.1	14.8	Q851
Senegal	22.4	19.6	Q1041
Seychelles	17	19	Q1042
Singapore	3.1	3.8	Q334
Slovak Republic	6.4	5.7	Q214
Slovenia	8	7.7	Q215
Solomon Islands	22.8	22	Q685
South Africa	6.6	7.1	Q258
Spain	10.4	10.8	Q29
Sri Lanka	15.4	13.4	Q854
St. Kitts and Nevis	19.7	25.4	Q763
St. Lucia	24.1	24.6	Q760
St. Vincent and the Grenadines	22.2	26.3	Q757
Suriname	15.2	13.2	Q730
Sweden	8.8	10.6	Q34
Switzerland	5.8	5.5	Q39
Tanzania	10	7.2	Q924
Thailand	5	6.3	Q869
Togo	13.3	17.7	Q945
Tunisia	9.3	11.1	Q948
Turkey	4	7.2	Q43
Uganda	12.4	12.5	Q1036
Ukraine	9.2	8.6	Q212
United Arab Emirates	7	8.2	Q878
United Kingdom	9	10.2	Q145
United States	5	6.2	Q30
Uruguay	9.5	14.6	Q77
Vietnam	8.7	7.9	Q881
Zambia	4.7	7.2	Q953
Zimbabwe	17.9	8.1	Q954
