Country	Most recent year	Tariff	ID
Albania	2017	6.84	Q222
Angola	2016	21.9	Q916
Antigua and Barbuda	2017	50.28	Q781
Argentina	2017	24.95	Q414
Armenia	2017	3.61	Q399
Australia	2017	0.05	Q408
Austria	2017	5.45	Q40
Bahrain	2017	0.15	Q398
Bangladesh	2016	39.26	Q902
Barbados	2013	46.81	Q244
Belgium	2017	5.45	Q31
Belize	2017	40.08	Q242
Benin	2017	47.04	Q962
Bolivia	2017	20.1	Q750
Botswana	2017	14.94	Q963
Brazil	2017	28.3	Q155
Brunei Darussalam	2017	0	Q921
Bulgaria	2017	5.45	Q219
Burkina Faso	2017	40.77	Q965
Burundi	2016	32.64	Q967
Cabo Verde	2015	43.47	Q1011
Cambodia	2016	10.38	Q424
Cameroon	2014	54.07	Q1009
Canada	2017	5.21	Q16
Central African Republic	2017	43.4	Q929
Chad	2016	49.65	Q657
Chile	2017	0	Q298
China	2017	15.16	Q148
Hong Kong SAR, China	2017	0	Q8646
Macao SAR, China	2017	0	Q14773
Colombia	2017	9.25	Q739
Congo, Dem. Rep.	2014	32.85	Q974
Congo, Rep.	2015	44.08	Q971
Costa Rica	2016	0.3	Q800
Cote d'Ivoire	2017	43.23	Q1008
Croatia	2017	5.45	Q224
Cuba	2017	28.49	Q241
Czech Republic	2017	5.45	Q213
Denmark	2017	5.45	Q35
Djibouti	2014	61.83	Q977
Dominica	2017	35.78	Q784
Dominican Republic	2017	22.25	Q786
Ecuador	2017	25.35	Q736
Egypt, Arab Rep.	2017	11.26	Q79
El Salvador	2017	13.22	Q792
Estonia	2017	5.45	Q191
Fiji	2017	41.36	Q712
Finland	2017	5.45	Q33
France	2017	5.45	Q142
Gabon	2016	53.4	Q1000
Gambia, The	2013	72.35	Q1005
Georgia	2016	0.03	Q230
Germany	2017	5.45	Q183
Ghana	2017	43.2	Q117
Greece	2017	5.45	Q41
Grenada	2016	44.6	Q769
Guatemala	2015	11.18	Q774
Guinea	2017	45.43	Q1006
Guinea-Bissau	2017	50.59	Q1007
Guyana	2017	36.94	Q734
Haiti	2016	16.55	Q790
Honduras	2015	14.73	Q783
Hungary	2017	5.45	Q28
Iceland	2017	3.31	Q189
India	2017	8.29	Q668
Indonesia	2017	12.3	Q252
Ireland	2017	5.45	Q27
Israel	2017	1.56	Q801
Italy	2017	5.45	Q38
Jamaica	2016	42.11	Q766
Japan	2017	10.99	Q17
Jordan	2017	14.25	Q810
Kazakhstan	2017	4.31	Q232
Kenya	2016	37.48	Q114
Korea, Rep.	2017	3.97	Q884
Kuwait	2017	0.03	Q817
Kyrgyz Republic	2017	2.73	Q813
Lao PDR	2017	2.23	Q819
Latvia	2017	5.45	Q211
Lesotho	2017	10.11	Q1013
Lithuania	2017	5.45	Q37
Luxembourg	2017	5.45	Q32
North Macedonia	2017	15.67	Q221
Madagascar	2017	24.91	Q1019
Malawi	2016	30.41	Q1020
Malaysia	2016	16.64	Q833
Maldives	2017	38.73	Q826
Mali	2017	43.58	Q912
Malta	2017	5.45	Q233
Mauritania	2015	40.39	Q1025
Mauritius	2017	8.42	Q1027
Mexico	2017	8.87	Q96
Moldova	2016	9.29	Q217
Mongolia	2017	2.79	Q711
Montenegro	2017	4.46	Q236
Morocco	2017	16.68	Q1028
Mozambique	2016	23.17	Q1029
Myanmar	2015	5.7	Q836
Namibia	2017	22.15	Q1030
Nepal	2016	48.12	Q837
Netherlands	2017	5.45	Q55
New Zealand	2017	0.02	Q664
Nicaragua	2017	13.35	Q811
Niger	2017	46.37	Q1032
Nigeria	2016	36.36	Q1033
Norway	2017	6.41	Q20
Oman	2017	0.36	Q842
Pakistan	2016	49.35	Q843
Panama	2015	0.62	Q804
Papua New Guinea	2013	15.81	Q691
Paraguay	2017	17.89	Q733
Peru	2017	0	Q419
Philippines	2017	11.29	Q928
Poland	2017	5.45	Q36
Portugal	2017	5.45	Q45
Qatar	2017	0.09	Q846
Romania	2017	5.45	Q218
Russian Federation	2017	3.61	Q159
Rwanda	2016	36.16	Q1037
Samoa	2017	34.98	Q683
Saudi Arabia	2017	0.27	Q851
Senegal	2017	45.4	Q1041
Seychelles	2017	11.61	Q1042
Sierra Leone	2012	49.87	Q1044
Singapore	2017	0.07	Q334
Slovak Republic	2017	5.45	Q214
Slovenia	2017	5.45	Q215
Solomon Islands	2017	3.48	Q685
South Africa	2017	23.1	Q258
Spain	2017	5.45	Q29
Sri Lanka	2017	42.09	Q854
St. Kitts and Nevis	2017	41.7	Q763
St. Lucia	2016	38.01	Q760
St. Vincent and the Grenadines	2017	35.31	Q757
Suriname	2013	35.06	Q730
Eswatini	2017	12.15	Q1050
Sweden	2017	5.45	Q34
Switzerland	2017	10.35	Q39
Tajikistan	2017	10.81	Q863
Tanzania	2016	37.53	Q924
Thailand	2015	16.7	Q869
Togo	2017	45.41	Q945
Tonga	2017	64.28	Q678
Trinidad and Tobago	2013	36.22	Q754
Tunisia	2016	53.05	Q948
Turkey	2017	5.39	Q43
Uganda	2016	36.33	Q1036
Ukraine	2017	1.51	Q212
United Arab Emirates	2017	0.25	Q878
United Kingdom	2017	5.45	Q145
United States	2017	5.99	Q30
Uruguay	2017	32.32	Q77
Vanuatu	2017	43.26	Q686
Venezuela, RB	2017	27.56	Q717
Vietnam	2017	20.95	Q881
Yemen, Rep.	2017	1.93	Q805
Zambia	2016	27.11	Q953
Zimbabwe	2016	18.87	Q954
