Country	Equity	ID
Afghanistan	0	Q889
Albania	-3	Q222
Angola	0	Q916
Antigua and Barbuda	0	Q781
Argentina	-508	Q414
Armenia	0	Q399
Australia	-7053	Q408
Austria	-3814	Q40
Azerbaijan	0	Q227
Bahamas, The	0	Q778
Bangladesh	-38	Q902
Belarus	4	Q184
Belgium	-5306	Q31
Belize	0	Q242
Benin	10	Q962
Bermuda	-10	Q23635
Bhutan	0	Q917
Bolivia	24	Q750
Bosnia and Herzegovina	-2	Q225
Botswana	-137	Q963
Brazil	-3062	Q155
Brunei Darussalam	0	Q921
Bulgaria	109	Q219
Burkina Faso	31	Q965
Cabo Verde	0	Q1011
Cambodia	0	Q424
Cameroon	0	Q1009
Canada	20136	Q16
Chile	-1557	Q298
China	60668	Q148
Hong Kong SAR, China	-2397	Q8646
Macao SAR, China	6	Q14773
Colombia	-823	Q739
Congo, Dem. Rep.	-7	Q974
Costa Rica	44	Q800
Cote d'Ivoire	15	Q1008
Croatia	34	Q224
Curacao	0	Q25279
Cyprus	2192	Q229
Czech Republic	110	Q213
Denmark	-11349	Q35
Dominica	0	Q784
Dominican Republic	0	Q786
Ecuador	6	Q736
Egypt, Arab Rep.	220	Q79
El Salvador	0	Q792
Estonia	-76	Q191
Finland	10972	Q33
France	-20683	Q142
Georgia	4	Q230
Germany	-41983	Q183
Greece	-173	Q41
Grenada	0	Q769
Guatemala	0	Q774
Guinea	0	Q1006
Hungary	83	Q28
Iceland	145	Q189
India	-4361	Q668
Indonesia	-3668	Q252
Iraq	9	Q796
Ireland	150919	Q27
Israel	-8380	Q801
Italy	-5364	Q38
Jamaica	181	Q766
Japan	-41679	Q17
Jordan	41	Q810
Kazakhstan	-1520	Q232
Korea, Rep.	-6302	Q884
Kosovo	0	Q1246
Kuwait	410	Q817
Kyrgyz Republic	0	Q813
Lao PDR	2	Q819
Latvia	-1	Q211
Lebanon	-190	Q822
Lesotho	0	Q1013
Lithuania	-10	Q37
Luxembourg	238688	Q32
North Macedonia	-34	Q221
Madagascar	0	Q1019
Malaysia	-1143	Q833
Maldives	32	Q826
Mali	-1	Q912
Malta	183	Q233
Mauritius	-2269	Q1027
Mexico	2421	Q96
Moldova	-1	Q217
Mongolia	-7	Q711
Montenegro	0	Q236
Morocco	-184	Q1028
Mozambique	0	Q1029
Myanmar	0	Q836
Namibia	2	Q1030
Netherlands	-53997	Q55
New Zealand	1654	Q664
Niger	21	Q1032
Nigeria	2206	Q1033
Norway	999	Q20
Oman	-858	Q842
Pakistan	-528	Q843
Panama	0	Q804
Papua New Guinea	0	Q691
Peru	-442	Q419
Philippines	-1031	Q928
Poland	876	Q36
Portugal	-189	Q45
Qatar	2267	Q846
Romania	-479	Q218
Russian Federation	-4164	Q159
Rwanda	6	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Senegal	15	Q1041
Serbia	-28	Q403
Seychelles	2	Q1042
Singapore	-3654	Q334
Sint Maarten (Dutch part)	0	Q26273
Slovak Republic	19	Q214
Slovenia	615	Q215
Solomon Islands	0	Q685
South Africa	2946	Q258
Spain	-15606	Q29
Sri Lanka	-4	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	3	Q760
St. Vincent and the Grenadines	0	Q757
Suriname	0	Q730
Sweden	46	Q34
Switzerland	-19430	Q39
Tajikistan	0	Q863
Tanzania	4	Q924
Thailand	-7101	Q869
Timor-Leste	0	Q574
Togo	-184	Q945
Tonga	0	Q678
Trinidad and Tobago	0	Q754
Tunisia	-41	Q948
Turkey	-1131	Q43
Uganda	66	Q1036
Ukraine	-9	Q212
United Kingdom	5585	Q145
United States	142397	Q30
Uruguay	19	Q77
Uzbekistan	13	Q265
West Bank and Gaza	47	Q407199
Zambia	-5	Q953
