Country	Institution	ID
Afghanistan	0	Q889
Albania	81.5	Q222
Algeria	0	Q262
Angola	31.7	Q916
Argentina	556.7	Q414
Armenia	49.1	Q399
Azerbaijan	-67.2	Q227
Bangladesh	0	Q902
Belarus	83.3	Q184
Belize	2.3	Q242
Benin	0	Q962
Bhutan	0	Q917
Bolivia	16.8	Q750
Bosnia and Herzegovina	111.6	Q225
Botswana	22.5	Q963
Brazil	-114.2	Q155
Bulgaria	-84	Q219
Burkina Faso	0	Q965
Burundi	0	Q967
Cabo Verde	-1.2	Q1011
Cambodia	0	Q424
Cameroon	38.2	Q1009
Central African Republic	0	Q929
Chad	0	Q657
China	476.6	Q148
Colombia	907.5	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0	Q974
Congo, Rep.	15.7	Q971
Costa Rica	115.2	Q800
Cote d'Ivoire	17.2	Q1008
Djibouti	0	Q977
Dominica	0	Q784
Dominican Republic	0.8	Q786
Ecuador	218.8	Q736
Egypt, Arab Rep.	1625.3	Q79
El Salvador	-30.1	Q792
Eritrea	0	Q986
Ethiopia	0	Q115
Fiji	19.5	Q712
Gabon	63.9	Q1000
Gambia, The	0	Q1005
Georgia	38.9	Q230
Ghana	0	Q117
Grenada	-0.8	Q769
Guatemala	162.7	Q774
Guinea	0	Q1006
Guinea-Bissau	0	Q1007
Guyana	0	Q734
Haiti	0	Q790
Honduras	0	Q783
India	540.4	Q668
Indonesia	767.3	Q252
Iran, Islamic Rep.	-65.1	Q794
Jamaica	3	Q766
Jordan	363.1	Q810
Kazakhstan	-207.6	Q232
Kenya	0	Q114
Kosovo	-13.6	Q1246
Kyrgyz Republic	0	Q813
Lao PDR	0	Q819
Lebanon	69.8	Q822
Lesotho	0	Q1013
Liberia	0	Q1014
North Macedonia	-4.7	Q221
Madagascar	0	Q1019
Malawi	0	Q1020
Maldives	0	Q826
Mali	0	Q912
Mauritania	0	Q1025
Mauritius	-24	Q1027
Mexico	-277.8	Q96
Moldova	7.6	Q217
Mongolia	0	Q711
Montenegro	-9.4	Q236
Morocco	147.2	Q1028
Mozambique	0	Q1029
Myanmar	0	Q836
Nepal	0	Q837
Nicaragua	0	Q811
Niger	0	Q1032
Nigeria	0	Q1033
Pakistan	53.4	Q843
Papua New Guinea	-13.3	Q691
Paraguay	32	Q733
Peru	51.3	Q419
Philippines	726.3	Q928
Romania	-65.3	Q218
Russian Federation	-122.6	Q159
Rwanda	0	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Senegal	0	Q1041
Serbia	50.5	Q403
Sierra Leone	0	Q1044
Solomon Islands	0	Q685
Somalia	0	Q1045
South Africa	-46.5	Q258
Sri Lanka	16.3	Q854
St. Lucia	-1.2	Q760
St. Vincent and the Grenadines	-0.8	Q757
Sudan	0	Q1049
Eswatini	1.1	Q1050
Syrian Arab Republic	0	Q858
Tajikistan	0	Q863
Tanzania	0	Q924
Thailand	-7	Q869
Timor-Leste	4.7	Q574
Togo	0	Q945
Tonga	0	Q678
Tunisia	482.9	Q948
Turkey	8.1	Q43
Turkmenistan	0	Q874
Uganda	0	Q1036
Ukraine	-27.1	Q212
Uzbekistan	356	Q265
Vanuatu	0	Q686
Venezuela, RB	0	Q717
Vietnam	106.4	Q881
Yemen, Rep.	0	Q805
Zambia	0	Q953
Zimbabwe	0	Q954
