Country	Migrants	ID
Afghanistan	-315	Q889
Albania	-70	Q222
Algeria	-50	Q262
Angola	32	Q916
Antigua and Barbuda	0	Q781
Argentina	24	Q414
Armenia	-25	Q399
Aruba	1,00	Q21203
Australia	791,00	Q408
Austria	325,00	Q40
Azerbaijan	6	Q227
Bahamas, The	5,00	Q778
Bahrain	239,00	Q398
Bangladesh	-1.848,00	Q902
Barbados	0,00	Q244
Belarus	44	Q184
Belgium	240,00	Q31
Belize	6	Q242
Benin	-10	Q962
Bhutan	2	Q917
Bolivia	-48,00	Q750
Bosnia and Herzegovina	-108	Q225
Botswana	15	Q963
Brazil	106	Q155
Brunei Darussalam	0,00	Q921
Bulgaria	-24,00	Q219
Burkina Faso	-125	Q965
Burundi	10	Q967
Cabo Verde	-7	Q1011
Cambodia	-150	Q424
Cameroon	-24	Q1009
Canada	1.210,00	Q16
Central African Republic	-200,00	Q929
Chad	10	Q657
Channel Islands	7,00	Q42314
Chile	559,00	Q298
China	-1742	Q148
Hong Kong SAR, China	147,00	Q8646
Macao SAR, China	25,00	Q14773
Colombia	1024	Q739
Comoros	-10	Q970
Congo, Dem. Rep.	119	Q974
Congo, Rep.	-20	Q971
Costa Rica	21	Q800
Cote d'Ivoire	-40	Q1008
Croatia	-40,00	Q224
Cuba	-72	Q241
Curacao	3,00	Q25279
Cyprus	25,00	Q229
Czech Republic	110,00	Q213
Denmark	76,00	Q35
Djibouti	5	Q977
Dominican Republic	-150,00	Q786
Ecuador	182	Q736
Egypt, Arab Rep.	-190,00	Q79
El Salvador	-203	Q792
Equatorial Guinea	80	Q983
Eritrea	-199	Q986
Estonia	20,00	Q191
Eswatini	-42	Q1050
Ethiopia	150,00	Q115
Fiji	-31,00	Q712
Finland	70,00	Q33
France	183,00	Q142
French Polynesia	-5,00	Q30971
Gabon	16	Q1000
Gambia, The	-15	Q1005
Georgia	-50,00	Q230
Germany	2719	Q183
Ghana	-50,00	Q117
Greece	-80,00	Q41
Grenada	-1,00	Q769
Guam	-3	Q16635
Guatemala	-46	Q774
Guinea	-20	Q1006
Guinea-Bissau	-7	Q1007
Guyana	-30,00	Q734
Haiti	-175	Q790
Honduras	-34,00	Q783
Hungary	30,00	Q28
Iceland	2	Q189
India	-2663	Q668
Indonesia	-495	Q252
Iran, Islamic Rep.	-275	Q794
Iraq	39,00	Q796
Ireland	118,00	Q27
Israel	50,00	Q801
Italy	745	Q38
Jamaica	-57,00	Q766
Japan	358	Q17
Jordan	51	Q810
Kazakhstan	-90	Q232
Kenya	-50,00	Q114
Kiribati	-4	Q710
Korea, Dem. Peopleâ€™s Rep.	-27,00	Q423
Korea, Rep.	59	Q884
Kuwait	198	Q817
Kyrgyz Republic	-20	Q813
Lao PDR	-74,00	Q819
Latvia	-74	Q211
Lebanon	-150	Q822
Lesotho	-50	Q1013
Liberia	-25,00	Q1014
Libya	-10,00	Q1016
Lithuania	-164,00	Q37
Luxembourg	49	Q32
North Macedonia	-5	Q221
Madagascar	-8	Q1019
Malawi	-80	Q1020
Malaysia	250	Q833
Maldives	57	Q826
Mali	-200,00	Q912
Malta	5,00	Q233
Mauritania	25,00	Q1025
Mauritius	0	Q1027
Mexico	-300,00	Q96
Micronesia, Fed. Sts.	-3	Q702
Moldova	-7,00	Q217
Mongolia	-4	Q711
Montenegro	-2	Q236
Morocco	-257	Q1028
Mozambique	-25	Q1029
Myanmar	-817	Q836
Namibia	-24,00	Q1030
Nepal	209,00	Q837
Netherlands	80,00	Q55
New Caledonia	3,00	Q33788
New Zealand	74,00	Q664
Nicaragua	-106	Q811
Niger	20	Q1032
Nigeria	-300,00	Q1033
Norway	140,00	Q20
Oman	437	Q842
Pakistan	-1.167,00	Q843
Panama	56	Q804
Papua New Guinea	-4	Q691
Paraguay	-83,00	Q733
Peru	495	Q419
Philippines	-336,00	Q928
Poland	-147,00	Q36
Portugal	-30,00	Q45
Puerto Rico	-490,00	Q1183
Qatar	200,00	Q846
Romania	-370,00	Q218
Russian Federation	912	Q159
Rwanda	-45	Q1037
Samoa	-14,00	Q683
Sao Tome and Principe	-8,00	Q1039
Saudi Arabia	675	Q851
Senegal	-100	Q1041
Serbia	20,00	Q403
Seychelles	-1	Q1042
Sierra Leone	-21,00	Q1044
Singapore	135,00	Q334
Slovak Republic	7,00	Q214
Slovenia	10	Q215
Solomon Islands	-8,00	Q685
Somalia	-200,00	Q1045
South Africa	727,00	Q258
South Sudan	-871,00	Q958
Spain	200,00	Q29
Sri Lanka	-490,00	Q854
St. Lucia	0,00	Q760
St. Vincent and the Grenadines	-1	Q757
Sudan	-250,00	Q1049
Suriname	-5	Q730
Sweden	200,00	Q34
Switzerland	260,00	Q39
Syrian Arab Republic	-2137	Q858
Tajikistan	-100	Q863
Tanzania	-200	Q924
Thailand	97,00	Q869
Timor-Leste	-27	Q574
Togo	-10	Q945
Tonga	-4	Q678
Trinidad and Tobago	-4,00	Q754
Tunisia	-20,00	Q948
Turkey	1.420,00	Q43
Turkmenistan	-25	Q874
Uganda	843	Q1036
Ukraine	50	Q212
United Arab Emirates	200,00	Q878
United Kingdom	1.303,00	Q145
United States	4.774,00	Q30
Uruguay	-15,00	Q77
Uzbekistan	-44	Q265
Vanuatu	1	Q686
Venezuela, RB	-3266	Q717
Vietnam	-400,00	Q881
Virgin Islands (U.S.)	-2,00	Q11703
West Bank and Gaza	-53	Q407199
Yemen, Rep.	-150	Q805
Zambia	-40	Q953
Zimbabwe	-584	Q954
