Country	Coal	Natural gas	Oil	Hydropower	Renewable sources	Nuclear power	ID
Albania	0	0	0	100	0	0	Q222
Algeria	0	98.4	1.3	0.2	0.1	0	Q262
Angola	0	0	46.8	53.2	0	0	Q916
Argentina	2	49.5	15.4	26.2	1.9	4.2	Q414
Armenia	0	35.9	0	28.3	0.1	31.8	Q399
Australia	62.9	20.8	2.7	5.3	8.3	0	Q408
Austria	8.2	12.6	1.4	60	16.5	0	Q40
Azerbaijan	0	86.1	6.5	6.6	0.4	0	Q227
Bahrain	0	100	0	0	0	0	Q398
Bangladesh	1.7	80.7	16.4	1	0.3	0	Q902
Belarus	0	97.9	1.1	0.3	0.5	0	Q184
Belgium	6.1	32.8	0.3	0.5	20.3	37.5	Q31
Benin	0	0	94.4	4.1	1.5	0	Q962
Bolivia	0	66.3	2.3	28.9	2.5	0	Q750
Bosnia and Herzegovina	64	0.2	0.3	35.5	0	0	Q225
Botswana	96.4	0	3.6	0	0	0	Q963
Brazil	4.7	13.7	5	61.8	12.1	2.6	Q155
Brunei Darussalam	0	99	1	0	0	0	Q921
Bulgaria	46.2	3.8	0.4	11.6	6.4	33.8	Q219
Cambodia	48.4	0	5.2	45.5	0.9	0	Q424
Cameroon	0	6	17.9	75	1.1	0	Q1009
Canada	9.8	10	1.2	56.7	6.3	15.5	Q16
Chile	37.1	15.1	4.2	31.7	11.9	0	Q298
China	70.3	2.5	0.2	19.1	4.9	2.3	Q148
Hong Kong SAR, China	65.4	33.8	0.5	0	0.3	0	Q8646
Colombia	11.9	19.3	0.6	65	3.3	0	Q739
Congo, Dem. Rep.	0	0	0.1	99.7	0.1	0	Q974
Congo, Rep.	0	46.7	0	53.3	0	0	Q971
Costa Rica	0	0	1	74.6	24.4	0	Q800
Cote d'Ivoire	0	78.1	5.2	15.5	1.2	0	Q1008
Croatia	20.6	10.7	2	56.9	10	0	Q224
Cuba	0	14.5	46	0.2	3.7	0	Q241
Cyprus	0	0	91.2	0	8.8	0	Q229
Czech Republic	53.1	2.7	0.1	2.2	9.2	32.5	Q213
Denmark	24.5	6.3	1.1	0.1	65.4	0	Q35
Dominican Republic	12.9	22	53.5	6.4	5.3	0	Q786
Ecuador	0	12.7	34.5	50.7	2.1	0	Q736
Egypt, Arab Rep.	0	70.7	21	7.4	0.9	0	Q79
El Salvador	0	0	42.2	22.6	35.2	0	Q792
Eritrea	0	0	99.5	0	0.5	0	Q986
Estonia	5.3	0.6	1.2	0.3	14.2	0	Q191
Ethiopia	0	0	0	92.7	7.3	0	Q115
Finland	8.3	7.6	0.3	24.4	20.1	33.9	Q33
France	2.2	3.5	0.4	9.7	6.2	77.6	Q142
Gabon	0	46	10.2	43.2	0.6	0	Q1000
Georgia	0	22	0	78	0	0	Q230
Germany	44.3	9.8	1	3	26.3	14.3	Q183
Ghana	0	38.8	0	50.9	0	0	Q117
Greece	42.7	17.5	10.9	11.8	16.9	0	Q41
Guatemala	21.4	0	18.2	35	25.3	0	Q774
Haiti	0	0	92	8	0	0	Q790
Honduras	1	0	56.7	26.1	16.2	0	Q783
Hungary	19.5	16.8	0.3	0.8	9.8	52.2	Q28
Iceland	0	0	0	73.3	26.7	0	Q189
India	75.3	4.9	1.7	10	5.4	2.8	Q668
Indonesia	55.8	25.2	8.4	5.9	4.8	0	Q252
Iran, Islamic Rep.	0.2	79.3	14.4	5	0.1	1.6	Q794
Iraq	0	24.4	25.7	3.7	0	0	Q796
Ireland	17.3	44	1.4	2.9	25.1	0	Q27
Israel	45.4	51.6	0.7	0	1.9	0	Q801
Italy	16.1	39.4	4.8	16.2	22.5	0	Q38
Jamaica	0	0	89.7	3.1	7.1	0	Q766
Japan	33.2	39.6	7.5	8.2	7.8	0.9	Q17
Jordan	0	48.4	50.6	0.3	0.7	0	Q810
Kazakhstan	71.6	18.4	1.2	8.7	0.2	0	Q232
Kenya	0	0	12.5	39.2	48.3	0	Q114
Korea, Dem. Peopleâ€™s Rep.	21.3	0	5.9	72.8	0	0	Q423
Korea, Rep.	43.1	22.4	2.3	0.4	1.5	30	Q884
Kosovo	97.5	0	0.2	2.3	0	0	Q1246
Kuwait	0	36.4	63.6	0	0	0	Q817
Kyrgyz Republic	13.2	1.3	0.3	85.2	0	0	Q813
Latvia	0	49.8	0	33.6	16.6	0	Q211
Lebanon	0	0	97.4	2.6	0	0	Q822
Libya	0	53.7	46.3	0	0	0	Q1016
Lithuania	0	46.5	6.5	8.2	31.2	0	Q37
Luxembourg	0	62.7	0	7.4	24.9	0	Q32
North Macedonia	58.4	3.2	2.5	33	2.9	0	Q221
Malaysia	42.3	46.6	1.2	9.3	0.7	0	Q833
Malta	0	0	92.3	0	7.7	0	Q233
Mauritius	39.4	0	37.8	4.1	18.7	0	Q1027
Mexico	10.9	59.9	10.1	9.9	5.5	3.7	Q96
Moldova	0	94.5	0.1	5.1	0.3	0	Q217
Mongolia	92.7	0	4.2	0	3.1	0	Q711
Montenegro	50.3	0	0	49.7	0	0	Q236
Morocco	55.5	18.8	7.2	6.1	8.2	0	Q1028
Mozambique	0	12.8	0.8	86.4	0	0	Q1029
Myanmar	1.8	39	0.3	58.9	0	0	Q836
Namibia	0.5	0	1.8	97.8	0	0	Q1030
Nepal	0	0	0	99.8	0.2	0	Q837
Netherlands	38.7	42.3	1.3	0.1	12.4	3.5	Q55
New Zealand	4.3	15.5	0	55.5	24.6	0	Q664
Nicaragua	0	0	49.9	6.4	43.6	0	Q811
Niger	41.6	0	57.6	0	0.8	0	Q1032
Nigeria	0	81.8	0	18.2	0	0	Q1033
Norway	0.1	1.8	0	95.8	1.9	0	Q20
Oman	0	97.4	2.6	0	0	0	Q842
Pakistan	0.1	25.7	37.2	30.7	0.8	4.8	Q843
Panama	6.9	0	27.8	60.8	4.6	0	Q804
Paraguay	0	0	0	100	0	0	Q733
Peru	0.8	45	1.4	49.1	3.6	0	Q419
Philippines	44.5	22.9	7.1	10.5	14.9	0	Q928
Poland	80.9	3.9	1.3	1.1	12.7	0	Q36
Portugal	28.7	20.6	2.6	16.9	30.6	0	Q45
Qatar	0	100	0	0	0	0	Q846
Romania	27.6	14.2	0.7	25.2	14.5	17.9	Q218
Russian Federation	14.8	49.7	0.9	15.8	0.1	17	Q159
Saudi Arabia	0	55.8	20.4	0	0	0	Q851
Senegal	0	4.2	83.6	8.6	1.8	0	Q1041
Serbia	72.4	0.6	0.1	26.8	0.1	0	Q403
Singapore	1.2	95	0.7	0	1.8	0	Q334
Slovak Republic	12.5	6	1.4	14.5	8.2	56.9	Q214
Slovenia	29.6	2.7	0.1	25.7	3.7	38.1	Q215
South Africa	92.7	0	0.1	0.3	1.9	5.5	Q258
South Sudan	0	0	99.4	0	0.6	0	Q958
Spain	19	18.9	6.2	10.1	24.8	20.6	Q29
Sri Lanka	33.7	0	17.8	45.3	3.2	0	Q854
Sudan	0	0	22.6	64.5	0	0	Q1049
Suriname	0	0	39.9	60.1	0	0	Q730
Sweden	0.7	0.3	0.2	46.5	16.8	34.7	Q34
Switzerland	0	1	0.1	57.9	4.3	34.9	Q39
Syrian Arab Republic	0	68.6	29.1	2.3	0	0	Q858
Tajikistan	1.5	0	0	98.5	0	0	Q863
Tanzania	0	43.9	21.9	33.5	0.7	0	Q924
Thailand	19.5	71.4	0.6	2.7	5.9	0	Q869
Togo	0	0	24.7	69.1	6.2	0	Q945
Trinidad and Tobago	0	99.8	0.2	0	0	0	Q754
Tunisia	0	91.4	4.6	0.4	2.5	0	Q948
Turkey	29.1	37.9	0.8	25.6	6.3	0	Q43
Turkmenistan	0	100	0	0	0	0	Q874
Ukraine	34.6	6.2	0.5	3.3	1.1	48.6	Q212
United Arab Emirates	0	98.5	1.2	0	0.2	0	Q878
United Kingdom	22.8	29.7	0.6	1.9	23	20.9	Q145
United States	34.2	31.9	0.9	5.8	7.4	19.3	Q30
Uruguay	0	0	11.4	60.2	28.4	0	Q77
Uzbekistan	4.1	75	0.3	20.7	0	0	Q265
Venezuela, RB	0	19.4	16.9	63.7	0	0	Q717
Vietnam	29.6	33.2	0.5	36.6	0.1	0	Q881
Yemen, Rep.	0	39.8	60.2	0	0	0	Q805
Zambia	0	0	3	97	0	0	Q953
Zimbabwe	46.8	0	0.5	51.4	1.3	0	Q954
