Country	Survey Year	Gender	ID
Afghanistan	2014	4.7	Q889
Albania	2019	18.1	Q222
Angola	2010	13.5	Q916
Antigua and Barbuda	2010	17.5	Q781
Argentina	2017	8	Q414
Armenia	2013	14.1	Q399
Azerbaijan	2013	2.6	Q227
Bahamas, The	2010	33.2	Q778
Bangladesh	2013	4.8	Q902
Barbados	2010	25.4	Q244
Belarus	2018	21.1	Q184
Belize	2010	25.5	Q242
Benin	2016	25.9	Q962
Bhutan	2015	26.3	Q917
Bolivia	2017	26.3	Q750
Bosnia and Herzegovina	2019	16.6	Q225
Botswana	2010	16.5	Q963
Brazil	2009	19.4	Q155
Bulgaria	2019	28.8	Q219
Burkina Faso	2009	11.3	Q965
Burundi	2014	16.3	Q967
Cambodia	2016	57.3	Q424
Cameroon	2016	22.9	Q1009
Cabo Verde	2009	16.7	Q1011
Central African Republic	2011	12.1	Q929
Chad	2018	12	Q657
Chile	2010	4.5	Q298
China	2012	17.5	Q148
Colombia	2017	18.9	Q739
Congo, Dem. Rep.	2013	10.8	Q974
Congo, Rep.	2009	17.2	Q971
Costa Rica	2010	15.4	Q800
Cote d'Ivoire	2016	14.3	Q1008
Croatia	2019	27	Q224
Cyprus	2019	8.2	Q229
Czech Republic	2019	16.1	Q213
Djibouti	2013	14.2	Q977
Dominica	2010	23.6	Q784
Dominican Republic	2016	21.2	Q786
Ecuador	2017	22.9	Q736
Egypt, Arab Rep.	2016	4.9	Q79
El Salvador	2016	28	Q792
Eritrea	2009	7.6	Q986
Estonia	2019	22.5	Q191
Ethiopia	2015	4.5	Q115
Gabon	2009	11.5	Q1000
Gambia, The	2018	9.6	Q1005
Georgia	2019	16.5	Q230
Ghana	2013	14.9	Q117
Greece	2018	17.2	Q41
Grenada	2010	24	Q769
Guatemala	2017	18.5	Q774
Guinea	2016	5.8	Q1006
Guyana	2010	17.7	Q734
Honduras	2016	28	Q783
Hungary	2019	22.1	Q28
India	2014	8.9	Q668
Indonesia	2015	22.1	Q252
Iraq	2011	2.3	Q796
Israel	2013	10.1	Q801
Italy	2019	15.3	Q38
Jamaica	2010	24.1	Q766
Jordan	2019	3.1	Q810
Kazakhstan	2019	26	Q232
Kenya	2018	18.1	Q114
Kosovo	2019	2.7	Q1246
Kyrgyz Republic	2019	32.9	Q813
Lao PDR	2018	43.1	Q819
Latvia	2019	32.6	Q211
Lebanon	2019	5.9	Q822
Lesotho	2016	36.2	Q1013
Liberia	2017	20.4	Q1014
Lithuania	2019	30.7	Q37
North Macedonia	2019	21.3	Q221
Madagascar	2013	28.2	Q1019
Malawi	2014	14.2	Q1020
Malaysia	2015	26.3	Q833
Mali	2016	11.6	Q912
Malta	2019	11.3	Q233
Mauritania	2014	4.5	Q1025
Mexico	2010	14.6	Q96
Moldova	2019	18.6	Q217
Mongolia	2019	38.9	Q711
Montenegro	2019	15	Q236
Morocco	2019	5.4	Q1028
Mozambique	2018	15.6	Q1029
Myanmar	2016	41.1	Q836
Namibia	2014	27.4	Q1030
Nepal	2013	17.2	Q837
Nicaragua	2016	27	Q811
Niger	2017	10.6	Q1032
Nigeria	2014	13.9	Q1033
Pakistan	2013	6	Q843
Panama	2010	23.5	Q804
Papua New Guinea	2015	13.8	Q691
Paraguay	2017	19.6	Q733
Peru	2017	19.9	Q419
Philippines	2015	29.9	Q928
Poland	2019	27.8	Q36
Portugal	2019	14	Q45
Romania	2013	20.1	Q218
Russian Federation	2019	24.3	Q159
Rwanda	2019	21.8	Q1037
Senegal	2014	14.1	Q1041
Serbia	2019	18.2	Q403
Sierra Leone	2017	15.9	Q1044
Slovak Republic	2019	22.9	Q214
Slovenia	2019	18.8	Q215
Solomon Islands	2015	22.6	Q685
South Sudan	2014	9.5	Q958
Sri Lanka	2011	8.8	Q854
St. Kitts and Nevis	2010	21.1	Q763
St. Lucia	2010	23.7	Q760
St. Vincent and the Grenadines	2010	38.6	Q757
Sudan	2014	3.4	Q1049
Suriname	2018	11.9	Q730
Eswatini	2016	27.4	Q1050
Sweden	2014	12.5	Q34
Syrian Arab Republic	2009	22.8	Q858
Tajikistan	2019	6.6	Q863
Tanzania	2013	14	Q924
Thailand	2016	64.8	Q869
Timor-Leste	2015	27	Q574
Togo	2016	11.4	Q945
Trinidad and Tobago	2010	20.8	Q754
Tunisia	2013	8.5	Q948
Turkey	2019	3.9	Q43
Uganda	2013	15.4	Q1036
Ukraine	2019	17.7	Q212
Uruguay	2017	10.6	Q77
Uzbekistan	2019	12.4	Q265
Venezuela, RB	2010	31.1	Q717
Vietnam	2015	22.4	Q881
West Bank and Gaza	2019	0.9	Q407199
Yemen, Rep.	2013	1.6	Q805
Zambia	2019	12.9	Q953
Zimbabwe	2016	16.3	Q954
