Country	Savings %	ID
Afghanistan	18	Q889
Albania	16.2	Q222
Algeria	38.4	Q262
Angola	27.3	Q916
Argentina	16.1	Q414
Armenia	13.4	Q399
Aruba	8.8	Q21203
Australia	22.4	Q408
Austria	27.7	Q40
Azerbaijan	34.8	Q227
Bahamas, The	13.4	Q778
Bahrain	26	Q398
Bangladesh	31.8	Q902
Barbados	-1.4	Q244
Belarus	30.3	Q184
Belgium	24.3	Q31
Belize	9.4	Q242
Benin	19.9	Q962
Bhutan	23.7	Q917
Bolivia	16.4	Q750
Bosnia and Herzegovina	15.2	Q225
Botswana	38.3	Q963
Brazil	12.7	Q155
Brunei Darussalam	53.3	Q921
Bulgaria	27.3	Q219
Burkina Faso	21.1	Q965
Burundi	4.3	Q967
Cabo Verde	35.5	Q1011
Cambodia	26.5	Q424
Cameroon	17.8	Q1009
Canada	19.9	Q16
Chile	20.3	Q298
China	46.4	Q148
Hong Kong SAR, China	24.7	Q8646
Macao SAR, China	57.1	Q14773
Colombia	15.6	Q739
Comoros	12.7	Q970
Congo, Dem. Rep.	21.9	Q974
Congo, Rep.	-4.8	Q971
Costa Rica	15.6	Q800
Cote d'Ivoire	15.2	Q1008
Croatia	25.4	Q224
Cyprus	21	Q229
Czech Republic	27.8	Q213
Denmark	28.3	Q35
Djibouti	27.3	Q977
Dominican Republic	24.6	Q786
Ecuador	26	Q736
Egypt, Arab Rep.	14.2	Q79
El Salvador	16.6	Q792
Estonia	29.1	Q191
Eswatini	22.3	Q1050
Ethiopia	33.4	Q115
Finland	23.8	Q33
France	22.4	Q142
Gambia, The	8.7	Q1005
Georgia	22	Q230
Germany	28.5	Q183
Ghana	21.4	Q117
Greece	12.9	Q41
Guatemala	13.7	Q774
Guinea	3.2	Q1006
Guinea-Bissau	8.8	Q1007
Guyana	36.2	Q734
Haiti	24.2	Q790
Honduras	22.3	Q783
Hungary	27.7	Q28
Iceland	22	Q189
India	31.3	Q668
Indonesia	32.6	Q252
Iraq	20.3	Q796
Ireland	45.4	Q27
Israel	24.4	Q801
Italy	20.5	Q38
Jamaica	22.3	Q766
Japan	27	Q17
Jordan	10.9	Q810
Kazakhstan	34.5	Q232
Kenya	10.6	Q114
Korea, Rep.	34.7	Q884
Kosovo	20.4	Q1246
Kuwait	37.4	Q817
Kyrgyz Republic	28.8	Q813
Lao PDR	18.4	Q819
Latvia	23.2	Q211
Lebanon	5.5	Q822
Lesotho	15.8	Q1013
Liberia	-74	Q1014
Lithuania	21	Q37
Luxembourg	27.3	Q32
Madagascar	19.2	Q1019
Malawi	13.3	Q1020
Malaysia	26.7	Q833
Mali	16.8	Q912
Malta	33.5	Q233
Marshall Islands	13.5	Q709
Mauritania	19.9	Q1025
Mauritius	15.3	Q1027
Mexico	24.3	Q96
Moldova	14.3	Q217
Mongolia	33.4	Q711
Montenegro	14.7	Q236
Morocco	28.3	Q1028
Mozambique	13.1	Q1029
Myanmar	30.1	Q836
Namibia	14.4	Q1030
Nepal	49.1	Q837
Netherlands	31.5	Q55
New Zealand	20.4	Q664
Nicaragua	25.1	Q811
Niger	23.1	Q1032
Nigeria	20.2	Q1033
North Macedonia	34.5	Q221
Norway	34.4	Q20
Oman	24	Q842
Pakistan	17.8	Q843
Palau	10.2	Q695
Panama	32.1	Q804
Paraguay	23.9	Q733
Peru	20.9	Q419
Philippines	35.3	Q928
Poland	20.5	Q36
Portugal	18.5	Q45
Qatar	52.6	Q846
Romania	19.6	Q218
Russian Federation	31	Q159
Rwanda	12.7	Q1037
Saudi Arabia	32.9	Q851
Senegal	20.7	Q1041
Serbia	19.8	Q403
Seychelles	10.7	Q1042
Sierra Leone	-7.8	Q1044
Singapore	49.4	Q334
Slovak Republic	22.5	Q214
Slovenia	27.3	Q215
South Africa	15.4	Q258
Spain	22.3	Q29
Sri Lanka	26.2	Q854
St. Lucia	10.4	Q760
St. Vincent and the Grenadines	4.4	Q757
Sudan	16.2	Q1049
Sweden	28.8	Q34
Switzerland	34.3	Q39
Tajikistan	20.2	Q863
Tanzania	31.2	Q924
Thailand	33.7	Q869
Timor-Leste	9.6	Q574
Togo	22.5	Q945
Tunisia	8.6	Q948
Turkey	27.5	Q43
Uganda	18.9	Q1036
Ukraine	10.9	Q212
United Kingdom	13.6	Q145
United States	18.3	Q30
Uruguay	12.9	Q77
Uzbekistan	40.7	Q265
Vietnam	24.3	Q881
West Bank and Gaza	10	Q407199
Zambia	32	Q953
Zimbabwe	-3.7	Q954
