Country	Annual Growth % (2010)	Annual Growth % (2019)	ID
Afghanistan	26.9	5.7	Q889
Albania	12.5	4.3	Q222
Algeria	13.5	-0.8	Q262
Angola	5.3	30.1	Q916
Antigua and Barbuda	0.2	-0.3	Q781
Argentina	33.1	30.1	Q414
Armenia	11.8	11.2	Q399
Aruba	-0.3	4.4	Q21203
Australia	10.1	14	Q408
Azerbaijan	24.3	20	Q227
Bahamas, The	2.7	1.3	Q778
Bangladesh	21.1	11.9	Q902
Barbados	0.6	-0.2	Q244
Belarus	31.9	12.2	Q184
Belize	-0.1	4.6	Q242
Benin	9.8	6	Q962
Bhutan	16.6	12.4	Q917
Bolivia	12.6	-1.5	Q750
Bosnia and Herzegovina	7.2	8.9	Q225
Botswana	10.7	8.3	Q963
Brazil	13.7	8.6	Q155
Brunei Darussalam	4.8	4.3	Q921
Bulgaria	6.3	9.9	Q219
Burkina Faso	18	8.5	Q965
Burundi	25	22.5	Q967
Cabo Verde	5.4	8.4	Q1011
Cambodia	21.3	26.6	Q424
Cameroon	13.8	13.9	Q1009
Central African Republic	16.1	14	Q929
Chad	25.3	0.6	Q657
Chile	7.7	12.1	Q298
China	18.9	8.9	Q148
Hong Kong SAR, China	6.9	4.8	Q8646
Macao SAR, China	14.5	5.5	Q14773
Colombia	11.5	8.9	Q739
Comoros	19.4	5.9	Q970
Congo, Dem. Rep.	34.8	35.8	Q974
Congo, Rep.	32	-6	Q971
Costa Rica	0.9	2.2	Q800
Cote d'Ivoire	19.1	10.8	Q1008
Croatia	12.6	3.9	Q224
Czech Republic	1.9	6.4	Q213
Denmark	7.9	6.3	Q35
Djibouti	12.2	8.8	Q977
Dominica	2.6	-8	Q784
Dominican Republic	12.3	11.7	Q786
Ecuador	16.4	8.9	Q736
Egypt, Arab Rep.	12.4	13.3	Q79
El Salvador	0.1	11.1	Q792
Equatorial Guinea	33.5	-2.5	Q983
Eswatini	7.9	1.7	Q1050
Fiji	3.5	2.7	Q712
Gabon	20.7	33.2	Q1000
Gambia, The	17.8	18.2	Q1005
Georgia	30.1	16.7	Q230
Ghana	31.9	21.4	Q117
Grenada	3.2	3.1	Q769
Guatemala	9.1	8.8	Q774
Guinea	85.3	23.6	Q1006
Guinea-Bissau	19.5	0.3	Q1007
Guyana	15.8	14.4	Q734
Haiti	26.1	17.6	Q790
Honduras	9.8	11.6	Q783
Hungary	4.3	8.2	Q28
Iceland	-10	6.6	Q189
India	17.8	10.5	Q668
Indonesia	15.4	6.5	Q252
Iran, Islamic Rep.	24.6	28	Q794
Iraq	31.2	2.7	Q796
Israel	3.1	4.4	Q801
Jamaica	5.6	9.5	Q766
Japan	1.8	2	Q17
Jordan	9.2	5.1	Q810
Kazakhstan	13.3	2.4	Q232
Kenya	22.4	5.6	Q114
Korea, Rep.	6	7.9	Q884
Kosovo	13.5	12.1	Q1246
Kuwait	3	3.8	Q817
Kyrgyz Republic	21.1	12.8	Q813
