Country	% Land	% Urban	% Rural	ID
Albania	4.9	0.3	0	Q222
Algeria	0	0	2.2	Q262
Angola	0.1	0	7.5	Q916
Antigua and Barbuda	13.2	5.8	0.8	Q781
Aruba	7.1	4.7	0.6	Q21203
Bahamas, The	52.9	1	12.7	Q778
Bahrain	34	21.3	9	Q398
Bangladesh	9.6	0.6	0.2	Q902
Barbados	0.7	0.5	0	Q244
Belarus	0	0	2.8	Q184
Belgium	7.7	4.9	5.7	Q31
Belize	6.1	0.4	0.9	Q242
Benin	1	0.1	7.4	Q962
Brazil	0.6	0	0.1	Q155
Brunei Darussalam	0.4	0.3	0.1	Q921
Cambodia	2.7	0.1	0	Q424
Cameroon	0	0	1.7	Q1009
Canada	1.7	0	3.3	Q16
Cabo Verde	3.6	0.3	3.2	Q1011
Chile	0.5	0	0.9	Q298
China	1.2	0.3	4.5	Q148
Hong Kong SAR, China	10.1	5.6	19.8	Q8646
Macao SAR, China	37.5	17.7	0.5	Q14773
Colombia	0.6	0.1	0.8	Q739
Comoros	0.8	0	0	Q970
Congo, Dem. Rep.	0	0	0	Q974
Congo, Rep.	0	0	0.6	Q971
Costa Rica	0.6	0	0.1	Q800
Cote d'Ivoire	0.2	0	0.8	Q1008
Croatia	1	0.2	8.3	Q224
Denmark	14.5	2.9	0.6	Q35
Djibouti	0.7	0.1	0.5	Q977
Dominica	0.8	0.3	1.6	Q784
Dominican Republic	1.7	0.1	1.3	Q786
Ecuador	1.5	0.2	1.3	Q736
Egypt, Arab Rep.	1.6	0.3	0.7	Q79
El Salvador	0.8	0.1	0.2	Q792
Equatorial Guinea	0.3	0	1.2	Q983
Eritrea	1.2	0	1.7	Q986
Estonia	1.8	0.1	0	Q191
Eswatini	0	0	0	Q1050
Ethiopia	0	0	6.7	Q115
Faroe Islands	7.7	1	2.5	Q4628
Fiji	3.1	0.6	0.4	Q712
Finland	0.5	0.1	1	Q33
France	1.6	0.6	19.9	Q142
French Polynesia	19.9	0	0.3	Q30971
Gabon	0.3	0	16.1	Q1000
Gambia, The	16.8	0.7	1.1	Q1005
Georgia	1.3	0.2	3.6	Q230
Germany	4.5	0.9	0.5	Q183
Ghana	0.6	0.1	2.3	Q117
Greece	3.1	0.8	10.1	Q41
Greenland	10.1	0	1.4	Q223
Grenada	1.8	0.5	0.9	Q769
Guam	1.6	0.7	0.4	Q16635
Guatemala	0.4	0	0.9	Q774
Guinea	0.9	0	6.4	Q1006
Guinea-Bissau	6.5	0.1	2.2	Q1007
Guyana	2.4	0.2	1.5	Q734
Haiti	1.6	0.1	2	Q790
Iceland	2.2	0	1.4	Q189
India	1.5	0.1	2.6	Q668
Indonesia	2.8	0.2	0.8	Q252
Iran, Islamic Rep.	0.8	0.1	2.9	Q794
Iraq	3.2	0.3	1.7	Q796
Ireland	2.1	0.4	1.6	Q27
Isle of Man	1.9	0.4	0.1	Q9676
Israel	0.4	0.3	2.6	Q801
Italy	3.9	1.3	2.4	Q38
Jamaica	3.6	1.2	0.9	Q766
Japan	3.4	2.5	0	Q17
Kenya	0.2	0	54.6	Q114
Kiribati	54.6	0.1	1.7	Q710
Korea, Dem. Peopleâ€™s Rep.	1.8	0.1	2.3	Q423
Lao PDR	0	0	1.3	Q819
Latvia	1.9	0.6	0.3	Q211
Liberia	0.3	0	0.5	Q1014
Lithuania	1.2	0.1	0	Q37
Luxembourg	0	0	0	Q32
North Macedonia	0	0	0.7	Q221
Madagascar	0.7	0	0	Q1019
Malawi	0	0	1	Q1020
Malaysia	1.3	0.3	45.5	Q833
Maldives	45.5	0	0	Q826
Mali	0	0	1.4	Q912
Malta	2.7	1.3	43.8	Q233
Marshall Islands	43.8	0	1.1	Q709
Mauritania	1.1	0	1.1	Q1025
Mauritius	1.3	0.2	2.1	Q1027
Mexico	2.2	0.1	6.3	Q96
Micronesia, Fed. Sts.	7.2	0.9	0.9	Q702
Moldova	1	0.1	3.1	Q217
Morocco	0.2	0	1.3	Q1028
Mozambique	1.3	0	3.5	Q1029
Myanmar	3.6	0.1	0.2	Q836
Netherlands	55.6	22.6	2.8	Q55
New Caledonia	2.9	0.1	0.8	Q33788
New Zealand	0.9	0.1	3	Q664
Nigeria	0.4	0	3	Q1033
Northern Mariana Islands	3.1	0.1	1.7	Q16644
Norway	2	0.3	0.7	Q20
Oman	0.8	0.1	1.5	Q842
Pakistan	1.5	0	1.9	Q843
Palau	2	0.1	1.6	Q695
Panama	1.7	0.1	0.5	Q804
Peru	0.3	0	2.4	Q419
Philippines	2.6	0.3	0.9	Q928
Poland	1.2	0.2	0.8	Q36
Portugal	1.4	0.6	0.9	Q45
Puerto Rico	5.7	4.8	11.4	Q1183
Qatar	12.1	0.7	2.3	Q846
Romania	2.4	0.1	0.8	Q218
Samoa	0.4	0	0	Q683
San Marino	0	0	0.8	Q238
Sao Tome and Principe	0.9	0.1	0.3	Q1039
Saudi Arabia	0.4	0.1	3.4	Q851
Seychelles	16.4	2.2	2.8	Q1042
Sierra Leone	2.9	0	3.7	Q1044
Slovenia	0.1	0.1	1.6	Q215
Solomon Islands	1.6	0	0.3	Q685
Somalia	0.3	0	0.1	Q1045
Spain	0.8	0.4	1.7	Q29
Sri Lanka	2.1	0.4	2	Q854
St. Kitts and Nevis	3.8	1.7	0.7	Q763
St. Vincent and the Grenadines	3.4	0.5	0.1	Q757
Sudan	0.1	0	2.5	Q1049
Suriname	2.7	0.2	0.6	Q730
Sweden	1	0.3	0	Q34
Switzerland	0	0	0	Q39
Tanzania	0.1	0	2.1	Q924
Thailand	2.9	0.8	0.7	Q869
Timor-Leste	0.7	0	0.3	Q574
Togo	0.4	0.1	5.8	Q945
Tonga	7.3	1.6	1.7	Q678
Trinidad and Tobago	2.7	0.9	1.4	Q754
Tunisia	1.9	0.5	0.4	Q948
Turks and Caicos Islands	55.9	0.8	32.7	Q18221
Ukraine	1.2	0.1	3.3	Q212
United Arab Emirates	4.8	1.5	3	Q878
United Kingdom	4.2	1.2	1	Q145
United States	1.2	0.2	1.4	Q30
Vanuatu	0.8	0	1.4	Q686
Venezuela, RB	1.5	0.1	14.6	Q717
Vietnam	15.4	0.8	3.8	Q881
