Country	Rents %	ID
Afghanistan	0	Q889
Albania	0	Q222
Algeria	2	Q262
American Samoa	0	Q16641
Angola	0.1	Q916
Antigua and Barbuda	0	Q781
Argentina	0.1	Q414
Armenia	0	Q399
Aruba	0	Q21203
Australia	0.5	Q408
Austria	0	Q40
Azerbaijan	2.1	Q227
Bahamas, The	0	Q778
Bahrain	1.4	Q398
Bangladesh	0.4	Q902
Barbados	0	Q244
Belarus	0	Q184
Belgium	0	Q31
Belize	0	Q242
Benin	0	Q962
Bermuda	0	Q23635
Bhutan	0	Q917
Bolivia	1.2	Q750
Bosnia and Herzegovina	0	Q225
Botswana	0	Q963
Brazil	0	Q155
Brunei Darussalam	7.8	Q921
Bulgaria	0	Q219
Burkina Faso	0	Q965
Burundi	0	Q967
Cambodia	0	Q424
Cameroon	0.1	Q1009
Canada	0	Q16
Cabo Verde	0	Q1011
Central African Republic	0	Q929
Chad	0	Q657
Chile	0	Q298
China	0.1	Q148
Hong Kong SAR, China	0	Q8646
Macao SAR, China	0	Q14773
Colombia	0.1	Q739
Comoros	0	Q970
Congo, Dem. Rep.	0	Q974
Congo, Rep.	0.8	Q971
Costa Rica	0	Q800
Cote d'Ivoire	0.3	Q1008
Croatia	0.1	Q224
Cuba	0	Q241
Cyprus	0	Q229
Czech Republic	0	Q213
Denmark	0.1	Q35
Djibouti	0	Q977
Dominica	0	Q784
Dominican Republic	0	Q786
Ecuador	0	Q736
Egypt, Arab Rep.	0.4	Q79
El Salvador	0	Q792
Equatorial Guinea	2.6	Q983
Estonia	0	Q191
Eswatini	0	Q1050
Ethiopia	0	Q115
Faroe Islands	0	Q4628
Fiji	0	Q712
Finland	0	Q33
France	0	Q142
Gabon	0.1	Q1000
Gambia, The	0	Q1005
Georgia	0	Q230
Germany	0	Q183
Ghana	0	Q117
Greece	0	Q41
Greenland	0	Q223
Grenada	0	Q769
Guam	0	Q16635
Guatemala	0	Q774
Guinea	0	Q1006
Guinea-Bissau	0	Q1007
Guyana	0	Q734
Haiti	0	Q790
Honduras	0	Q783
Hungary	0.1	Q28
Iceland	0	Q189
India	0	Q668
Indonesia	0.6	Q252
Iran, Islamic Rep.	1.5	Q794
Iraq	0.2	Q796
Ireland	0	Q27
Israel	0.1	Q801
Italy	0	Q38
Jamaica	0	Q766
Japan	0	Q17
Jordan	0	Q810
Kazakhstan	0.8	Q232
Kenya	0	Q114
Kiribati	0	Q710
Korea, Rep.	0	Q884
Kosovo	0	Q1246
Kuwait	0.5	Q817
Kyrgyz Republic	0	Q813
Lao PDR	0	Q819
Latvia	0	Q211
Lebanon	0	Q822
Lesotho	0	Q1013
Liberia	0	Q1014
Libya	1.3	Q1016
Lithuania	0	Q37
Luxembourg	0	Q32
North Macedonia	0	Q221
Madagascar	0	Q1019
Malawi	0	Q1020
Malaysia	1.9	Q833
Maldives	0	Q826
Mali	0	Q912
Malta	0	Q233
Mauritania	0	Q1025
Mauritius	0	Q1027
Mexico	0.1	Q96
Moldova	0	Q217
Mongolia	0	Q711
Montenegro	0	Q236
Morocco	0	Q1028
Mozambique	2.4	Q1029
Myanmar	2.1	Q836
Namibia	0	Q1030
Nepal	0	Q837
Netherlands	0.3	Q55
New Zealand	0.2	Q664
Nicaragua	0	Q811
Niger	0	Q1032
Nigeria	0.5	Q1033
Norway	1.4	Q20
Oman	1.5	Q842
Pakistan	0.4	Q843
Panama	0	Q804
Papua New Guinea	4.3	Q691
Paraguay	0	Q733
Peru	0.2	Q419
Philippines	0.1	Q928
Poland	0	Q36
Portugal	0	Q45
Puerto Rico	0	Q1183
Qatar	3.6	Q846
Romania	0.2	Q218
Russian Federation	1.9	Q159
Rwanda	0	Q1037
Samoa	0	Q683
Sao Tome and Principe	0	Q1039
Saudi Arabia	0.5	Q851
Senegal	0	Q1041
Serbia	0	Q403
Seychelles	0	Q1042
Sierra Leone	0	Q1044
Singapore	0	Q334
Slovak Republic	0	Q214
Slovenia	0	Q215
Solomon Islands	0	Q685
Somalia	0	Q1045
South Africa	0	Q258
South Sudan	0	Q958
Spain	0	Q29
Sri Lanka	0	Q854
St. Kitts and Nevis	0	Q763
St. Lucia	0	Q760
St. Vincent and the Grenadines	0	Q757
Sudan	0	Q1049
Suriname	0	Q730
Sweden	0	Q34
Switzerland	0	Q39
Tajikistan	0	Q863
Tanzania	0.1	Q924
Thailand	0.6	Q869
Timor-Leste	19.1	Q574
Togo	0	Q945
Tonga	0	Q678
Trinidad and Tobago	3	Q754
Tunisia	0.2	Q948
Turkey	0	Q43
Turkmenistan	8.2	Q874
Uganda	0	Q1036
Ukraine	0.7	Q212
United Arab Emirates	0.5	Q878
United Kingdom	0.1	Q145
United States	0	Q30
Uruguay	0	Q77
Uzbekistan	3.2	Q265
Vanuatu	0	Q686
Venezuela, RB	0.3	Q717
Vietnam	0.4	Q881
Virgin Islands (U.S.)	0	Q11703
West Bank and Gaza	0	Q407199
Yemen, Rep.	0	Q805
Zambia	0	Q953
Zimbabwe	0	Q954
