Country	Reference Year	Lowest 10%	Lowest 20%	Second 20%	Third 20%	Fourth 20%	Highest 20%	Highest 10%	ID
Albania	2017	3.1	7.5	12	16.5	23.3	40.7	24.8	Q222
Algeria	2011	4	9.4	13.7	17.5	22.3	37.2	22.9	Q262
Angola	2018	1.3	3.8	7.7	12.6	20.4	55.6	39.6	Q916
Argentina	2018	1.8	5	9.9	15.4	23.2	46.5	29.9	Q414
Armenia	2018	3.3	8.1	12.2	15.9	20.8	43	29.2	Q399
Australia	2014	2.8	7.4	12.2	16.1	22.1	42.1	27	Q408
Austria	2017	3	8	13.3	17.8	23.1	37.8	23	Q40
Azerbaijan	2005	4.8	10.8	13.9	16.6	20.9	37.8	24.2	Q227
Bangladesh	2016	3.7	8.6	12.4	16.1	21.4	41.4	26.8	Q902
Belarus	2018	4.3	10.1	14.4	17.8	22.3	35.5	21.4	Q184
Belgium	2017	3.3	8.7	14.2	18.1	22.7	36.3	21.9	Q31
Belize	1999	0.9	3.2	7.7	12	19.4	57.7	42.4	Q242
Benin	2015	1	3.2	9.6	14.2	20.8	52.1	37.6	Q962
Bhutan	2017	2.7	6.7	10.8	15.5	22.7	44.4	27.9	Q917
Bolivia	2018	1.5	4.6	10.1	15.3	22.9	47.2	30.4	Q750
Bosnia and Herzegovina	2011	2.9	7.5	12.3	16.7	22.9	40.7	25.1	Q225
Botswana	2015	1.5	3.9	7	11.1	19.5	58.5	41.5	Q963
Brazil	2018	1	3.1	7.3	12	19.2	58.4	42.5	Q155
Bulgaria	2017	1.9	5.7	11	15.4	21.3	46.6	31.9	Q219
Burkina Faso	2014	3.6	8.3	11.7	15	20.6	44.3	29.6	Q965
Burundi	2013	2.8	6.9	11	15	20.8	46.3	31	Q967
Cameroon	2014	1.7	4.5	8.5	13.7	21.6	51.7	35	Q1009
Canada	2013	2.4	6.7	12.4	17	23.3	40.6	25.1	Q16
Cabo Verde	2015	2.2	5.7	9.7	14.3	21.6	48.7	32.3	Q1011
Central African Republic	2008	1.2	3.3	7	11.1	17.7	60.9	46.2	Q929
Chad	2011	1.8	4.9	9.7	14.8	21.8	48.8	32.4	Q657
