Country	Survey Year	Regulations and tax	ID
Afghanistan	2014	1.5	Q889
Albania	2019	5.7	Q222
Angola	2010	3.7	Q916
Antigua and Barbuda	2010	2.7	Q781
Argentina	2017	3.3	Q414
Armenia	2013	1.7	Q399
Azerbaijan	2013	2	Q227
Bahamas, The	2010	1.9	Q778
Bangladesh	2013	3.2	Q902
Barbados	2010	1.5	Q244
Belarus	2018	2.8	Q184
Belize	2010	2.2	Q242
Benin	2016	1.6	Q962
Bhutan	2015	1.2	Q917
Bolivia	2017	4.3	Q750
Bosnia and Herzegovina	2019	2.9	Q225
Botswana	2010	2.5	Q963
Brazil	2009	1.8	Q155
Bulgaria	2019	2.6	Q219
Burkina Faso	2009	2.2	Q965
Burundi	2014	1.8	Q967
Cambodia	2016	5.8	Q424
Cameroon	2016	4.4	Q1009
Cabo Verde	2009	2.2	Q1011
Central African Republic	2011	4.3	Q929
Chad	2018	3.2	Q657
Chile	2010	4.7	Q298
China	2012	2.1	Q148
Colombia	2017	3.5	Q739
Congo, Dem. Rep.	2013	10.3	Q974
Congo, Rep.	2009	3	Q971
Costa Rica	2010	3.3	Q800
Cote d'Ivoire	2016	3.6	Q1008
Croatia	2019	1.6	Q224
Cyprus	2019	2	Q229
Czech Republic	2019	2.3	Q213
Djibouti	2013	1.4	Q977
Dominica	2010	2.2	Q784
Dominican Republic	2016	2.1	Q786
Ecuador	2017	3.5	Q736
Egypt, Arab Rep.	2016	3.2	Q79
El Salvador	2016	2.1	Q792
Eritrea	2009	1.7	Q986
Estonia	2019	1.9	Q191
Ethiopia	2015	3.7	Q115
Fiji	2009	2.2	Q712
Gabon	2009	18.8	Q1000
Gambia, The	2018	4.4	Q1005
Georgia	2019	2.2	Q230
Ghana	2013	3	Q117
Greece	2018	2.3	Q41
Grenada	2010	3.3	Q769
Guatemala	2017	3.8	Q774
Guinea	2016	2.9	Q1006
Guinea-Bissau	2006	3.9	Q1007
Guyana	2010	5.2	Q734
Honduras	2016	2.1	Q783
Hungary	2019	2.2	Q28
India	2014	3.1	Q668
Indonesia	2015	1.5	Q252
Iraq	2011	2	Q796
Israel	2013	1.1	Q801
Italy	2019	1.3	Q38
Jamaica	2010	1.6	Q766
Jordan	2019	1.7	Q810
Kazakhstan	2019	2.3	Q232
Kenya	2018	2.7	Q114
Kosovo	2019	2.6	Q1246
Kyrgyz Republic	2019	2.4	Q813
Lao PDR	2018	2.8	Q819
Latvia	2019	1.6	Q211
Lebanon	2019	1.6	Q822
Lesotho	2016	1.7	Q1013
Liberia	2017	4.9	Q1014
Lithuania	2019	1.4	Q37
North Macedonia	2019	3	Q221
Madagascar	2013	1.5	Q1019
Malawi	2014	2.8	Q1020
Malaysia	2015	1.4	Q833
Mali	2016	2.9	Q912
Malta	2019	1.7	Q233
Mauritania	2014	2.4	Q1025
Mauritius	2009	3	Q1027
Mexico	2010	3	Q96
Micronesia, Fed. Sts.	2009	2.3	Q702
Moldova	2019	2.4	Q217
Mongolia	2019	2.5	Q711
Montenegro	2019	3.3	Q236
Morocco	2019	1.6	Q1028
Mozambique	2018	2.7	Q1029
Myanmar	2016	1.8	Q836
Namibia	2014	2	Q1030
Nepal	2013	2.7	Q837
Nicaragua	2016	3.7	Q811
Niger	2017	3.3	Q1032
Nigeria	2014	3.7	Q1033
Pakistan	2013	3.6	Q843
Panama	2010	2.1	Q804
Papua New Guinea	2015	1.4	Q691
Paraguay	2017	2.4	Q733
Peru	2017	2.5	Q419
Philippines	2015	1.4	Q928
Poland	2019	1.5	Q36
Portugal	2019	1.3	Q45
Romania	2013	2.3	Q218
Russian Federation	2019	1.7	Q159
Rwanda	2019	3.5	Q1037
Samoa	2009	2.1	Q683
Senegal	2014	2.1	Q1041
Serbia	2019	2.1	Q403
Sierra Leone	2017	3.2	Q1044
Slovak Republic	2019	1.7	Q214
Slovenia	2019	1.7	Q215
Solomon Islands	2015	2	Q685
South Africa	2007	1.8	Q258
South Sudan	2014	3.2	Q958
Sri Lanka	2011	2.4	Q854
St. Kitts and Nevis	2010	2.8	Q763
St. Lucia	2010	2.2	Q760
St. Vincent and the Grenadines	2010	2.2	Q757
Sudan	2014	3.3	Q1049
Suriname	2018	3.1	Q730
Eswatini	2016	3.7	Q1050
Sweden	2014	1.4	Q34
Tajikistan	2019	4.3	Q863
Tanzania	2013	2.2	Q924
Thailand	2016	1.2	Q869
Timor-Leste	2015	2.4	Q574
Togo	2016	2.8	Q945
Tonga	2009	1.3	Q678
Trinidad and Tobago	2010	1.4	Q754
Tunisia	2013	1.5	Q948
Turkey	2019	1.5	Q43
Uganda	2013	3.9	Q1036
Ukraine	2019	1.8	Q212
Uruguay	2017	2.9	Q77
Uzbekistan	2019	2.9	Q265
Vanuatu	2009	2.4	Q686
Venezuela, RB	2010	3.8	Q717
Vietnam	2015	1.9	Q881
West Bank and Gaza	2019	1.9	Q407199
Yemen, Rep.	2013	4	Q805
Zambia	2019	3.3	Q953
Zimbabwe	2016	3	Q954
