Country	Investment (2010-14)	Investment (2015-19)	ID
Argentina	2519.5	5347.5	Q414
Armenia	107	571.4	Q399
Bangladesh	2546.2	1232.7	Q902
Belarus	3125	11.3	Q184
Belize	22.2	8.6	Q242
Bosnia and Herzegovina	661.9	60	Q225
Brazil	79250.7	46818.6	Q155
Bulgaria	1611.2	11.6	Q219
Cambodia	1863.5	112.7	Q424
Cameroon	342	1369.4	Q1009
China	11614.5	9799	Q148
Colombia	3138.6	2574.3	Q739
Costa Rica	853.6	189	Q800
Cote d'Ivoire	680	582.1	Q1008
Dominican Republic	862.7	573.6	Q786
Ecuador	185.7	222.8	Q736
Egypt, Arab Rep.	590.7	2841	Q79
El Salvador	16	1336.7	Q792
Gabon	368	167	Q1000
Georgia	432.7	496.4	Q230
Ghana	2140	2285	Q117
Guatemala	2131.7	183.9	Q774
Honduras	1273.6	1038.9	Q783
India	71680.2	7581.4	Q668
Indonesia	8194.2	20809.4	Q252
Iraq	500	500	Q796
Jamaica	132	663.8	Q766
Jordan	1643	4372.8	Q810
Kazakhstan	42.7	606	Q232
Kenya	1864.6	520.2	Q114
Kosovo	486.2	211.7	Q1246
Lao PDR	12229.5	1899	Q819
North Macedonia	14.2	12	Q221
Malaysia	3708.9	3316.1	Q833
Mexico	10755.8	19402.2	Q96
Mongolia	120	320.7	Q711
Morocco	6282.3	2533.4	Q1028
Mozambique	298.7	413	Q1029
Myanmar	170	608	Q836
Nepal	1276	845.8	Q837
Nigeria	407.3	950	Q1033
Pakistan	2455.4	12828.2	Q843
Peru	8552.2	3139	Q419
Philippines	4523.7	9391.4	Q928
Romania	4634	114.6	Q218
Russian Federation	12905.3	1789.7	Q159
Rwanda	230.1	362	Q1037
Senegal	359	851.1	Q1041
Serbia	574	818	Q403
Sierra Leone	30	40	Q1044
South Africa	9683.3	10087.1	Q258
Tanzania	134.1	8.5	Q924
Thailand	9795	6911.6	Q869
Turkey	42001.6	6951.6	Q43
Uganda	64	215.7	Q1036
Ukraine	2269.2	2102.7	Q212
Vietnam	5822.3	9533.4	Q881
Zambia	1849	934	Q953
