Country	Reference Year	Crude rate Marriage	Crude rate Divorce	Actual Ratio	Percent Ratio	ID
Albania	2016	7.8	1.9	4.11	24.36	Q222
Algeria	2013	10.1	1.6	6.31	15.84	Q262
Armenia	2011	6.0	1.0	6.0	16.67	Q399
Australia	2017	4.6	2.0	2.3	43.48	Q408
Austria	2016	5.1	1.8	2.83	35.29	Q40
Azerbaijan	2011	9.7	1.5	6.47	15.46	Q227
Bahamas	2007	6.1	1.0	6.1	16.39	Q778
Belarus	2011	9.2	4.1	2.24	44.57	Q184
Belgium	2016	3.9	2.1	1.86	53.85	Q31
Bermuda	2009	10.6	2.7	3.93	25.47	Q23635
Bosnia and Herzegovina	2012	4.8	0.6	8.0	12.5	Q225
Brazil	2009	6.6	1.4	4.71	21.21	Q155
Bulgaria	2015	3.8	1.5	2.53	39.47	Q219
Canada	2008	4.4	2.1	2.1	47.73	Q16
Chile	2009	3.3	0.7	4.71	21.21	Q298
China	2018	7.2	3.2	2.25	44.44	Q148
Colombia	2007	2.3	0.7	3.29	30.43	Q739
Costa Rica	2010	5.3	2.5	2.12	47.17	Q800
Croatia	2016	4.9	1.7	2.88	34.69	Q224
Cuba	2010	5.2	2.9	1.79	55.77	Q241
Cyprus	2016	7.5	2.3	3.26	30.67	Q229
Czech Republic	2016	4.8	2.4	2.0	50.0	Q213
Denmark	2016	5.4	3.0	1.8	55.56	Q35
Dominican Republic	2010	4.4	1.8	2.44	40.91	Q786
Ecuador	2006	5.6	1.1	5.09	19.64	Q736
Egypt	2010	11.0	1.9	5.79	17.27	Q79
El Salvador	2006	3.5	0.8	4.38	22.86	Q792
Estonia	2016	5.2	2.6	2.0	50.0	Q191
EU	2017	4.4	2.0	2.2	45.45	Q30
Finland	2016	4.5	2.5	1.8	55.56	Q33
France	2016	3.5	1.9	1.84	54.29	Q142
Georgia	2011	6.9	1.3	5.31	18.84	Q230
Germany	2016	5.0	2.0	2.5	40.0	Q183
Gibraltar	2010	6.7	3.2	2.09	47.76	Q1410
Grenada	2001	5.0	1.1	4.55	22.0	Q769
Greece	2016	4.6	1.0	4.6	21.74	Q41
Guatemala	2008	3.8	1.2	3.17	31.58	Q774
Hungary	2016	5.3	2.0	2.65	37.74	Q28
Iceland	2010	4.9	1.8	2.72	36.73	Q189
Iran	2017	11.2	1.6	7.0	14.29	Q794
Ireland	2015	4.7	0.7	6.71	14.89	Q27
Israel	(2009)[citation needed]	6.5	1.8	3.61	27.69	Q801
Italy	2016	3.4	1.6	2.13	47.06	Q38
Jamaica	2011	7.5	1.5	5.0	20.0	Q766
