Country	Macroeconomic management	Fiscal policy	Debt policy	Average	ID
Afghanistan	2.7	3.5	3.0	2.5	Q889
Bangladesh	3.1	3.5	3.5	4.0	Q902
Benin	3.6	4.0	4.0	4.5	Q962
Bhutan	3.9	4.5	4.0	4.0	Q917
Burkina Faso	3.5	4.0	3.0	4.0	Q965
Burundi	2.9	2.5	3.0	2.5	Q967
Cabo Verde	3.8	4.0	3.5	2.5	Q1011
Cambodia	3.4	4.0	3.5	5.0	Q424
Cameroon	3.3	4.0	3.5	3.5	Q1009
Central African Republic	2.6	3.5	3.0	2.5	Q929
Chad	2.8	3.5	3.0	2.5	Q657
Comoros	2.8	3.0	2.5	3.0	Q970
Congo, Dem. Rep.	2.9	3.0	3.0	3.5	Q974
Congo, Rep.	2.7	3.0	3.0	2.0	Q971
Cote d'Ivoire	3.5	4.0	3.5	3.5	Q1008
Djibouti	3.2	4.0	3.0	2.5	Q977
Dominica	3.7	4.5	4.0	3.0	Q784
Eritrea	1.9	1.5	1.5	1.5	Q986
Ethiopia	3.5	3.5	3.5	3.5	Q115
Gambia, The	3.0	2.5	2.5	2.0	Q1005
Ghana	3.6	3.5	3.0	3.5	Q117
Grenada	3.6	4.5	3.5	3.0	Q769
Guinea	3.2	4.0	3.5	3.0	Q1006
Guinea-Bissau	2.5	3.0	2.5	2.5	Q1007
Guyana	3.3	3.5	3.5	3.5	Q734
Haiti	2.8	3.5	3.0	2.5	Q790
Honduras	3.4	3.5	3.5	4.0	Q783
Kenya	3.7	4.5	3.5	4.0	Q114
Kiribati	3.0	3.0	2.5	2.5	Q710
Kosovo	3.6	3.5	3.0	4.5	Q1246
Kyrgyz Republic	3.5	4.0	3.0	4.0	Q813
Lao PDR	3.0	3.0	3.0	2.0	Q819
Lesotho	3.3	3.5	2.5	3.5	Q1013
Liberia	2.9	3.0	3.0	3.0	Q1014
Madagascar	3.3	4.0	3.0	4.0	Q1019
Malawi	3.2	3.5	2.0	3.0	Q1020
Maldives	3.3	3.5	2.5	2.5	Q826
Mali	3.4	4.0	4.0	4.0	Q912
Marshall Islands	2.6	3.0	2.5	2.0	Q709
Mauritania	3.4	3.5	4.0	3.0	Q1025
Micronesia, Fed. Sts.	2.7	3.0	2.5	2.5	Q702
Moldova	3.7	4.5	3.5	4.0	Q217
Mongolia	3.4	3.5	3.0	3.0	Q711
Mozambique	3.1	3.5	3.0	2.0	Q1029
Myanmar	3.0	3.5	3.5	4.0	Q836
Nepal	3.4	3.0	3.0	4.0	Q837
Nicaragua	3.4	4.0	4.0	4.0	Q811
Niger	3.4	4.0	3.5	4.0	Q1032
Nigeria	3.2	3.0	3.0	4.0	Q1033
Pakistan	3.3	3.5	2.5	3.5	Q843
Papua New Guinea	3.0	3.0	2.5	3.5	Q691
Rwanda	4.0	4.0	4.0	4.0	Q1037
Samoa	4.0	4.5	4.5	3.5	Q683
Sao Tome and Principe	3.0	3.0	3.0	2.5	Q1039
Senegal	3.7	4.0	3.5	4.0	Q1041
Sierra Leone	3.1	3.5	3.0	3.0	Q1044
Solomon Islands	2.9	3.5	2.5	3.5	Q685
Somalia	2.0	2.0	2.5	1.5	Q1045
South Sudan	1.4	1.0	1.0	1.0	Q958
St. Lucia	3.6	4.5	3.0	2.5	Q760
St. Vincent and the Grenadines	3.7	4.5	3.0	3.5	Q757
Sudan	2.2	1.5	2.5	1.5	Q1049
Tajikistan	3.1	4.0	3.5	2.5	Q863
Tanzania	3.5	4.5	3.5	4.0	Q924
Timor-Leste	2.8	3.0	2.5	3.5	Q574
Togo	3.3	4.0	3.0	3.0	Q945
Tonga	3.5	3.5	3.5	3.0	Q678
Tuvalu	2.9	3.0	3.0	2.0	Q672
Uganda	3.7	4.0	4.0	5.0	Q1036
Uzbekistan	3.7	4.0	4.0	4.5	Q265
Vanuatu	3.4	4.0	3.5	4.0	Q686
Yemen, Rep.	2.0	2.0	2.0	1.5	Q805
Zambia	3.2	3.0	2.0	3.0	Q953
Zimbabwe	3.0	2.5	3.0	2.0	Q954
