Country	Most recent year	Tariff	ID
Albania	2017	0	Q222
Angola	2016	0	Q916
Antigua and Barbuda	2017	0	Q781
Argentina	2017	0	Q414
Armenia	2017	1.1	Q399
Australia	2017	0	Q408
Austria	2017	0.7	Q40
Bahrain	2017	0.9	Q398
Bangladesh	2016	0	Q902
Barbados	2013	0.8	Q244
Belgium	2017	0.7	Q31
Belize	2017	1.4	Q242
Benin	2017	0	Q962
Bolivia	2017	0	Q750
Botswana	2017	0.2	Q963
Brazil	2017	0	Q155
Brunei Darussalam	2017	0.2	Q921
Bulgaria	2017	0.7	Q219
Burkina Faso	2017	0	Q965
Burundi	2016	0	Q967
Cabo Verde	2015	0	Q1011
Cambodia	2016	0.2	Q424
Cameroon	2014	0	Q1009
Canada	2017	0.2	Q16
Central African Republic	2017	0	Q929
Chad	2016	0.3	Q657
Chile	2017	0	Q298
China	2017	0.1	Q148
Hong Kong SAR, China	2017	0	Q8646
Macao SAR, China	2017	0	Q14773
Colombia	2017	0	Q739
Congo, Dem. Rep.	2014	0	Q974
Congo, Rep.	2015	0	Q971
Costa Rica	2016	0	Q800
Cote d'Ivoire	2017	0	Q1008
Croatia	2017	0.7	Q224
Cuba	2017	0	Q241
Czech Republic	2017	0.7	Q213
Denmark	2017	0.7	Q35
Djibouti	2014	0.2	Q977
Dominica	2017	0	Q784
Dominican Republic	2017	0	Q786
Ecuador	2017	0	Q736
Egypt, Arab Rep.	2017	0	Q79
El Salvador	2017	0	Q792
Estonia	2017	0.7	Q191
Fiji	2017	0.6	Q712
Finland	2017	0.7	Q33
France	2017	0.7	Q142
Gabon	2016	0	Q1000
Gambia, The	2013	0	Q1005
Georgia	2016	7.8	Q230
Germany	2017	0.7	Q183
Ghana	2017	0.1	Q117
Greece	2017	0.7	Q41
Grenada	2016	0.1	Q769
Guatemala	2015	0	Q774
Guinea	2017	0	Q1006
Guinea-Bissau	2017	0	Q1007
Guyana	2017	0	Q734
Haiti	2016	0.1	Q790
Honduras	2015	0.1	Q783
Hungary	2017	0.7	Q28
Iceland	2017	0.1	Q189
India	2017	1.5	Q668
Indonesia	2017	0.1	Q252
Ireland	2017	0.7	Q27
Israel	2017	0	Q801
Italy	2017	0.7	Q38
Jamaica	2016	0	Q766
Japan	2017	0.9	Q17
Jordan	2017	0	Q810
Kazakhstan	2017	1.1	Q232
Kenya	2016	0	Q114
Korea, Rep.	2017	0	Q884
Kuwait	2017	0.5	Q817
Kyrgyz Republic	2017	0.9	Q813
Lao PDR	2017	0	Q819
Latvia	2017	0.7	Q211
Lesotho	2017	0.2	Q1013
Lithuania	2017	0.7	Q37
Luxembourg	2017	0.7	Q32
North Macedonia	2017	0	Q221
Madagascar	2017	0	Q1019
Malawi	2016	0	Q1020
Malaysia	2016	0.4	Q833
Maldives	2017	0	Q826
Mali	2017	0	Q912
Malta	2017	0.7	Q233
Mauritania	2015	0.1	Q1025
Mauritius	2017	0	Q1027
Mexico	2017	0.1	Q96
Moldova	2016	0.1	Q217
Mongolia	2017	0	Q711
Montenegro	2017	0	Q236
Morocco	2017	0	Q1028
Mozambique	2016	0.5	Q1029
Myanmar	2015	0	Q836
Namibia	2017	0.1	Q1030
Nepal	2016	0.9	Q837
Netherlands	2017	0.7	Q55
New Zealand	2017	0.7	Q664
Nicaragua	2017	0	Q811
Niger	2017	0	Q1032
Nigeria	2016	0	Q1033
Norway	2017	0	Q20
Oman	2017	0.3	Q842
Pakistan	2016	0	Q843
Panama	2015	0.1	Q804
Papua New Guinea	2013	0.2	Q691
Paraguay	2017	0	Q733
Peru	2017	0	Q419
Philippines	2017	0	Q928
Poland	2017	0.7	Q36
Portugal	2017	0.7	Q45
Qatar	2017	0.7	Q846
Romania	2017	0.7	Q218
Russian Federation	2017	1.4	Q159
Rwanda	2016	0.1	Q1037
Samoa	2017	0.2	Q683
Saudi Arabia	2017	0.2	Q851
Senegal	2017	0	Q1041
Seychelles	2017	0.3	Q1042
Sierra Leone	2012	0.4	Q1044
Singapore	2017	0	Q334
Slovak Republic	2017	0.7	Q214
Slovenia	2017	0.7	Q215
Solomon Islands	2017	0.5	Q685
South Africa	2017	0.1	Q258
Spain	2017	0.7	Q29
Sri Lanka	2017	0.4	Q854
St. Kitts and Nevis	2017	0	Q763
St. Lucia	2016	0	Q760
St. Vincent and the Grenadines	2017	0	Q757
Suriname	2013	0	Q730
Eswatini	2017	0.2	Q1050
Sweden	2017	0.7	Q34
Switzerland	2017	0	Q39
Tajikistan	2017	0.8	Q863
Tanzania	2016	0	Q924
Thailand	2015	0.5	Q869
Togo	2017	0	Q945
Tonga	2017	0	Q678
Trinidad and Tobago	2013	0.2	Q754
Tunisia	2016	0.2	Q948
Turkey	2017	0.7	Q43
Uganda	2016	0	Q1036
Ukraine	2017	0	Q212
United Arab Emirates	2017	1	Q878
United Kingdom	2017	0.7	Q145
United States	2017	1	Q30
Uruguay	2017	0	Q77
Vanuatu	2017	0	Q686
Venezuela, RB	2017	0	Q717
Vietnam	2017	0.5	Q881
Yemen, Rep.	2017	0.8	Q805
Zambia	2016	0	Q953
Zimbabwe	2016	6	Q954
