Country	Total debt % (2010)	Total debt % (2018)	ID
Albania	69.6	80.7	Q222
Australia	0	0.1	Q408
Bahamas, The	33.7	51.4	Q778
Barbados	95.7	141.7	Q244
Belarus	18.9	40	Q184
Bhutan	56.2	110.7	Q917
Bosnia and Herzegovina	45.8	52.9	Q225
Botswana	21.6	15.2	Q963
Brazil	61.3	73.4	Q155
Colombia	72.5	57.4	Q739
El Salvador	57.5	52.1	Q792
Georgia	35	42.1	Q230
Guatemala	24.4	23	Q774
Hungary	80.8	96.2	Q28
Iceland	102.4	73.5	Q189
Indonesia	26.2	31.4	Q252
Ireland	82.6	84.8	Q27
Jamaica	136.2	122.7	Q766
Japan	162.3	196.6	Q17
Jordan	60.5	75.4	Q810
Kazakhstan	9.5	16.8	Q232
Korea, Rep.	32.4	38.1	Q884
Malawi	28	48.7	Q1020
Malaysia	49.6	51.9	Q833
Marshall Islands	64.9	48.9	Q709
Micronesia, Fed. Sts.	24.2	25.4	Q702
Moldova	21.9	31.9	Q217
New Zealand	34.9	42.3	Q664
Palau	33.2	67.5	Q695
Peru	23.7	23.2	Q419
Russian Federation	9.1	14.2	Q159
San Marino	55	57.3	Q238
Seychelles	75.4	63.3	Q1042
Singapore	101.4	109.2	Q334
Solomon Islands	15.9	7	Q685
Spain	54	104.6	Q29
Sri Lanka	71.6	77.7	Q854
Switzerland	21.6	19.7	Q39
Thailand	26.9	35.3	Q869
Tonga	49	51.8	Q678
Turkey	47.4	31.9	Q43
Ukraine	30	71.8	Q212
United Kingdom	81.7	115	Q145
United States	85.5	99	Q30
Uruguay	44.2	50.7	Q77
Zambia	18	49.4	Q953
