Country	Annual Growth % (2010)	Annual Growth % (2019)	ID
Afghanistan	9	0.3	Q889
Albania	4.9	3	Q222
Algeria	2.2	5.5	Q262
Angola	13.1	10.6	Q916
Antigua and Barbuda	0.1	0.6	Q781
Armenia	26.4	22.2	Q399
Australia	7.4	6.3	Q408
Azerbaijan	12.9	6.8	Q227
Bahamas, The	-5.3	-1	Q778
Bangladesh	19.7	9.8	Q902
Barbados	2.1	-1.2	Q244
Belarus	79.2	11.3	Q184
Belize	-2.2	4.6	Q242
Benin	4.6	9.9	Q962
Bhutan	24	14	Q917
Bolivia	9.1	5.8	Q750
Bosnia and Herzegovina	3.4	5.1	Q225
Botswana	6.3	6.1	Q963
Brazil	21.1	6.6	Q155
Brunei Darussalam	-0.3	-0.9	Q921
Bulgaria	1.5	6.2	Q219
Burkina Faso	12.1	6.8	Q965
Burundi	24.7	9.8	Q967
Cabo Verde	7.3	2.4	Q1011
Cambodia	14.8	28.1	Q424
Cameroon	12.5	9.8	Q1009
Central African Republic	13.3	5.6	Q929
Chad	9.3	-2.6	Q657
Chile	8.5	11.7	Q298
Macao SAR, China	13.9	4	Q14773
Colombia	16.2	9.7	Q739
Comoros	14	1.4	Q970
Congo, Dem. Rep.	-1.9	8.8	Q974
Congo, Rep.	17.1	-5.2	Q971
Costa Rica	4.4	1.6	Q800
Cote d'Ivoire	8.6	4.4	Q1008
Croatia	10.7	2.4	Q224
Czech Republic	1.5	3.7	Q213
Denmark	13.2	42	Q35
Djibouti	7	3.7	Q977
Dominica	5.7	-2.6	Q784
Dominican Republic	13	8.3	Q786
Ecuador	16.4	9.9	Q736
Egypt, Arab Rep.	3.9	1.9	Q79
El Salvador	-0.4	5.5	Q792
Equatorial Guinea	19.1	1.1	Q983
Eswatini	5	-0.3	Q1050
Fiji	2	4.1	Q712
Gabon	1.9	23.5	Q1000
Gambia, The	6.9	3.2	Q1005
Georgia	22.2	25.7	Q230
Ghana	13	10.1	Q117
Grenada	4.6	0.3	Q769
Guatemala	2.6	3.4	Q774
Guinea-Bissau	7.8	4.6	Q1007
Guyana	7.2	4.3	Q734
Haiti	-0.3	7.5	Q790
Honduras	4.3	9.8	Q783
Hungary	4	9.4	Q28
Iceland	-29.2	5.4	Q189
Indonesia	17.1	5.5	Q252
Iraq	8.1	-2.8	Q796
Israel	9	5.3	Q801
Jamaica	-0.8	13.7	Q766
Japan	-1.3	3.3	Q17
Kazakhstan	7.1	9.9	Q232
Kenya	14.3	5.5	Q114
Korea, Rep.	5.9	10.4	Q884
Kosovo	10.9	9.1	Q1246
Kuwait	2	4.2	Q817
Kyrgyz Republic	5.4	9.9	Q813
Lesotho	6.4	4.3	Q1013
Liberia	14.6	1.9	Q1014
Madagascar	8.9	11.1	Q1019
Malaysia	8.1	5.1	Q833
Maldives	-2.3	3.2	Q826
Mali	13.9	3.9	Q912
Mauritania	10.4	10.2	Q1025
Mauritius	9.9	6.4	Q1027
Mexico	8.7	7.6	Q96
Moldova	9.7	5.5	Q217
Mongolia	23.8	1.1	Q711
Morocco	8.3	4.3	Q1028
Mozambique	19.5	2.7	Q1029
Myanmar	10.9	6.7	Q836
Namibia	11.2	6.4	Q1030
Nepal	8.9	13.2	Q837
Nicaragua	4.8	-20.6	Q811
Niger	10.6	9.8	Q1032
Nigeria	-12.7	9.6	Q1033
North Macedonia	6.4	5.6	Q221
Norway	14.1	11.2	Q20
Oman	16.1	9.4	Q842
Pakistan	1.8	2.8	Q843
Papua New Guinea	9.3	3.6	Q691
Paraguay	27.2	9	Q733
Peru	12.3	8.8	Q419
Philippines	7.5	10.3	Q928
Poland	8.3	4.4	Q36
Qatar	21.6	22.1	Q846
Romania	5.8	4.6	Q218
Russian Federation	12.4	8.8	Q159
Rwanda	9.8	15.5	Q1037
Samoa	4.2	4.7	Q683
Sao Tome and Principe	33.1	2.2	Q1039
Senegal	14.5	6.1	Q1041
Serbia	29.1	7.9	Q403
Seychelles	8.1	9.9	Q1042
Sierra Leone	8.2	3.4	Q1044
Solomon Islands	-3.2	2.4	Q685
South Africa	6.8	6.4	Q258
South Sudan	3.5	7.3	Q958
Sri Lanka	21.7	13.8	Q854
St. Kitts and Nevis	4.5	2	Q763
St. Lucia	3.2	-1.8	Q760
St. Vincent and the Grenadines	-2.3	-0.2	Q757
Sudan	10.8	12.8	Q1049
Suriname	7	-0.4	Q730
Sweden	13.5	14	Q34
Tajikistan	-15	5.7	Q863
Tanzania	11.4	1.3	Q924
Thailand	10.7	2.5	Q869
Timor-Leste	2.3	1.6	Q574
Togo	5.9	4.4	Q945
Tonga	-6.5	2.9	Q678
Trinidad and Tobago	-0.8	4.2	Q754
Tunisia	18.7	4.1	Q948
Turkey	27.6	16.5	Q43
Uganda	20.8	8.4	Q1036
Ukraine	2.1	-8	Q212
United Arab Emirates	2.1	1.2	Q878
United States	-2.6	4.4	Q30
Uruguay	11.3	6.1	Q77
Vanuatu	4.8	0.3	Q686
West Bank and Gaza	9	5.7	Q407199
Zambia	8.2	8.7	Q953
Zimbabwe	70.8	97.2	Q954
