Country	assessment (2004)	assessment (2019)	ID
Afghanistan	53.3	70	Q889
Albania	70	76.7	Q222
Algeria	73.3	76.7	Q262
Angola	63.3	66.7	Q916
Antigua and Barbuda	50	63.3	Q781
Argentina	96.7	90	Q414
Armenia	83.3	90	Q399
Azerbaijan	80	70	Q227
Bangladesh	80	76.7	Q902
Belarus	80	90	Q184
Belize	90	90	Q242
Benin	70	86.7	Q962
Bhutan	73.3	90	Q917
Bolivia	96.7	100	Q750
Bosnia and Herzegovina	50	73.3	Q225
Botswana	86.7	73.3	Q963
Brazil	80	83.3	Q155
Bulgaria	90	83.3	Q219
Burkina Faso	83.3	96.7	Q965
Burundi	70	93.3	Q967
Cambodia	83.3	80	Q424
Cameroon	83.3	90	Q1009
Cabo Verde	76.7	83.3	Q1011
Central African Republic	70	76.7	Q929
Chad	80	80	Q657
Chile	93.3	100	Q298
China	73.3	80	Q148
Colombia	90	93.3	Q739
Comoros	80	73.3	Q970
Congo, Dem. Rep.	46.7	83.3	Q974
Congo, Rep.	56.7	66.7	Q971
Costa Rica	96.7	93.3	Q800
Cote d'Ivoire	90	90	Q1008
Croatia	96.7	83.3	Q224
Djibouti	70	86.7	Q977
Dominica	70	60	Q784
Dominican Republic	93.3	100	Q786
Ecuador	86.7	100	Q736
Egypt, Arab Rep.	93.3	86.7	Q79
El Salvador	93.3	96.7	Q792
Equatorial Guinea	73.3	60	Q983
Eritrea	73.3	63.3	Q986
Ethiopia	80	83.3	Q115
Fiji	80	63.3	Q712
Gabon	63.3	60	Q1000
Gambia, The	70	83.3	Q1005
Georgia	90	93.3	Q230
Ghana	83.3	93.3	Q117
Grenada	56.7	63.3	Q769
Guatemala	90	93.3	Q774
Guinea	90	86.7	Q1006
Guinea-Bissau	73.3	73.3	Q1007
Guyana	86.7	70	Q734
Haiti	63.3	70	Q790
Honduras	66.7	90	Q783
Hungary	90	80	Q28
India	76.7	86.7	Q668
Indonesia	90	96.7	Q252
Iran, Islamic Rep.	83.3	86.7	Q794
Iraq	56.7	63.3	Q796
Jamaica	90	83.3	Q766
Jordan	66.7	86.7	Q810
Kazakhstan	90	100	Q232
Kenya	83.3	73.3	Q114
Kiribati	66.7	60	Q710
Kyrgyz Republic	83.3	100	Q813
Lao PDR	86.7	93.3	Q819
Lebanon	76.7	53.3	Q822
Lesotho	93.3	83.3	Q1013
Liberia	50	83.3	Q1014
Libya	46.7	63.3	Q1016
North Macedonia	80	86.7	Q221
Madagascar	90	76.7	Q1019
Malawi	83.3	90	Q1020
Malaysia	96.7	96.7	Q833
Maldives	73.3	63.3	Q826
Mali	76.7	93.3	Q912
Marshall Islands	56.7	56.7	Q709
Mauritania	86.7	93.3	Q1025
Mauritius	70	86.7	Q1027
Mexico	83.3	100	Q96
Micronesia, Fed. Sts.	50	53.3	Q702
Moldova	83.3	93.3	Q217
Mongolia	86.7	83.3	Q711
Montenegro	60	86.7	Q236
Morocco	90	80	Q1028
Mozambique	83.3	83.3	Q1029
Myanmar	80	83.3	Q836
Namibia	86.7	70	Q1030
Nepal	86.7	93.3	Q837
Nicaragua	86.7	73.3	Q811
Niger	93.3	93.3	Q1032
Nigeria	73.3	80	Q1033
Pakistan	80	93.3	Q843
Palau	50	56.7	Q695
Panama	86.7	90	Q804
Papua New Guinea	70	66.7	Q691
Paraguay	86.7	76.7	Q733
Peru	100	100	Q419
Philippines	93.3	93.3	Q928
Poland	80	76.7	Q36
Romania	96.7	76.7	Q218
Russian Federation	66.7	76.7	Q159
Rwanda	83.3	96.7	Q1037
Samoa	66.7	70	Q683
Sao Tome and Principe	63.3	80	Q1039
Senegal	96.7	90	Q1041
Serbia	60	96.7	Q403
Seychelles	63.3	76.7	Q1042
Sierra Leone	50	86.7	Q1044
Slovak Republic	86.7	80	Q214
Solomon Islands	53.3	66.7	Q685
Somalia	46.7	50	Q1045
South Africa	90	86.7	Q258
Sri Lanka	76.7	93.3	Q854
St. Kitts and Nevis	63.3	63.3	Q763
St. Lucia	70	66.7	Q760
St. Vincent and the Grenadines	60	70	Q757
Sudan	66.7	93.3	Q1049
Suriname	70	83.3	Q730
Eswatini	86.7	90	Q1050
Syrian Arab Republic	73.3	60	Q858
Tajikistan	76.7	90	Q863
Tanzania	83.3	86.7	Q924
Thailand	76.7	90	Q869
Timor-Leste	26.7	83.3	Q574
Togo	76.7	93.3	Q945
Tonga	60	70	Q678
Trinidad and Tobago	80	53.3	Q754
Tunisia	86.7	83.3	Q948
Turkey	76.7	83.3	Q43
Turkmenistan	56.7	53.3	Q874
Uganda	80	83.3	Q1036
Ukraine	90	76.7	Q212
Uruguay	86.7	83.3	Q77
Uzbekistan	63.3	83.3	Q265
Vanuatu	73.3	66.7	Q686
Venezuela, RB	90	83.3	Q717
Vietnam	83.3	86.7	Q881
Yemen, Rep.	80	76.7	Q805
Zambia	86.7	76.7	Q953
Zimbabwe	63.3	80	Q954
