Country	exports (2010)	exports (2019)	ID
Afghanistan	10.8	17.1	Q889
Albania	2.4	0.3	Q222
Algeria	0	0.1	Q262
Andorra	1.7	1.6	Q228
Angola	0	0.3	Q916
Antigua and Barbuda	0	0	Q781
Argentina	1.2	0.9	Q414
Armenia	1.1	0.4	Q399
Aruba	0.2	0.1	Q21203
Australia	2.2	2.3	Q408
Austria	1.8	1.6	Q40
Azerbaijan	0.1	0.7	Q227
Bahrain	0	0.1	Q398
Barbados	0.5	0.2	Q244
Belarus	2	2.5	Q184
Belgium	1.4	1.3	Q31
Belize	1.4	1	Q242
Benin	26.7	56.6	Q962
Bermuda	0	0	Q23635
Bolivia	1.1	0.5	Q750
Bosnia and Herzegovina	5.9	4.6	Q225
Botswana	0.2	0.1	Q963
Brazil	3.9	5.5	Q155
Brunei Darussalam	0	0	Q921
Bulgaria	1.4	1.3	Q219
Burkina Faso	55.9	28.6	Q965
Burundi	4.9	0.1	Q967
Cabo Verde	0	0	Q1011
Cambodia	2.3	1.9	Q424
Cameroon	14.8	21.3	Q1009
Canada	4.3	3.9	Q16
Central African Republic	36.4	12.5	Q929
Chile	5	5.9	Q298
China	0.5	0.4	Q148
Hong Kong SAR, China	2.7	0.1	Q8646
Macao SAR, China	0	2.9	Q14773
Colombia	3.5	3.9	Q739
Comoros	0.5	0	Q970
Congo, Rep.	1.3	5.8	Q971
Costa Rica	2.7	1.9	Q800
Cote d'Ivoire	9.6	11.7	Q1008
Croatia	3.6	4.4	Q224
Cyprus	1.7	1.1	Q229
Czech Republic	1.4	1.3	Q213
Denmark	2.9	2.5	Q35
Dominican Republic	1	0.9	Q786
Ecuador	4.2	4.8	Q736
Egypt, Arab Rep.	3	1.8	Q79
El Salvador	0.7	0.8	Q792
Estonia	5.1	5.4	Q191
Eswatini	2.2	5.1	Q1050
Ethiopia	3	2	Q115
Fiji	4.4	1.4	Q712
Finland	5.9	7.9	Q33
France	0.9	0.9	Q142
Gambia, The	0	3.1	Q1005
Georgia	1.1	0.8	Q230
Germany	0.9	0.8	Q183
Ghana	6.9	2.1	Q117
Greece	2.5	2.1	Q41
Greenland	0	0	Q223
Guatemala	4.2	2.8	Q774
Guyana	5.3	2.8	Q734
Honduras	1.3	1.3	Q783
Hungary	0.7	0.7	Q28
Iceland	0.6	0.5	Q189
India	2	1	Q668
Indonesia	6.5	4.7	Q252
Iran, Islamic Rep.	0.3	0.3	Q794
Ireland	0.5	0.4	Q27
Israel	0.8	0.6	Q801
Italy	0.7	0.7	Q38
Jamaica	0.2	0.1	Q766
Japan	0.7	0.6	Q17
Jordan	0.2	0.3	Q810
Kazakhstan	0.2	0.3	Q232
Kenya	10.9	13.3	Q114
Korea, Rep.	0.9	0.9	Q884
Kuwait	0.1	0	Q817
Kyrgyz Republic	5.3	3.7	Q813
Lao PDR	2.1	8.2	Q819
Latvia	12.2	10.6	Q211
Lebanon	0.7	0.5	Q822
Lesotho	5.3	6.4	Q1013
Lithuania	2.3	3	Q37
Luxembourg	3	1.5	Q32
Madagascar	3.2	2.3	Q1019
Malawi	3.3	1.6	Q1020
Malaysia	2.6	1.3	Q833
Maldives	0	0	Q826
Mali	48	23.1	Q912
Malta	0.1	0.2	Q233
Mauritania	0	0	Q1025
Mauritius	0.5	1.2	Q1027
Mexico	0.4	0.2	Q96
Moldova	1	0.6	Q217
Montenegro	6.5	7.3	Q236
Morocco	1.7	1	Q1028
Mozambique	4.4	0.6	Q1029
Myanmar	8.8	1.9	Q836
Namibia	0.7	1.2	Q1030
Nepal	3.9	3.8	Q837
Netherlands	2.7	3	Q55
New Zealand	10.7	11.5	Q664
Nicaragua	1.2	0.8	Q811
Nigeria	1.6	0.1	Q1033
North Macedonia	0.5	0.4	Q221
Norway	0.5	0.7	Q20
Oman	0	0	Q842
Pakistan	1.8	0.9	Q843
Palau	0.9	0.2	Q695
Paraguay	2.1	1.5	Q733
Peru	1.3	0.9	Q419
Philippines	0.7	0.7	Q928
Poland	1.2	1	Q36
Portugal	3.1	2.3	Q45
Qatar	0	0	Q846
Romania	2	1.2	Q218
Russian Federation	2.1	2.2	Q159
Samoa	0.4	0.2	Q683
Sao Tome and Principe	0.7	0.1	Q1039
Saudi Arabia	0	0.1	Q851
Senegal	1.5	1.3	Q1041
Seychelles	0	0	Q1042
Singapore	0.3	0.5	Q334
Slovak Republic	1.3	0.8	Q214
Slovenia	1.9	2	Q215
Solomon Islands	60.7	73.7	Q685
South Africa	1.8	2.3	Q258
Spain	1.1	1	Q29
Sri Lanka	3.9	2.6	Q854
St. Kitts and Nevis	0	0.1	Q763
St. Lucia	0.2	0.1	Q760
St. Vincent and the Grenadines	0	0.1	Q757
Suriname	0.5	15.4	Q730
Sweden	4.1	3.8	Q34
Switzerland	0.3	0.2	Q39
Tanzania	7.4	1.4	Q924
Thailand	5.3	3.2	Q869
Togo	3.9	12.3	Q945
Tunisia	0.5	0.5	Q948
Turkey	0.4	0.5	Q43
Uganda	7.2	4.6	Q1036
Ukraine	1.1	2	Q212
United Arab Emirates	0.1	0.1	Q878
United Kingdom	0.7	0.5	Q145
United States	2.6	2	Q30
Uruguay	8.7	16.3	Q77
Vietnam	3.4	0.9	Q881
Zambia	1.4	1.3	Q953
Zimbabwe	8.8	2.9	Q954
