Country	Consumption per capita	Transmission and distribution losses	ID
Albania	2309.4	23.7	Q222
Algeria	1362.9	17.1	Q262
Angola	312.2	11.3	Q916
Argentina	3074.7	14.7	Q414
Armenia	1961.6	12	Q399
Australia	10071.4	4.8	Q408
Austria	8355.8	5.3	Q40
Azerbaijan	2202.4	13.6	Q227
Bahrain	19597	3.9	Q398
Bangladesh	320.2	11.4	Q902
Belarus	3680	9.2	Q184
Belgium	7709.1	5.4	Q31
Bolivia	742.5	9.2	Q750
Bosnia and Herzegovina	3446.8	8.2	Q225
Botswana	1815.6	11	Q963
Brazil	2620	15.8	Q155
Brunei Darussalam	10291.2	6.4	Q921
Bulgaria	4708.9	8.6	Q219
Cambodia	271.4	23.4	Q424
Cameroon	275.2	11.1	Q1009
Canada	15588.5	8.7	Q16
Chile	3879.7	6.7	Q298
China	3927	5.5	Q148
Colombia	1312.2	10.7	Q739
Congo, Dem. Rep.	108.5	21.4	Q974
Congo, Rep.	202.9	44.5	Q971
Costa Rica	1942.5	10.8	Q800
Cote d'Ivoire	274.7	14.3	Q1008
Croatia	3714.4	13.1	Q224
Cuba	1450.9	15.3	Q241
Cyprus	3625	4	Q229
Czech Republic	6258.9	4.5	Q213
Denmark	5858.8	6.1	Q35
Dominican Republic	1615.5	12.2	Q786
Ecuador	1376.4	12.9	Q736
Egypt, Arab Rep.	1683.2	11	Q79
El Salvador	937.1	11.3	Q792
Estonia	6732.4	6.8	Q191
Ethiopia	69.2	18.7	Q115
Finland	15250	4.1	Q33
France	6939.9	6.3	Q142
Gabon	1167.9	27.8	Q1000
Georgia	2694	5.8	Q230
Germany	7035.5	3.9	Q183
Ghana	351.3	22.6	Q117
Gibraltar	5693.1	3	Q1410
Greece	5062.6	8.2	Q41
Guatemala	601.2	9.5	Q774
Haiti	39.1	60.1	Q790
Honduras	619.8	34.9	Q783
Hong Kong SAR, China	6083.3	12.5	Q8646
Hungary	3966	12.4	Q28
Iceland	53832.5	2.7	Q189
India	804.5	19.3	Q668
Indonesia	811.9	9.4	Q252
Iran, Islamic Rep.	3022.1	12.6	Q794
Iraq	1328.2	50.6	Q796
Ireland	5672.1	7.9	Q27
Israel	6600.9	2.9	Q801
Italy	5002.4	7	Q38
Jamaica	1050.7	26.7	Q766
Japan	7819.7	4.3	Q17
Jordan	1864.7	10.7	Q810
Kazakhstan	5600.2	6.7	Q232
Kenya	164.3	17.6	Q114
Korea, Dem. Peopleâ€™s Rep.	601.7	15.8	Q423
Korea, Rep.	10496.5	3.3	Q884
Kosovo	2818.3	15	Q1246
Kuwait	15590.6	11.7	Q817
Kyrgyz Republic	1941.2	23.7	Q813
Latvia	3507.4	9	Q211
Lebanon	2588.3	10.5	Q822
Libya	1811.1	69.7	Q1016
Lithuania	3821.1	22	Q37
Luxembourg	13914.7	6.3	Q32
North Macedonia	3496.5	19.9	Q221
Malaysia	4652	5.8	Q833
Malta	4924.5	4.7	Q233
Mauritius	2182.5	6.2	Q1027
Mexico	2157.3	13.7	Q96
Moldova	1725.6	21.5	Q217
Mongolia	2006.4	14.8	Q711
Montenegro	4612.3	17.6	Q236
Morocco	904.4	14.7	Q1028
Mozambique	478.9	14.7	Q1029
Myanmar	215.3	20.5	Q836
Namibia	1652.6	36.2	Q1030
Nepal	146.5	32.2	Q837
Netherlands	6712.8	4.8	Q55
New Zealand	9026.3	6.5	Q664
Nicaragua	568.3	20.8	Q811
Niger	51.2	41.8	Q1032
Nigeria	144.5	16.1	Q1033
Norway	22999.9	6.1	Q20
Oman	6445.6	10.9	Q842
Pakistan	447.5	17.1	Q843
Panama	2064.2	14.3	Q804
Paraguay	1552.4	6.6	Q733
Peru	1345.9	11	Q419
Philippines	696.3	9.4	Q928
Poland	3971.8	6.5	Q36
Portugal	4662.6	10	Q45
Qatar	14781.6	6.1	Q846
Romania	2584.4	10.9	Q218
Russian Federation	6602.7	10	Q159
Saudi Arabia	9401.4	6.8	Q851
Senegal	229.4	12.9	Q1041
Serbia	4271.7	15.4	Q403
Singapore	8844.7	2	Q334
Slovak Republic	5137.1	2.5	Q214
Slovenia	6728	4.8	Q215
South Africa	4197.9	8.4	Q258
South Sudan	43.6	5.7	Q958
Spain	5356	9.6	Q29
Sri Lanka	531.1	11.4	Q854
Sudan	190.2	14.3	Q1049
Suriname	3596.8	8.7	Q730
Sweden	13480.1	4.8	Q34
Switzerland	7520.2	6.7	Q39
Syrian Arab Republic	974.3	15.9	Q858
Tajikistan	1499.5	17	Q863
Tanzania	103.7	17.7	Q924
Thailand	2538.8	6.1	Q869
Togo	154.7	71	Q945
Trinidad and Tobago	7092.9	2.3	Q754
Tunisia	1454.6	14.8	Q948
Turkey	2847.1	14.8	Q43
Turkmenistan	2678.8	12.5	Q874
Ukraine	3418.6	10.8	Q212
United Arab Emirates	11088.4	6.8	Q878
United Kingdom	5130.4	8.4	Q145
United States	12997.4	5.9	Q30
Uruguay	3085.2	9.6	Q77
Uzbekistan	1645.4	8.8	Q265
Venezuela, RB	2718.9	36	Q717
Vietnam	1423.7	9.3	Q881
Yemen, Rep.	219.8	25.8	Q805
Zambia	717.3	15	Q953
Zimbabwe	609.1	16.4	Q954
