Country	mean annual exposure	ID
Afghanistan	56.3	Q889
Albania	18.2	Q222
Algeria	39.9	Q262
American Samoa	12.4	Q16641
Andorra	10.3	Q228
Angola	31.8	Q916
Antigua and Barbuda	18.5	Q781
Argentina	13.8	Q414
Armenia	32.2	Q399
Australia	8.6	Q408
Austria	12.6	Q40
Azerbaijan	20.2	Q227
Bahamas, The	17.7	Q778
Bahrain	69.9	Q398
Bangladesh	60.1	Q902
Barbados	23.5	Q244
Belarus	18.9	Q184
Belgium	12.8	Q31
Belize	23.1	Q242
Benin	38.4	Q962
Bermuda	11.7	Q23635
Bhutan	37.2	Q917
Bolivia	21.4	Q750
Bosnia and Herzegovina	27.6	Q225
Botswana	23.6	Q963
Brazil	12.7	Q155
Brunei Darussalam	5.9	Q921
Bulgaria	19.3	Q219
Burkina Faso	41.5	Q965
Burundi	38.7	Q967
Cabo Verde	33.4	Q1011
Cambodia	25.2	Q424
Cameroon	73.2	Q1009
Canada	6.5	Q16
Central African Republic	57	Q929
Chad	64.8	Q657
Chile	20.9	Q298
China	52.2	Q148
Colombia	16.6	Q739
Comoros	20.5	Q970
Congo, Dem. Rep.	45.5	Q974
Congo, Rep.	45.7	Q971
Costa Rica	15.7	Q800
Cote d'Ivoire	26.7	Q1008
Croatia	17.8	Q224
Cuba	19.7	Q241
Cyprus	17	Q229
Czech Republic	16.1	Q213
Denmark	10.1	Q35
Djibouti	45.9	Q977
Dominica	20	Q784
Dominican Republic	13.7	Q786
Ecuador	15	Q736
Egypt, Arab Rep.	88.1	Q79
El Salvador	24.7	Q792
Equatorial Guinea	54.5	Q983
Eritrea	48.7	Q986
Estonia	6.8	Q191
Eswatini	17.1	Q1050
Ethiopia	39.2	Q115
Fiji	11.1	Q712
Finland	5.9	Q33
France	11.9	Q142
Gabon	43.7	Q1000
Gambia, The	32.6	Q1005
Georgia	21.8	Q230
Germany	11.9	Q183
Ghana	36.3	Q117
Greece	16.3	Q41
Greenland	11.6	Q223
Grenada	22.9	Q769
Guam	11.7	Q16635
Guatemala	23.8	Q774
Guinea	24.8	Q1006
Guinea-Bissau	29.6	Q1007
Guyana	22.4	Q734
Haiti	15.1	Q790
Honduras	21.1	Q783
Hungary	15.9	Q28
Iceland	6.6	Q189
India	89.7	Q668
Indonesia	16.4	Q252
Iran, Islamic Rep.	38.8	Q794
Iraq	64	Q796
Ireland	8.3	Q27
Israel	20.8	Q801
Italy	16.5	Q38
Jamaica	13.4	Q766
Japan	11.6	Q17
Jordan	33.2	Q810
Kazakhstan	13.1	Q232
Kenya	28.6	Q114
Kiribati	10.5	Q710
Korea, Dem. People’s Rep.	31.8	Q423
Korea, Rep.	25.1	Q884
Kuwait	60.8	Q817
Kyrgyz Republic	23.2	Q813
Lao PDR	25.8	Q819
Latvia	13.4	Q211
Lebanon	30.2	Q822
Lesotho	28.3	Q1013
Liberia	17.9	Q1014
Libya	52.1	Q1016
Lithuania	11.8	Q37
Luxembourg	10.3	Q32
Madagascar	29.6	Q1019
Malawi	22.9	Q1020
Malaysia	23.1	Q833
Maldives	15.8	Q826
Mali	8	Q912
Malta	38.5	Q233
Marshall Islands	13.8	Q709
Mauritania	10.2	Q1025
Mauritius	46.7	Q1027
Mexico	14.3	Q96
Micronesia, Fed. Sts.	20.7	Q702
Moldova	11.1	Q217
Monaco	16.4	Q235
Montenegro	38.2	Q236
Morocco	20.9	Q1028
Mozambique	32.9	Q1029
Myanmar	21.5	Q836
Namibia	36	Q1030
Nepal	25.6	Q837
Netherlands	98.1	Q55
New Caledonia	12	Q33788
Nicaragua	6	Q811
Niger	17.7	Q1032
Nigeria	87.7	Q1033
North Macedonia	71.4	Q221
Northern Mariana Islands	9.9	Q16644
Norway	7	Q20
Oman	41.8	Q842
Pakistan	58.6	Q843
Panama	11.5	Q804
Papua New Guinea	12.6	Q691
Paraguay	11.6	Q733
Peru	25.5	Q419
Philippines	18.2	Q928
Poland	21	Q36
Portugal	8.1	Q45
Puerto Rico	8.3	Q1183
Qatar	88.2	Q846
Romania	14.5	Q218
Russian Federation	16.2	Q159
Rwanda	42.8	Q1037
Samoa	11.4	Q683
Sao Tome and Principe	28.7	Q1039
Saudi Arabia	84.5	Q851
Senegal	38.7	Q1041
Serbia	24.8	Q403
Seychelles	20.4	Q1042
Sierra Leone	21.3	Q1044
Singapore	18.8	Q334
Slovak Republic	17.4	Q214
Slovenia	15.9	Q215
Solomon Islands	11.8	Q685
Somalia	31.8	Q1045
South Africa	25.1	Q258
South Sudan	44.8	Q958
Spain	9.7	Q29
Sri Lanka	14	Q854
St. Lucia	22.4	Q760
St. Vincent and the Grenadines	22.1	Q757
Sudan	54.1	Q1049
Suriname	25.3	Q730
Sweden	6.1	Q34
Switzerland	10.3	Q39
Syrian Arab Republic	43.7	Q858
Tajikistan	43.4	Q863
Tanzania	28.4	Q924
Thailand	26.3	Q869
Timor-Leste	20	Q574
Togo	37.1	Q945
Tonga	11	Q678
Trinidad and Tobago	24.2	Q754
Tunisia	38.5	Q948
Turkey	44.5	Q43
Turkmenistan	21.7	Q874
Uganda	51.9	Q1036
Ukraine	20.6	Q212
United Arab Emirates	40.5	Q878
United Kingdom	10.5	Q145
United States	7.4	Q30
Uruguay	9.2	Q77
Uzbekistan	27.8	Q265
Vanuatu	11.6	Q686
Venezuela, RB	16.8	Q717
Vietnam	30.2	Q881
Virgin Islands (U.S.)	10.3	Q11703
West Bank and Gaza	32.7	Q407199
Yemen, Rep.	50.1	Q805
Zambia	27.4	Q953
Zimbabwe	21.7	Q954
